"stockid","year","sst_c_avg"
"BGRDRSE",1891,16.459497315543
"HERRPWS",1891,7.46968793869019
"HERRSITKA",1891,8.59291696548462
"HERRTOG",1891,3.34298658370972
"ALPLAICBSAI",1891,3.51295589549201
"ARFLOUNDBSAI",1891,4.89764068044465
"ARFLOUNDGA",1891,6.50293343674903
"ATKABSAI",1891,5.59675659452166
"BKINGCRABPI",1891,4.37950057983398
"BKINGCRABSMI",1891,3.46910766192845
"DSOLEGA",1891,6.69939437057033
"DUSROCKGA",1891,6.12126937779513
"FLSOLEBSAI",1891,4.06598157671433
"FLSOLEGA",1891,6.09555964720877
"GHALBSAI",1891,4.43048217389491
"NROCKBSAI",1891,5.48075058460236
"NROCKGA",1891,6.02210362752279
"NRSOLEEBSAI",1891,4.12482650068742
"PCODBSAI",1891,4.02511289423587
"PCODGA",1891,6.2727087819299
"PERCHEBSAI",1891,5.41884528506886
"POPERCHGA",1891,6.35369211196899
"REXSOLEGA",1891,6.38465321858724
"REYEROCKBSAI",1891,5.48652837894581
"REYEROCKGA",1891,6.50401926040649
"RKCRABBB",1891,4.20017415947384
"RKCRABNS",1891,1.59833379767158
"RKCRABPI",1891,4.70338594913483
"SABLEFEBSAIGA",1891,6.01689347316479
"SNOWCRABBS",1891,3.65044037236108
"SRAKEROCKBSAI",1891,5.48652837894581
"TANNERCRABBSAI",1891,4.39204917635236
"WPOLLAI",1891,5.60806012834821
"WPOLLEBS",1891,3.82384380726587
"WPOLLGA",1891,6.28199321290721
"YSOLEBSAI",1891,3.5177535201822
"CAPENOR",1891,-0.643080207494298
"CODNEAR",1891,0.596423853607985
"GHALNEAR",1891,0.596423853607985
"GOLDREDNEAR",1891,0.596423853607985
"HADNEAR",1891,0.596423853607985
"POLLNEAR",1891,0.596423853607985
"REDDEEPI-II",1891,0.596423853607985
"ATLCROAKMATLC",1891,17.3948911753568
"LOBSTERGB",1891,11.1397623334612
"LOBSTERGOM",1891,8.83986139297485
"LOBSTERSNE",1891,13.5921313946064
"PANDALGOM",1891,8.80360153743199
