"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 63","Table 5",1943,"Eureka",NA,"Landings","EUREKA REGION",1829970,12465008
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Shark",560600,1146100
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Sole",184500,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Salmon",159500,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Rockfish",56900,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Northern Halibut",50800,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Sablefish",41400,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Pacific Cultus",25600,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Sand Dab",17900,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Crab",14300,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Starry Flounder",13700,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","Whitebait",7900,NA
"FB 63","Table 5",1943,"Eureka","Eureka","Landings","All other",13,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Salmon",189600,532100
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Sablefish",125300,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Shark",113600,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Albacore",774,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Pacific Cultus",13400,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","Whitebait",6000,NA
"FB 63","Table 5",1943,"Eureka","Fort Bragg","Landings","All other",6800,NA
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","Salmon",66800,149700
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","Shark",49400,NA
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","Crab",13400,NA
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","Whitebait",5900,NA
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","Pacific Cultus",5700,NA
"FB 63","Table 5",1943,"Eureka","Crescent City","Landings","All other",8500,NA
"FB 63","Table 5",1943,"Eureka","All Other Porta","Landings","All species",2070,NA
"FB 63","Table 6",1943,"Sacramento Delta",NA,"Landings","SACRAMENTO REGION",NA,77916080
"FB 63","Table 6",1943,"Sacramento Delta","Pittsburg","Landings","Sardine",278600,499900
"FB 63","Table 6",1943,"Sacramento Delta","Pittsburg","Landings","Salmon",112100,NA
"FB 63","Table 6",1943,"Sacramento Delta","Pittsburg","Landings","Shad",82800,NA
"FB 63","Table 6",1943,"Sacramento Delta","Pittsburg","Landings","Catfish",25600,NA
"FB 63","Table 6",1943,"Sacramento Delta","Pittsburg","Landings","All other",800,NA
"FB 63","Table 6",1943,"Sacramento Delta","Benicia","Landings","Sardine",316600,316600
"FB 63","Table 6",1943,"Sacramento Delta","Port Chicago","Landings","Sardine",159300,168300
"FB 63","Table 6",1943,"Sacramento Delta","Port Chicago","Landings","Shad",9000,NA
"FB 63","Table 6",1943,"Sacramento Delta","Martinez","Landings","Sardine",55400,95400
"FB 63","Table 6",1943,"Sacramento Delta","Martinez","Landings","Salmon",27200,NA
"FB 63","Table 6",1943,"Sacramento Delta","Martinez","Landings","Shad",12800,NA
"FB 63","Table 6",1943,"Sacramento Delta","Collinsville","Landings","Salmon",38400,50100
"FB 63","Table 6",1943,"Sacramento Delta","Collinsville","Landings","Shad",10000,NA
"FB 63","Table 6",1943,"Sacramento Delta","Collinsville","Landings","Catfish",1700,NA
"FB 63","Table 6",1943,"Sacramento Delta","Sacramento","Landings","Salmon",23400,31800
"FB 63","Table 6",1943,"Sacramento Delta","Sacramento","Landings","Catfish",7600,NA
"FB 63","Table 6",1943,"Sacramento Delta","Sacramento","Landings","All other",800,NA
"FB 63","Table 6",1943,"Sacramento Delta","Stockton","Landings","Catfish",11400,12400
"FB 63","Table 6",1943,"Sacramento Delta","Stockton","Landings","Salmon",1000,NA
"FB 63","Table 6",1943,"Sacramento Delta","All Other Ports","Landings","All species",NA,875
"FB 63","Table 7",1943,"San Francisco",NA,"Landings","SAN FRANCISCO REGION",3619202,180963255
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Sardine",540100,1410300
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Shark",523700,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Crab",159600,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Smelt",62700,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Sole",47800,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Pacific Herring",13300,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Salmon",12300,NA
"FB 63","Table 7",1943,"San Francisco","San Francisco","Landings","Sand Dab",9700,NA
