"FdLgthConversionEqID","LkupSpeciesID","FdLgthCoversionEq"
"97","35","TL = 1.177SL + 0.062 (range 156-415 mm TL; n=17)"
"98","35","TL = 1.027FL - 3.112 (range 155-404 mm FL; n=17)"
"99","35","FL = 0.973TL + 3.092 (range 155-404 mm FL; n=17)"
"100","35","TL = 1.0 + 1.16 SL (r = 0.997)"
"101","36","FL = 1.180SL - 1.100 (range 174-297 mm SL; n=9)"
"102","36","SL = 0.842FL + 2.295 (range 174-297 mm SL; n=9)"
"103","36","SL = 0.828TL + 4.620 (range 203-344 mm TL; n=9)"
"104","36","TL = 1.199SL - 3.483 (range 203-344 mm TL; n=9)"
"105","36","TL = 1.016FL - 2.541 (range 205-342 mm FL; n=9)"
"106","36","FL = 0.984TL + 2.590 (range 205-342 mm FL; n=9)"
"107","25","FL= 0.581 + 0.916TL (r^2= 0.996 SE= 3.21)"
"108","25","FL= 4.87 + 1.12SL (r^2= 0.998 SE= 2.86)"
"109","25","SL= -3.21 + 0.81TL (r^2= 0.996 SE= 3.36)"
"110","25","SL= -3.98 + 0.888FL (r^2= 0.998 SE= 2.54)"
"111","25","TL= 4.7 + 1.23SL (r^2= 0.996 SE= 4.13)"
"112","25","TL= 1.228SL + 4.32"
"113","25","SL= 0.7568TL (sizes < 99 mm)"
"114","25","SL= 0.7737TL"
"115","25","SL= 0.774TL (sizes > 100 mm)"
"116","25","TL= 1.2919SL (sizes > 100 mm)"
"117","25","TL= 1.2925SL"
"118","25","TL= 1.3214SL (sizes < 99 mm)"
"119","25","TL= 0.036 + 1.09FL; (r^= 0.996; SE= 3.5"
"120","125","FL*= 0.9004TL + 2.429 (r^2=0.974)"
"121","125","SL*= 0.782TL - 1.155 (r^2=0.996)"
"122","125","FL= -4.47 + 0.941TL (r^2= 0.996 SE= 1.72)"
"123","125","FL= 8.32 + 1.11SL (r^2= 0.996 SE= 1.56)"
"124","125","SL= -10.82 + 0.843TL (r^2= 0.99 SE= 2.18)"
"125","125","SL= -6.88 + 0.897FL (r^2= 0.996 SE= 1.41)"
"126","125","TL= 14.49 + 1.17SL (r^2= 0.99 SE= 2.57)"
"127","125","TL= 5.62 + 1.06FL (r^2= 0.996 SE= 1.82)"
"128","50","FL=0.293 x TL (0.920); SE:1.732"
"129","50","SL=-1.940 x TL (0.863); SE:2.099"
"130","50","TL=0.161 x FL (1.084); SE:1.880"
"131","50","TL=3.031 x SL (1.153); SE:2.426"
"132","54","TL=12.22 + SL (1.100)"
"133","126","FL= -0.735 + 0.916TL (r^2= 0.998 SE= 2.39)"
"134","126","FL= 6.78 + 1.09SL (r^2= 1.0 SE= 1.42)"
"135","126","SL= -6.05 + 0.913FL (r^2= 1.0 SE= 1.3)"
"136","126","SL= -6.7 + 0.836TL (r^2= 0.996 SE= 2.61)"
"137","126","TL= 1.3 + 1.09FL (r^2= 0.998 SE= 2.6)"
"138","126","TL= 8.7 + 1.19SL (r^2= 0.998 SE= 3.12)"
"139","14","FL = 1.166SL + 1.549 (range 56 - 178 mm SL; n=10)"
"140","14","SL = 0.856FL - 1.116 (range 56 - 178 mm SL; n=10)"
"141","14","SL = 0.846TL - 1.056 (range 68 - 215 mm TL; n=10)"
"142","14","TL = 1.181SL + 1.462 (range 68 - 215 mm TL; n=10)"
"143","14","TL = 1.013FL - 0.083 (range 67 - 213 mm FL; n=10)"
"144","14","FL = 0.987TL + 0.093 (range 67 - 213 mm FL; n=10)"
"145","73","SL= (0.852TL) - 4.72"
"146","46","TL=.758 DW +-44.413 (r=.9757)"
"147","34","FL = 0.981TL - 0.521 (range 23-1046 mm; n=619)"
"148","34","TL = 1.019FL + 0.562 (range 23-1046 mm; n=619)"
"149","34","SL = 0.873TL + 0.308 (range 23-933 mm; n=578)"
"150","34","TL = 1.145SL - 0.286 (range 23-933 mm; n=578)"
"151","34","SL = 0.889FL + 0.884 (range 23-933 mm; n=555)"
"152","34","FL = 1.124SL - 0.942 (range 23-933 mm; n=555)"
"153","34","FL = 1.135SL - 6.085 (range 381-852 mm SL; n=25)"
"154","34","SL = 0.880FL + 5.937 (range 381-852 mm SL; n=25)"
"155","34","SL = 0.869TL + 2.407 (range 440 - 983 mm TL; n=25)"
"156","34","TL = 1.150SL - 2.146 (range 440 - 983 mm TL; n=25)"
"157","34","TL = 1.013FL + 4.090 (range 430-967 mm FL; n=25)"
"158","34","FL = 0.987TL - 3.942 (range 430-967 mm FL; n=25)"
"159","34","FL = -1.8 + 1.258 DL"
"160","34","TL = -18 + 1.258 DL (length mm; 550-1070 mm TL)"
"161","34","TL = 0.0558 + 1.2280 DL (60-115 cm TL)"
"162","109","FL= 2.38 + 1.1SL"
"163","109","TL= 0.83 + 1.01FL"
"164","109","TL= 1.41 + 1.2SL"
"165","107","FL= 2.10 + 0.956TL (r^2= 1.0 SE= 2.9)"
"166","107","FL= 8.99 + 1.154SL (r^2= 0.99 SE= 8.83)"
"167","107","SL= -4.80 + 0.823TL (r^2= 0.99 SE= 7.53)"
"168","107","SL= -6.52 + 0.861FL (r^2= 0.99 SE= 7.62)"
"169","107","TL= -2.03 + 1.05FL (r^2= 1.0 SE= 3.04)"
"170","107","TL= 7.27 + 1.21SL (r^2= 0.99 SE= 9.12)"
"171","107","FL= 1.11 + 1.17SL"
"172","107","TL= 0.46 + 1.05FL"
"173","107","TL= 0.7 + 1.22SL"
"174","6","TL=8.15+1.13 SL"
"175","55","FL=16.866 x TL (0.943); SE:4.701"
"176","55","TL=-7.324 x FL (1.029); SE:4.910"
"177","55","FL=17.766 x SL (1.118) SE:4.968"
"178","55","SL= 2.635 x TL (.833) SE:3.435"
"179","55","TL=-7.324 x FL (1.029) SE:4.910"
"180","26","FL= -3.95 + 0.897TL (r^2= 0.974 SE= 6.82)"
"181","26","FL= 9.24 + 1.08SL (r^2= 0.996 SE= 2.03)"
"182","26","SL= -0.741 + 0.774TL (r^2= 0.978 SE= 4.82)"
"183","26","SL= -8.02 + 0.927FL (r^2= 0.996 SE= 1.89)"
"184","26","TL= 10.39 + 1.09FL (r^2= 0.974 SE= 7.51)"
"185","26","TL= 5.58 + 1.27SL (r^2= 0.978 SE= 6.16)"
"186","26","TL= 1.296SL + 1.584"
"187","26","SL= 0.7368TL (sizes < 99 mm)"
"188","26","SL= 0.7393TL (sizes > 100 mm)"
"189","26","SL= 0.7405TL"
"190","26","TL= 1.3504SL"
"191","26","TL= 1.3526SL (sizes > 100 mm)"
"192","26","TL= 1.3571SL (sizes < 99 mm)"
"193","5","TL=1.091 SL + 4.8"
"194","65","DW=15.5 + 0.72 TL:p<0.001, (r^2=0.99)"
"195","67","DW=17.3 + 0.69 TL:p<0.001, (r^2=0.98)"
"196","22","FL= 6.61 + 0.874TL (r^2= 1.0 SE= 1.37)"
"197","22","FL= 9.44 + 1.1SL (r^2= 1.0 SE= 2.34)"
"198","22","SL= -2.03 + 0.79TL (r^2= 1.0 SE= 2.37)"
"199","22","SL= -8.51 + 0.909FL (r^2= 1.0 SE= 21.3)"
"200","22","TL= 2.67 + 1.26SL (r^2= 1.0 SE= 2.99)"
"201","22","TL= -7.53 + 1.14FL (r^2= 1.0 SE= 1.57)"
"202","74","FL= -4.239TL^0.977 (SE= 2.707)"
"203","74","FL= 5.868SL^1.137 (SE= 2.084)"
"204","74","SL= -14.96FL^0.902 (SE=1.832)"
"205","74","SL= -18.66TL^0.881 (SE= 3.64)"
"206","74","TL= 22.25SL^1.131 (SE= 4.13)"
"207","74","TL= 4.852FL^1.022 (SE= 4.56)"
"208","74","SL= (0.833TL) - 4.382"
"209","12","SL = 0.83 TL"
"210","90","SL/TL= 0.811"
"211","90","TL/SL= 1.233"
"212","80","FL= -0.369 + 1.228SL (r^2= 0.998 SE=4.1)"
"213","80","FL= 0.634 + 0.993TL (r^2= 1.0 SE=1.6)"
"214","80","SL= 0.575 + 0.813FL (r^2= 0.998 SE=3.4)"
"215","80","SL= 1.369 + 0.806TL (r^2= 1.0 SE=3.1)"
"216","80","TL= -0.586 + 1.007FL (r^2= 1.0 SE=1.6)"
"217","80","TL= -1.423 + 1.24SL (r^2= 1.0 SE=3.8)"
"218","85","FL= 0.768 + 0.995TL (r^2= 1.0 SE=0.5)"
"219","85","FL= 4.601 + 1.194SL (r^2= 0.998 SE=2.4)"
"220","85","SL= -2.866 + 0.832TL (r^2= 0.998 SE=1.8)"
"221","85","SL= -3.613 + 0.836FL (r^2= 0.998 SE=2.0)"
"222","85","TL= -0.759 + 1.005FL (r^2= 1.0 SE=0.5)"
"223","85","TL= 3.676 + 1.201SL (r^2= 0.998 SE=2.2)"
"224","83","FL= 0.005 + 0.998TL (r^2= 0.998 SE=3.0)"
"225","83","FL= 5.896 + 1.187SL (r^2= 0.992 SE=6.8)"
"226","83","SL= -0.653 + 0.82TL (r^2= 0.994 SE=4.6)"
"227","83","SL= -2.272 + 0.836FL (r^2= 0.992 SE=5.7)"
"228","83","TL= 0.629 + 1.01FL (r^2= 0.998 SE=3.0)"
"229","83","TL= 3.873 + 1.209SL (r^2= 0.994 SE=5.8)"
"230","87","FL= 0.858 + 0.972TL (r^2= 1.0 SE=1.9)"
"231","87","FL= 5.289 + 1.171SL (r^2= 0.998 SE=3.7)"
"232","87","SL= -3.931 + 0.83TL (r^2= 0.998 SE=3.0)"
"233","87","SL= -3.987 + 0.852FL (r^2= 0.998 SE=3.2)"
"234","87","TL= -0.723 + 1.028FL (r^2= 1.0 SE=1.9)"
"235","87","TL= 5.316 + 1.202SL (r^2= 0.998 SE=3.7)"
"236","78","FL= 1.137 + 1.209SL (r^2= 0.994 SE=3.2)"
"237","78","SL= -0.009 + 0.822FL (r^2= 0.994 SE=2.6)"
"238","78","SL= -0.123 + 0.822TL (r^2= 0.996 SE=2.6)"
"239","78","TL= 1.007 + 1.211SL (r^2= 0.996 SE=3.2)"
"240","99","FL= 0.301 + 0.977TL (r^2= 1.0 SE=1.5)"
"241","99","FL= 3.883 + 1.152SL (r^2= 0.998 SE=3.0)"
"242","99","SL= -2.774 + 0.866FL (r^2= 0.998 SE=2.6)"
"243","99","SL= -3.204 + 0.849TL (r^2= 0.998 SE=2.7)"
"244","99","TL= -0.134 + 1.023FL (r^2= 1.0 SE=1.5)"
"245","99","TL= 4.497 + 1.175SL (r^2= 0.998 SE=3.1)"
"246","88","FL= 0.701 + 0.954TL (r^2= 1.0 SE=1.4)"
"247","88","FL= 14.19 + 1.116SL (r^2= 0.996 SE=3.5)"
"248","88","SL= -11.72 + 0.892FL (r^2= 0.996 SE=3.1)"
"249","88","SL= -12.14 + 0.855TL (r^2= 0.996 SE=3.0)"
"250","88","TL= -0.552 + 1.047FL (r^2= 1.0 SE=1.5)"
"251","88","TL= 15.24 + 1.165SL (r^2= 0.996 SE=3.5)"
"252","98","FL= 0.428 + 0.959TL (r^2= 0.998 SE=1.8)"
"253","98","FL= 3.011 + 1.153SL (r^2= 0.988 SE=4.5)"
"254","98","SL= -0.195 + 0.822TL (r^2= 0.986 SE=4.0)"
"255","98","SL= -0.372 + 0.856FL (r^2= 0.988 SE=3.8)"
"256","98","TL= 0.002 + 1.041FL (r^2= 0.998 SE=1.9)"
"257","98","TL= 3.059 + 1.2SL (r^2= 0.986 SE=4.8)"
"258","93","FL= 11.84 + 1.173SL (r^2= 0.994 SE=4.9)"
"259","93","FL= 9.075 + 0.965TL (r^2= 0.998 SE=2.7)"
"260","93","SL= -1.12 + 0.813TL (r^2= 0.992 SE=4.6)"
"261","93","SL= -8.202 + 0.848FL (r^2= 0.994 SE=4.1)"
"262","93","TL= 1.463 + 1.22SL (r^2= 0.992 SE=5.6)"
"263","93","TL= -8.696 + 1.034FL (r^2= 0.998 SE=2.7)"
"264","77","FL= -1.421 + 0.983TL (r^2= 1.0 SE=2.1 )"
"265","77","FL= 7.194 + 1.197SL (r^2= 0.998 SE=5.0)"
"266","77","SL= -5.427 + 0.834FL (r^2= 0.998 SE=4.2)"
"267","77","SL= -5.596 + 0.817TL (r^2= 0.998 SE=4.2 )"
"268","77","TL= 1.595 + 1.017FL (r^2= 1.0 SE=2.1)"
"269","77","TL= 7.724 + 1.221SL (r^2= 0.998 SE=5.2)"
"270","103","FL= 16.44 + 1.168SL (r^2= 0.994 SE=9.2)"
"271","103","FL= 8.665 + 0.946TL (r^2= 0.998 SE=4.4)"
"272","103","SL= -3.095 + 0.804TL (r^2= 0.988 SE=7.9)"
"273","103","SL= -9.445 + 0.847FL (r^2= 0.988 SE=7.8)"
"274","103","TL= -7.857 + 1.054FL (r^2= 0.998 SE=4.6)"
"275","103","TL= 9.629 + 1.229SL (r^2= 0.988 SE=9.8)"
"276","79","FL= 0.352 + 1.192SL (r^2= 0.998 SE=5.0)"
"277","79","FL= -2.164 + 0.962TL (r^2= 1.0 SE=2.2)"
"278","79","SL= 0.644 + 0.836FL (r^2= 0.996 SE=4.2)"
"279","79","SL= -1.192 + 0.804TL (r^2= 0.996 SE=4.6)"
"280","79","TL= 2.495 + 1.039FL (r^2= 1.0 SE=2.3)"
"281","79","TL= 2.93 + 1.238SL (r^2= 0.996 SE=5.7)"
"282","79","SL= 0.8127TL"
"283","79","SL= 0.8506FL"
"284","82","FL= -0.487 + 0.998TL (r^2= 1.0 SE=1.4)"
"285","82","FL= 6.934 + 1.181SL (r^2= 0.986 SE=4.6)"
"286","82","SL= -0.731 + 0.828TL (r^2= 0.99 SE=3.3)"
"287","82","SL= -1.852 + 0.835FL (r^2= 0.986 SE=3.9)"
"288","82","TL= 0.854 + 1.001FL (r^2= 1.0 SE=1.4)"
"289","82","TL= 4.294 + 1.196SL (r^2= 0.99 SE=4.0)"
"290","96","FL= -3.311 + 0.967TL (r^2= 0.998 SE=1.9)"
"291","96","FL= -3.554 + 1.187SL (r^2= 0.992 SE=4.7)"
"292","96","SL= 1.329 + 0.811TL (r^2= 0.994 SE=3.6)"
"293","96","SL= 5.13 + 0.836FL (r^2= 0.992 SE=3.9)"
"294","96","TL= 0.55 + 1.225SL (r^2= 0.994 SE=4.4)"
"295","96","TL= 9.914 + 1.033FL (r^2= 0.998 SE=2.0)"
"296","129","FL= 12.88 + 1.164SL (r^2= 0.996 SE=7.4)"
"297","129","FL= 4.180 + 0.934TL (r^2= 1.0 SE=2.6 )"
"298","129","SL= -7.447 + 0.803TL (r^2= 0.994 SE=6.4 )"
"299","129","SL= -9.326 + 0.855FL (r^2= 0.996 SE=6.4)"
"300","129","TL= 11.48 + 1.239SL (r^2= 0.994 SE=8.0)"
"301","129","TL= -4.107 + 1.07FL (r^2= 1.0 SE=2.8)"
"302","86","SL/TL= 0.822"
"303","86","TL/SL= 1.219"
"304","94","FL= -1.085 + 0.984TL (r^2= 0.998 SE=1.2)"
"305","94","FL= 1.399 + 1.187SL (r^2= 0.994 SE=2.7)"
"306","94","SL= 0.225 + 0.837FL (r^2= 0.994 SE=2.3)"
"307","94","SL= -1.794 + 0.828TL (r^2= 0.992 SE=2.4)"
"308","94","TL= 1.409 + 1.015FL (r^2= 0.998 SE=1.2)"
"309","94","TL= 3.917 + 1.199SL (r^2= 0.992 SE=2.9)"
"310","127","FL= 0.692 + 0.97TL (r^2= 1.0 SE=2.0)"
"311","127","FL= 9.938 + 1.147SL (r^2= 0.998 SE=3.3)"
"312","127","SL= -7.374 + 0.844TL (r^2= 0.998 SE=3.1)"
"313","127","SL= -8.023 + 0.7FL (r^2= 0.994 SE=2.9)"
"314","127","TL= -0.453 + 1.03FL (r^2= 1.0 SE=2.0)"
"315","127","TL= 9.567 + 1.182SL (r^2= 0.998 SE=6.7)"
"316","104","FL= 1.296 + 0.981TL (r^2= 1.0 SE=3.6)"
"317","104","FL= 6.665 + 1.181SL (r^2= 0.992 SE=9.0)"
"318","104","SL= -1.717 + 0.826TL (r^2= 0.992 SE=7.8)"
"319","104","SL= -2.664 + 0.841FL (r^2= 0.992 SE=7.6)"
"320","104","TL= -0.758 + 1.018FL (r^2= 1.0 SE=3.6)"
"321","104","TL= 5.856 + 1.202SL (r^2= 0.992 SE=9.5)"
"322","100","FL= 0.921 + 0.963TL (r^2= 0.998 SE=1.9)"
"323","100","FL= 3.234 + 1.2SL (r^2= 0.998 SE=2.5)"
"324","100","SL= -2.252 + 0.804TL (r^2= 0.998 SE=2.0)"
"325","100","SL= -2.315 + 0.831FL (r^2= 0.998 SE=2.1)"
"326","100","TL= -0.669 + 1.038FL (r^2= 0.998 SE=2.0)"
"327","100","TL= 3.226 + 1.242SL (r^2= 0.998 SE=2.5)"
"328","89","FL= 1.01 + 0.949TL (r^2= 0.996 SE=1.1)"
"329","89","FL= 6.486 + 1.128SL (r^2= 0.956 SE=3.56)"
"330","89","SL= -0.343 + 0.849FL (r^2= 0.956 SE=3.1)"
"331","89","SL= -1.752 + 0.82TL (r^2= 0.958 SE=3.0)"
"332","89","TL= -0.422 + 1.05FL (r^2= 0.996 SE=1.2)"
"333","89","TL= 8.179 + 1.17SL (r^2= 0.958 SE=3.6)"
"334","92","FL= -0.862 + 0.971TL (r^2= 0.998 SE=2.5)"
"335","92","FL= 4.422 + 1.184SL (r^2= 0.99 SE=6.8)"
"336","92","SL= -0.672 + 0.837FL (r^2= 0.99 SE=5.7)"
"337","92","SL= -3.542 + 0.819TL (r^2= 0.99 SE=6.0)"
"338","92","TL= 1.419 + 1.029FL (r^2= 0.998 SE=2.6)"
"339","92","TL= 8.292 + 1.209SL (r^2= 0.99 SE=7.3)"
"340","95","Fresh FL= 10.76 + 1.169 (frozen SL) (r^2= 0.966)"
"341","95","Fresh FL= 3.82 + 1.00 (frozen FL) (r^2= 0.98)"
"342","95","Fresh FL= 6.11 + 1.157 (fresh SL) (r^2= 0.996)"
"343","95","Fresh SL= 2.6 + 1.0128 (frozen SL) (r^2= 0.976)"
"344","95","Fresh SL= -4.79 + 0.86262 (fresh FL) (r^2= 0.998)"
"345","91","FL= -1.07 + 0.991TL (r^2=0.998 SE=1.3)"
"346","91","FL= 12.02 + 1.17SL (r^2= 0.99 SE=2.3)"
"347","91","SL= -0.852 + 0.847FL (r^2= 0.99 SE=1.96)"
