"FdHeteroID","LkupSpeciesID","FdExpectedHetero","FdExpectiedHeteroSE","FdObservedHetero","FdObservedHeteroSE","VLApproachHetero"
"1","72","NG","","0.033 to 0.064","","Allozymes"
"2","72","NG","","0.024 to 0.06","","Allozymes"
"3","63","NG","","0.009","","Allozymes"
"4","23","NG","","0.0573","","NF"
"5","18","NG","","0.015","","Allozymes"
"6","75","NG","","0.03","","Allozymes"
"7","27","NG","","0.025","","Allozymes"
"8","11","NG","","0.07","0.02","Allozymes"
"9","28","NF","","0.087","","Allozymes"
"10","105","NG","","0.025","","Allozymes"
"11","34","0.046 to 0.052 ","0.017 to 0.018","0.05","0.001","Allozymes"
"12","109","NG","","0.019","","Allozymes"
"13","109","NG","","0.012","","Allozymes"
"14","110","NG","","0.085","0.012","Allozymes"
"15","110","NG","","0.09","0.011",""
"16","6","0.046","0.019","0.046","0.019","Allozymes"
"17","6","0.058","0.027","0.058","0.027",""
"18","80","0.06","0.029","0.033","0.022","Allozymes"
"19","80","0.046 to 0.068","","","",""
"20","85","0.022","0.018","0.022","0.017","Allozymes"
"21","83","0.02","","NA","","Allozymes"
"22","83","0.018","","NA","","Allozymes"
"23","83","0.047","0.03","0.03","0.022","Allozymes"
"24","83","0.035 to 0.067","","NA","","Allozymes"
"25","87","0.013","0.013","0.014","0.014","Allozymes"
"26","78","0.037","0.025","0.042","0.029","Allozymes"
"27","99","0.063","0.032","0.014","0.01","Allozymes"
"28","88","0.006","0.005","0.006","0.005","Allozymes"
"29","88","0.034","","NA","","Allozymes"
"30","88","0.042","","NA","","Allozymes"
"31","128","0.108","0.049","0.111","0.051","Allozymes"
"32","93","0.092","0.036","0.046","0.02","Allozymes"
"33","93","0.046 to 0.074","","","",""
"34","77","0.046","0.024","0.034","0.017","Allozymes"
"35","79","0.042","0.027","0.026","0.016","Allozymes"
"36","82","0.054","0.028","0.017","0.012","Allozymes"
"37","129","0.01","0.007","0.01","0.008","Allozymes"
"38","129","0.022","","","","Allozymes"
"39","130","0.012","0.009","0.012","0.009","Allozymes"
"40","104","NG","","0.41 to 0.89","","Microsatellites"
"41","100","0.009","0.009","0.009","0.009","Allozymes"
"42","92","0.065","0.039","0.048","0.025","Allozymes"
"43","95","0.0536","","0.049","0.048","Allozymes"
"44","91","0.0447","","0.047","0.045","Allozymes"
"45","41","NG","","0.033","","Allozymes"
"46","71","NG","","0.043","","NF"
"47","113","NG","","0.052","","Allozymes"
"48","113","NG","","0.037","",""
"49","113","NG","","0.078","",""
