"FdSexParameterID","FdGrowthParameterID","VLSexType","FdLinf","FdLinfSE","FdK","FdKSE","FdTzero","FdTzeroSE","FdParameterRsquared"
"245","346","Female","39.8","","","0.263","","-0.2",""
"247","347","Male","43.3","","0.45","0.27","0.02","-1.03","0.19"
"248","347","Female","51.9","","0.93","0.18","0.01","-1.57","0.23"
"252","348","Both","30.1","","3.8","0.072","0.003","-1.9","0.21"
"253","349","Male","32.94","","","0.195","","-0.95",""
"254","349","Female","40.02","","","0.149","","-1.34",""
"256","350","Male","33.17","","","0.195","","-0.94",""
"257","350","Female","43.07","","","0.107","","-1.94",""
"259","351","Male","32.31","","","0.194","","-0.99",""
"260","351","Female","39.33","","","0.166","","-1.14",""
"264","352","Both","68.8","","11.4","0.098","0.003","-0.69","0.0494"
"267","353","Both","32.71","","4.2","0.147","0.005","-0.605","0.054"
"268","354","Male","30.01","","3.5","0.108","0.01","-3.273","0.7"
"269","354","Female","37.45","","9.1","0.079","0.008","-3.465","0.889"
"271","355","Male","27.93","","7.7","0.133","0.016","-2.074","0.519"
"272","355","Female","28.66","","16.9","0.101","0.018","-2.772","0.601"
"274","356","Male","29.52","","8.2","0.22","0.04","-0.723","0.28"
"275","356","Female","38.28","","11.1","0.158","0.021","-0.79","0.367"
"279","357","Both","39.2","","","0.058","","-0.87",""
"282","358","Both","16","","","0.122","","-2.95",""
"285","359","Both","56.4","","","0.098","","-0.69",""
"288","360","Both","20.2","","","0.174","","-1.13",""
"291","361","Both","26.8","","","0.147","","-0.6",""
"292","362","Male","52","","","","","",""
"293","362","Female","63","","","","","",""
"297","363","Both","14.65","","","0.128","","-0.281",""
"300","364","Both","42.7","","","","","",""
"303","365","Both","51.4","","","0.16","","-0.55",""
"306","366","Both","51.3","","","0.11","","-2.41",""
"307","367","Male","55.72","","","0.178","","0.595",""
"308","367","Female","66.11","","","0.118","","-0.24",""
"310","368","Male","97.6","","195","0.225","0.196","-1.375","0.925"
"311","368","Female","86.1","","68","0.285","0.059","-1.086","0.688"
"312","368","Both","97.7","","64","0.224","0.05","-1.296","0.49"
"313","369","Male","142.4","","185","0.218","0.177","-1.032","0.42"
"314","369","Female","101.8","","165","0.35","0.063","-1.002","0.296"
"315","369","Both","154.4","","245","0.168","0.058","-1.271","0.339"
"316","370","Male","149.9","","","0.089","","-2.03",""
"317","370","Female","160.2","","","0.073","","-2.74",""
"318","370","Both","153.6","","","0.082","","-2.31",""
"324","372","Both","60.46","","","0.344","","0.14",""
"325","373","Male","100.4","","204","0.229","0.111","-1.58","0.541"
"326","373","Female","158.7","","140","0.1","0.019","-2.059","0.354"
"330","374","Both","87.2","","3.3","0.015","0.001","-6.05","0.78"
"333","375","Both","33.7","","1.2","0.059","0.006","-0.38","0.56"
"334","376","Male","142","","","0.095","","-3.942",""
"335","376","Female","594","","","0.016","","-3.8",""
"336","376","Both","228","","","0.047","","-4.03",""
"337","377","Male","82.49","","","0.148","","-2.67",""
"338","377","Female","100.5","","","0.106","","-2.9",""
"340","378","Male","30","","","-0.389","","0.296",""
"341","378","Female","42.84","","","-0.258","","0.313",""
"343","379","Male","96.7","","10","0.25","0.1","0.73","1.1"
"344","379","Female","106.9","","13.1","0.16","0.05","-0.3","0.08"
"345","379","Both","104.7","","9.1","0.17","0.05","-0.16","0.62"
"346","445","Male","79.7","","","0.21","","-2",""
"347","445","Female","101.4","","","0.11","","-3.6",""
"349","446","Male","70","","5","0.12","0.02","-1.91","0.29"
"350","446","Female","62","","2","0.14","0.02","-1.95","0.28"
"351","446","Both","71","","8","0.1","0.04","-2.63","1.31"
