"GestationEggDurationID","ReferenceName"
"4","1397"
"4","895"
"5","326"
"51","817"
"9","842"
"53","678"
"54","334"
"52","1259"
"52","842"
"52","420"
"52","1377"
"52","487"
"52","453"
"52","331"
"6","895"
"7","842"
"7","350"
"7","436"
"8","678"
"88","577"
"88","310"
"88","1076"
"88","506"
"88","692"
"89","842"
"25","895"
"25","1278"
"25","842"
"26","1278"
"50","724"
"50","895"
"98","1010"
"151","1298"
"151","650"
"152","842"
"58","749"
"58","1169"
"59","261"
"20","261"
"20","1146"
"20","577"
"20","1127"
"20","333"
"134","290"
"135","755"
"136","45"
"137","470"
"138","749"
"138","728"
"138","603"
"139","603"
"140","647"
"23","443"
"24","842"
"24","290"
"24","439"
"12","842"
"12","290"
"12","443"
"11","439"
"28","401"
"61","842"
"61","404"
"61","401"
"153","75"
"60","842"
"60","892"
"60","466"
"60","650"
"93","244"
"29","345"
"30","842"
"30","244"
"72","500"
"72","436"
"81","842"
"81","244"
"74","1037"
"75","592"
"76","436"
"76","23"
"77","842"
"77","1058"
"78","160"
"79","200"
"79","577"
"17","842"
"18","577"
"18","1328"
"19","23"
"19","244"
"47","506"
"48","842"
"48","244"
"49","577"
"90","566"
"91","577"
"91","566"
"91","506"
"92","244"
"82","200"
"83","577"
"86","461"
"87","200"
"84","461"
"85","200"
"85","577"
"85","1110"
"55","130"
"56","130"
"22","439"
"22","842"
"22","454"
"22","211"
"27","895"
"27","527"
"62","472"
"63","1425"
"64","248"
"65","718"
"66","866"
"67","788"
"68","60"
"69","370"
"70","162"
"57","1322"
"57","1324"
"143","577"
"144","1060"
"145","436"
"146","1045"
"147","842"
"148","178"
"149","982"
"150","587"
"131","979"
"132","454"
"133","982"
"133","436"
"130","453"
"130","983"
"130","111"
"33","926"
"34","577"
"35","1455"
"36","436"
"37","578"
"38","211"
"39","1061"
"40","1175"
"41","842"
"42","111"
"42","1061"
"44","454"
"44","21"
"44","1224"
"44","1225"
"44","1220"
"44","1219"
"44","285"
"44","842"
"45","1217"
"45","761"
"45","1218"
"46","21"
"10","436"
"21","436"
"21","1396"
"95","1038"
"95","1446"
"96","87"
"96","842"
"97","334"
"128","978"
"71","294"
"71","303"
"71","295"
"129","1285"
"129","453"
"141","454"
"142","982"
"155","105"
"73","498"
