"FdGroupName","FdFamilyName","FdSciName","FdCommonName"
"Anarhichadidae","Anarhichadidae","Anarrhichthys ocellatus","wolf eel"
"Atherinopsidae","Atherinopsidae","Atherinopsis californiensis","jacksmelt"
"Atherinopsidae","Atherinopsidae","Atherinops affinis","topsmelt"
"Atherinopsidae","Atherinopsidae","Leuresthes tenuis","California grunion"
"Batrachoididae ","Batrachoididae","Porichthys notatus","plainfin midshipman"
"Carangidae","Atherinidae","Seriola dorsalis","yellowtail"
"Clinidae","Clinidae","Heterostichus rostratus","giant kelpfish"
"Cottidae","Cottidae","Scorpaenichthys marmoratus","cabezon"
"Cottidae","Cottidae","Hemilepidotus hemilepidotus ","red Irish lord"
"Cottidae","Cottidae","Leptocottus armatus","staghorn sculpin"
"Elasmobranchs ","Chimaeridae","Hydrolagus colliei","ratfish"
"Elasmobranchs ","Dasyatididae","Urolophus halleri","round stingray"
"Elasmobranchs ","Heterodontidae","Heterodontus francisci","horn shark"
"Elasmobranchs ","Hexanchidae","Notorynchus maculatus","sevengill shark"
"Elasmobranchs ","Hexanchidae","Hexanchus griseus","sixgill shark"
"Elasmobranchs ","Myliobatidae","Myliobatis californica","bat ray"
"Elasmobranchs ","Platyrhinidae","Platyrhinoidis triseriata","thornback"
"Elasmobranchs ","Rajidae","Raja binoculata","big skate"
"Elasmobranchs ","Rajidae","Raja inornata","California skate"
"Elasmobranchs ","Rajidae","Raja rhina","longnose skate"
"Elasmobranchs ","Rajidae","Raja kincaidii","sandpaper skate"
"Elasmobranchs ","Rajidae","Raja stellulata","starry skate"
"Elasmobranchs ","Rhinobatidae","Rhinobatos productus","shovelnose guitarfish"
"Elasmobranchs ","Scyliorhinidae","Cephaloscyllium ventriosum","swell shark"
"Elasmobranchs ","Squalidae","Squalus acanthias","spiny dogfish shark"
"Elasmobranchs ","Squatinidae","Squatina californica","Pacific angel shark"
"Elasmobranchs ","Torpedinidae","Torpedo californica","Pacific electric ray"
"Elasmobranchs ","Triakidae","Mustelus henlei","brown smoothhound shark"
"Elasmobranchs ","Triakidae","Mustelus californicus","grey smoothhound shark"
