"ReferenceName","SexualityID"
"232","279"
"436","284"
"436","283"
"1","282"
"1","346"
"1285","390"
"1","304"
"1","302"
"1","316"
"1","356"
"436","399"
"1","328"
"1","327"
"1","297"
"1","394"
"1","395"
"1","303"
"1","288"
"1","307"
"1","330"
"1","354"
"1","400"
"1","329"
"1","398"
"1","341"
"1","348"
"1","349"
"1","351"
"1","350"
"1","352"
"1","308"
"436","337"
"1","290"
"1","291"
"1","340"
"436","338"
"661","338"
"1","296"
"436","312"
"1","315"
"1","347"
"1","342"
"1","345"
"1","344"
"1","343"
"1","318"
"1","396"
"842","320"
"1261","321"
"1261","323"
"842","324"
"1","305"
"1","306"
"1","331"
"1276","299"
"454","300"
"842","301"
"300","388"
"1391","389"
"300","389"
"443","389"
"1","286"
"1322","325"
"1324","325"
"1322","326"
"1324","326"
"1060","402"
"436","393"
"1","392"
"436","311"
"1","289"
"1","314"
"436","285"
"436","298"
"1","355"
"1","357"
"1","358"
"1","359"
"1","360"
"1","361"
"1","362"
"1","363"
"1","364"
"1","365"
"1","366"
"1","367"
"1","368"
"1","369"
"1","370"
"1","371"
"1","372"
"1","373"
"1","374"
"1","375"
"1","376"
"1","377"
"1","378"
"1","379"
"1","380"
"1","381"
"1","382"
"1","383"
"1","384"
"1","385"
"1","386"
"1","387"
"436","332"
"1285","332"
"1016","332"
"1240","332"
"667","333"
"583","334"
"1016","334"
"436","335"
"1016","336"
"1285","391"
"1","287"
"1","401"
"1","280"
"1","281"
"670","292"
"1","294"
"1","295"
"1","309"
"1","310"
"1","313"
"1","339"
"1","353"
"1","293"
