"FdMaturitySexID","FdMaturityID","VLSexType","FdLgthFirstMaturity","FdAgeFirstMaturity","FdLgth50%Maturity","FdAge50%Maturity"
"1","1711","Female","13","2","",""
"2","1711","Male","13","2","",""
"3","1712","Unspecified","13","","24",""
"4","1713","Female","","","","2"
"5","1714","Male","","<1","","<1"
"6","1714","Female","","2","","2"
"7","1715","Male","","","23.1",""
"8","1716","Male","","2","","2"
"9","1716","Female","24","3","27","4"
"10","1717","Unspecified","24","","27.7",""
"11","1718","Female","","","","4"
"12","1722","Female","17.8","2","",""
"13","1722","Male","17.8","2","",""
"14","1723","Female","","2 to 3","",""
"15","1724","Male","","1 to 2","",""
"16","1724","Female","","2 to 3","",""
"17","1725","Female","10 to 11","1","",""
"18","1725","Male","10 to 11","1","",""
"19","1726","Female","12","2","",""
"20","1726","Male","12","2","",""
"21","1727","Female","","2","",""
"22","1727","Male","","2","",""
"23","1728","Female","","2","",""
"24","1728","Male","","2","",""
"25","1729","Female","","2 to 3","",""
"26","1729","Male","","2 to 3","",""
"27","1730","Female",">14","2 to 3","",""
"28","1730","Male",">14","2 to 3","",""
"29","1731","Female",">20","2","",""
"30","1731","Male",">20","2","",""
"31","1732","Male","","","61",""
"32","1732","Female","","","71",""
"33","1733","Male",">50","","60",""
"34","1733","Female","60","","70",""
"35","1734","Male","51","","",""
"36","1734","Female","61","","","4"
"37","1735","Female","","3","","4"
"38","1736","Male","51","3","81.3","6"
"39","1736","Female","61","4","81.3","6"
"40","1737","Male","51","2","61",""
"41","1737","Female","61","3","71",""
"42","1738","Female","","","79","5 to 6"
"43","1738","Male","51","","",""
"44","1739","Female","41 to 48","3 to 4","",""
"45","1739","Male","48 to 56","4 to 5","",""
"46","1740","Unspecified","36","4","39","5"
"47","1741","Unspecified","28 to 32.5","","",""
"48","1742","Unspecified","","3 to 4","",""
"49","1744","Unspecified","14","2","",""
"50","1745","Female","","","19","2 to 3"
"51","1746","Female","16.5","","19","3"
"52","1747","Female","","2","",""
"53","1747","Male","","2","",""
"54","1748","Female","","","19","2 to 3"
"55","1748","Male","","","19","2 to 3"
"56","1749","Female","7","","",""
"57","1749","Male","7","","",""
"58","1750","Female","7 to 8","","",""
"59","1751","Female","","at birth","","at birth"
