"FdGestationEggDurationID","LkupSpeciesID","FdGestationEggDuration"
"1","17","None"
"2","19","None"
"3","21","None"
"4","1","3 to 4 months"
"5","1","2 months"
"6","3","9 days"
"7","3","5 days (55 F) to less than 9 days (81 F)"
"8","3","11.3 days (21 C)"
"9","2","7-19 days"
"10","72","3 days"
"11","106","7.5 months"
"12","106","young hatch in 7.5-10 months"
"13","23","None"
"14","20","None"
"15","18","None"
"16","24","None"
"17","57","8 days"
"18","57","8-9 day"
"19","57","6.2-13.5 days"
"20","124","12 month gestation"
"21","75","52 hours"
"22","29","10-12 days"
"23","33","young hatch in 8-9 months"
"24","33","young hatch in 7-9 months"
"25","11","12-17 days"
"26","11","14 days (avg.)"
"27","36","30 d (6-10oC)"
"28","38","12 month gestation"
"29","10","9-12 months"
"30","10","1 yr."
"31","25","None"
"32","125","None"
"33","50","8.5 days (17.6 C) to 13 days (12.1 C)"
"34","50","10-12 days (summer)"
"35","50","9-10 days"
"36","50","8.5-30 days"
"37","50","10-11 days"
"38","50","14-21 days"
"39","50","approx. 14 days"
"40","50","10 days in summer, longer in winter"
"41","50","8-28 days"
"42","50","14-28 days"
"43","126","None"
"44","64","2 to 3 weeks"
"45","64","12 to 23 days"
"46","64","hatching occurs from dusk to dawn"
"47","58","24 days"
"48","58","6-25 days"
"49","58","9-25 days"
"50","14","9-14 days at 15oC"
"51","4","14 days"
"52","4","10 days"
"53","4","10.5 days(23 C), 20.5days (18 C)"
"54","4","7.5 days"
"55","28","8-10.5 days"
"56","30","8.5-11 days"
"57","44","days"
"58","122","10-month gestation"
"59","122","10-11 month gestation"
"60","46","9-12 month gestation"
"61","37","12 month gestation"
"62","34","unknown"
"63","34","6 wk"
"64","34","5-11 wk (7 avg)"
"65","34","7 wk"
"66","34","> 5 wk, estimated 7-8 wk, one nest 11 wk"
"67","34","5-7 wk"
"68","34","35 days at 10 oC; 48 days at 8 oC"
"69","34","21 days"
"70","40","48 hours"
"71","109","36 hours"
"72","6","approx. 2 days @16 C"
"73","6","1.4(20 C) to 3.1 days (12 C)"
"74","55","approx. 4 days"
"75","55","3.75 days @ 55 F"
"76","55","3.5 days @ 12C to 11.8 days @ 4C"
"77","55","4-12 days"
"78","55","3-12 days"
"79","55","3-4 days"
"80","26","None"
"81","62","2-15 days"
"82","52","11 days"
"83","52","12 days"
"84","53","< 7 days"
"85","53","6-7 days"
"86","56","approx. 4 days"
"87","56","3-4 days"
"88","5","16-20 days"
"89","5","15 days"
"90","59","6-7 days"
"91","59","5-7 days"
"92","59","3.5-7 days"
"93","65","approx. 1 year"
"94","22","None"
"95","97","3 days"
"96","97","<5 days"
"97","97","2-3 days"
"98","12","2-3 weeks"
"99","90","NA"
"100","80","NA"
"101","85","NA"
"102","83","NA"
"103","87","NA"
"104","78","NA"
"105","99","NA"
"106","81","NA"
"107","88","NA"
"108","128","NA"
"109","98","NA"
"110","93","NA"
"111","77","NA"
"112","103","NA"
"113","79","NA"
"114","82","NA"
"115","101","NA"
"116","96","NA"
"117","129","NA"
"118","130","NA"
"119","86","NA"
"120","94","NA"
"121","127","NA"
"122","104","NA"
"123","84","NA"
"124","100","NA"
"125","89","NA"
"126","92","NA"
"127","102","NA"
"128","95","~2 to 3 weeks"
"129","111","couple of days"
"130","49","14 days"
"131","48","25 days (9.6-10.6 C)"
"132","48","14-21 days"
"133","48","40 days (7 C)"
"134","112","18-24 month gestation"
"135","112","12 month gestation"
"136","112","20 months"
"137","112","21 months"
"138","112","approx. 2 yr. gestation"
"139","112","22-24 month gestation"
"140","113","10 months"
"141","118","8-10 days"
"142","117","2-3 week incubation"
"143","47","30-40 days(4.4-7.2 C)"
"144","47","35-39 days"
"145","47","19 days (8.5-11.5 C) and 30-40 days (4.4-7.2 C)"
"146","47","21 days"
"147","47","19-40 days"
"148","47","14 days"
"149","47","14-21 days"
"150","47","21-28 days (4-5 C)"
"151","123","approx. 12 month gestation"
"152","123","10-12 month gestation"
"153","16","3 month gestation"
"154","9","Surface to 69"
"155","72","Combined egg & larval duration is 40 days"
