"ReferenceName","SizeRangeID"
"1198","678"
"1198","680"
"1198","679"
"822","57"
"1341","58"
"1401","59"
"1401","60"
"1341","61"
"822","232"
"1217","233"
"285","233"
"1401","234"
"968","42"
"436","42"
"977","42"
"1033","43"
"754","44"
"977","45"
"1033","48"
"882","49"
"436","50"
"968","51"
"977","51"
"754","52"
"436","46"
"977","47"
"959","120"
"1382","121"
"968","122"
"496","123"
"436","124"
"895","124"
"1396","124"
"968","128"
"895","129"
"1396","130"
"436","131"
"1382","132"
"1396","125"
"436","126"
"968","127"
"968","293"
"968","494"
"361","650"
"353","651"
"968","652"
"968","699"
"968","700"
"968","653"
"968","495"
"968","294"
"87","496"
"1038","496"
"178","496"
"334","497"
"87","497"
"1038","497"
"1394","497"
"178","497"
"443","497"
"334","498"
"1394","498"
"874","523"
"1382","527"
"874","533"
"874","539"
"1473","546"
"1473","547"
"874","550"
"156","569"
"874","579"
"1374","580"
"178","580"
"874","589"
"1371","593"
"874","603"
"874","607"
"874","622"
"960","624"
"969","625"
"577","626"
"1052","626"
"506","626"
"1369","632"
"960","633"
"969","634"
"1052","635"
"976","500"
"960","500"
"334","500"
"1038","500"
"969","500"
"1262","500"
"1307","525"
"969","525"
"55","525"
"957","526"
"895","529"
"1382","529"
"1270","530"
"604","530"
"969","531"
"1262","531"
"895","531"
"744","531"
"348","532"
"969","535"
"55","535"
"965","536"
"348","537"
"956","538"
"957","538"
"604","541"
"348","541"
"1270","541"
"895","542"
"392","543"
"969","543"
"1262","543"
"744","543"
"895","545"
"965","545"
"55","549"
"969","552"
"1394","552"
"965","555"
"963","556"
"1262","556"
"895","558"
"965","559"
"577","560"
"895","562"
"1262","563"
"1124","563"
"965","565"
"895","567"
"348","567"
"744","568"
"789","573"
"969","573"
"895","573"
"956","574"
"744","575"
"156","576"
"744","576"
"895","578"
"244","582"
"506","582"
"1307","582"
"956","583"
"895","583"
"969","583"
"957","583"
"744","584"
"1307","584"
"744","586"
"744","588"
"965","591"
"969","592"
"1262","592"
"1371","595"
"969","596"
"1124","596"
"1262","597"
"895","597"
"895","599"
"969","601"
