"FdAlleleID","LkupSpeciesID","FdMean#Alleles","FdAlleleSE"
"1","11","1.04","0.04"
"2","11","1.2","0.06"
"3","11","1.23","0.07"
"4","11","1.25","0.07"
"5","11","1.3","0.09"
"6","34","1.5","0.1"
"7","6","1.29",""
"8","6","1.68",""
"9","80","1.2","0.1"
"10","85","1.2","0.1"
"11","83","1.2","0.1"
"12","83","1.04",""
"13","87","1","0"
"14","78","1.1","0.1"
"15","99","1.2","0.1"
"16","88","1.1","0.1"
"17","88","1.08",""
"18","128","1.3","0.1"
"19","93","1.4","0.1"
"20","77","1.2","0.1"
"21","79","1.1","0.1"
"22","82","1.2","0.1"
"23","129","1.1","0.1"
"24","130","1.1","0.1"
"25","100","1","0"
"26","92","1.3","0.1"
