"FdGrowthParameterID","ReferenceName"
"463","1238"
"293","1410"
"297","724"
"299","1300"
"263","802"
"280","1010"
"264","802"
"370","778"
"368","1472"
"368","1471"
"326","750"
"377","991"
"445","642"
"487","727"
"488","1173"
"459","127"
"460","127"
"376","1331"
"369","1472"
"369","1471"
"373","888"
"373","891"
"379","1474"
"379","1475"
"471","193"
"464","415"
"465","415"
"346","193"
"466","415"
"467","415"
"455","1388"
"489","1107"
"378","1249"
"461","1354"
"325","752"
"362","144"
"509","1059"
"318","785"
"324","477"
"268","981"
"278","83"
"281","193"
"287","1158"
"296","203"
"371","527"
"484","1162"
"485","759"
"267","116"
"266","116"
"270","82"
"269","981"
"282","709"
"272","714"
"286","11"
"271","714"
"273","16"
"285","11"
"274","1226"
"265","1152"
"279","986"
"294","271"
"295","271"
"298","272"
"300","252"
"301","1248"
"291","252"
"292","475"
"302","1248"
"290","250"
"288","251"
"289","336"
"304","246"
"283","709"
"275","15"
"276","14"
"277","942"
"284","736"
"303","472"
"305","248"
"372","539"
"512","1322"
"462","1175"
"363","1315"
"481","852"
"480","847"
"327","1148"
"329","808"
"365","831"
"504","536"
"500","1392"
"330","808"
"331","808"
"494","83"
"501","1392"
"505","536"
"497","981"
"332","808"
"357","275"
"328","1473"
"333","808"
"469","1473"
"334","808"
"473","849"
"358","275"
"321","1418"
"354","1201"
"474","849"
"322","1418"
"355","1201"
"475","849"
"495","83"
"498","981"
"502","1392"
"506","536"
"307","1152"
"313","1445"
"499","981"
"503","1392"
"496","83"
"492","1380"
"493","1380"
"507","536"
"335","808"
"448","916"
"510","1379"
"454","327"
"336","808"
"352","1074"
"359","275"
"449","916"
"364","736"
"350","784"
"351","784"
"349","784"
"470","875"
"337","808"
"476","849"
"508","1"
"452","1268"
"367","153"
"456","1167"
"486","1433"
"490","736"
"491","536"
"458","1434"
"319","66"
"338","808"
"457","1268"
"491","1392"
"320","66"
"323","1418"
"356","1201"
"339","808"
"366","831"
"360","275"
"340","808"
"477","849"
"308","1152"
"341","808"
"450","916"
"311","1156"
"353","1074"
"361","275"
"478","849"
"479","849"
"342","808"
"343","838"
"347","836"
"314","941"
"312","941"
"315","941"
"316","941"
"317","941"
"451","201"
"374","1495"
"345","1147"
"344","756"
"348","756"
"375","1495"
"482","856"
"468","38"
"483","856"
"472","1082"
"446","886"
"447","886"
