"FdSizeRangeID","LkupSpeciesID","VLLifeStage","FdSizeRange"
"1","17","Eggs","0.4"
"2","17","Eggs","0.65 to 0.68"
"3","17","Juveniles","<51 to maturity"
"4","17","Juveniles",">40 to maturity"
"5","17","Juveniles","44.5 to maturity"
"6","17","Larvae","No external larval stage"
"7","19","Larvae","No external larval stage"
"8","21","Juveniles","50 to maturity"
"9","21","Larvae","No external larval stage"
"10","1","Eggs","5.2 to 5.4"
"11","1","Eggs","5.2 to 5.5"
"12","1","Juveniles","47.6 to maturity"
"13","1","Larvae","30.5"
"14","1","Larvae","33.5"
"15","1","Larvae","18.6 to 47.6"
"16","1","Larvae","30 to 35"
"17","32","Eggs","0.76 to 0.88"
"18","32","Eggs","NG"
"19","32","Juveniles","100 to 314 (juv or adult?)"
"20","32","Larvae","1.7 NL (hatching) to 22 (transformation)"
"21","32","Larvae","2.2 to 12.6"
"22","3","Eggs","01.5 to 1.7"
"23","3","Eggs","1.4 to 1.7 x 1.5 to 1.8"
"24","3","Eggs","1.62 (avg.)"
"25","3","Juveniles","18.5 to 120.0"
"26","3","Juveniles","30.1 to 39.3"
"27","3","Larvae","4.3 to 15"
"28","3","Larvae","4.3 to 18.5"
"29","3","Larvae","4.3 to 21"
"30","3","Larvae","4.3 to 4.9 (at hatching) to 18.5"
"31","3","Larvae","5.4 TL (size at hatching)"
"32","2","Eggs","0.88 to 2.4"
"33","2","Eggs","0.9 to 2.2"
"34","2","Eggs","1.9 to 2.5"
"35","2","Eggs","1.9 to 2.5"
"36","2","Eggs","2.0 to 2.5"
"37","2","Juveniles","25.8 to 37.0"
"38","2","Larvae","6.0 to 19.8"
"39","2","Larvae","7.5 to 19.5"
"40","2","Larvae","7.5 to 8.6 (at hatching) to 25"
"41","2","Larvae","8.1 TL (size at hatching)"
"42","72","Eggs","1.24 to 1.32"
"43","72","Eggs","1.28 ± 0.013 (1.2 to 1.4)"
"44","72","Eggs","1.29 to 1.33"
"45","72","Eggs","among the largest of scianid eggs"
"46","72","Juveniles","33.0 to maturity"
"47","72","Juveniles","69.7 to maturity"
"48","72","Larvae","2.49 (2.44 to 2.76)"
"49","72","Larvae","2.6 to"
"50","72","Larvae","2.8 to 33"
"51","72","Larvae","2.8 to 69.7"
"52","72","Larvae","3.14 to"
"53","43","Larvae","<2.6 to 7.0"
