"FdHaplotypeAreaID","LkupSpeciesID","FdHaplotypeArea","FdHaplotypeNotes"
"1","128","Alaska to CA","94.49 ± 1.57"
"2","95","northern and southern California","shared pair of haplotypes from these individuals"
