"FdLgth2WgtEqID","ReferenceName"
"621","849"
"622","808"
"623","808"
"624","808"
"625","849"
"626","1201"
"627","1201"
"628","849"
"629","1201"
"630","1201"
"631","849"
"632","1156"
"633","1392"
"634","536"
"635","1392"
"636","1392"
"639","1392"
"640","1392"
"637","981"
"638","83"
"642","1156"
"653","981"
"654","83"
"658","808"
"656","808"
"652","808"
"645","916"
"650","1270"
"646","1270"
"644","916"
"643","916"
"657","1392"
"655","1392"
"651","1392"
"641","1380"
"659","1379"
"660","1379"
"649","536"
"648","536"
"647","536"
"661","849"
"662","1074"
"663","808"
"664","808"
"665","808"
"675","944"
"673","944"
"670","944"
"674","808"
"672","808"
"671","808"
"669","875"
"668","916"
"667","916"
"666","916"
"676","808"
"677","808"
"678","808"
"679","1"
"680","849"
"681","849"
"701","1074"
"704","808"
"703","808"
"702","808"
"697","916"
"698","916"
"696","916"
"700","1392"
"682","1156"
"695","1268"
"689","1268"
"685","1268"
"694","1268"
"690","1268"
"684","1268"
"692","1268"
"688","1268"
"683","1268"
"691","1433"
"686","1433"
"706","1167"
"705","1167"
"699","536"
"693","102"
"687","102"
"707","1156"
"708","1201"
"709","1201"
"711","831"
"714","808"
"713","808"
"712","808"
"710","1096"
"716","849"
"717","808"
"718","808"
"719","808"
"715","275"
"720","849"
"733","808"
"731","808"
"729","808"
"724","916"
"723","916"
"722","916"
"721","1156"
"725","536"
"726","536"
"727","536"
"728","1392"
"730","1392"
"732","1392"
"735","849"
"736","849"
"737","1074"
"738","849"
"739","849"
"740","1096"
"741","838"
"742","836"
"743","836"
"744","808"
"745","808"
"746","808"
"747","1096"
"748","941"
"749","941"
"750","941"
"751","941"
"752","1147"
"753","691"
"754","691"
"537","1096"
"538","1096"
"539","1470"
"540","367"
"541","38"
"542","367"
"761","1376"
"412","652"
"413","886"
"414","418"
"415","886"
"416","886"
"781","652"
"775","1096"
"776","876"
"777","114"
"497","280"
"498","280"
"397","1095"
"398","1186"
"568","310"
"569","1076"
"757","308"
"758","308"
"759","308"
"467","1278"
"465","363"
"466","363"
"493","1300"
"494","1410"
"495","115"
"496","68"
"579","802"
"580","808"
"581","808"
"582","808"
"583","1010"
"779","2"
"780","2"
"512","1169"
"513","1169"
"456","1"
"457","1"
"763","726"
"764","726"
"765","726"
"766","991"
"767","991"
"768","1"
"769","1"
"770","1174"
"771","1174"
"772","1174"
"773","992"
"774","992"
"473","401"
"514","401"
"515","401"
"570","1474"
"570","1475"
"572","1474"
"572","1475"
"573","1474"
"573","1475"
"474","720"
"475","720"
"392","415"
"393","415"
"394","135"
"395","135"
"396","135"
"428","415"
"429","415"
"432","54"
"432","50"
"431","54"
"431","50"
"430","54"
"430","50"
"433","1017"
"433","1019"
"434","59"
"435","115"
"436","528"
"427","1292"
"443","415"
"444","1096"
"445","59"
"446","367"
"442","415"
"447","1230"
"448","1230"
"449","518"
"450","518"
"451","1295"
"452","1295"
"476","415"
"477","415"
"478","54"
"478","50"
"479","54"
"479","50"
"480","54"
"480","50"
"481","1096"
"482","1448"
"483","1448"
"484","1448"
"486","1096"
"554","415"
"553","415"
"555","54"
"555","50"
"556","54"
"556","50"
"557","54"
"557","50"
"558","1096"
"559","59"
"560","120"
"561","120"
"574","1096"
"437","1096"
"438","1096"
"439","367"
"440","1388"
"441","1388"
"543","550"
"422","269"
"423","73"
"421","269"
"420","269"
"419","269"
"424","269"
"425","471"
"426","471"
"562","477"
"563","120"
"564","120"
"565","1032"
"566","1032"
"544","1461"
"544","1462"
"545","476"
"546","1066"
"547","1249"
"548","1249"
"549","200"
"550","200"
"551","200"
"552","200"
"453","476"
"454","752"
"455","752"
"485","785"
"489","477"
"490","477"
"491","476"
"492","1"
"567","1095"
"468","1158"
"469","1158"
"470","1158"
"471","1158"
"472","1158"
"535","272"
"516","576"
"525","1412"
"526","1412"
"534","544"
"527","82"
"524","476"
"528","709"
"529","714"
"523","1077"
"532","709"
"533","709"
"517","248"
"518","1119"
"519","254"
"520","254"
"521","254"
"522","254"
"530","16"
"530","713"
"531","16"
"531","713"
"462","1096"
"499","1096"
"464","367"
"536","367"
"755","1"
"756","367"
"501","1327"
"502","1327"
"503","340"
"504","340"
"505","1041"
"506","1041"
"508","1041"
"509","1293"
"510","1293"
"511","1293"
"782","1041"
"463","1096"
"778","385"
"762","385"
"417","1096"
"418","367"
"487","1096"
"488","367"
"411","1315"
"410","1315"
"409","283"
"399","754"
"401","754"
"400","754"
"403","389"
"402","389"
"404","1"
"405","1"
"406","1"
"407","1"
"408","1"
"458","702"
"459","852"
"460","852"
"461","702"
"500","852"
"575","852"
"760","353"
"576","1096"
"577","847"
"578","847"
"584","1096"
"585","808"
"586","808"
"587","808"
"591","831"
"590","1392"
"589","1392"
"592","1392"
"593","536"
"594","536"
"588","536"
"595","808"
"596","808"
"597","808"
"598","1048"
"599","1048"
"610","808"
"608","808"
"604","808"
"605","83"
"602","1392"
"600","1392"
"601","1392"
"603","536"
"606","981"
"607","536"
"609","536"
"611","275"
"612","849"
"613","808"
"614","808"
"615","808"
"616","1473"
"617","1473"
"618","808"
"619","808"
"620","808"
