"FdMaturityID","LkupSpeciesID","VLLgthType","LkupMaturityAgingStructure","LkupMaturityAgingMethod","ChkMaturityValidaton","LkupMaturityValidationMethod","ChkMaturityVerification","LkupMaturityVerificationMethod"
"1711","17","TL","23","","False","","True","24"
"1712","17","TL","28","","False","31","False","35"
"1713","17","TL","10","","False","33","False","37"
"1714","17","TL","20","","False","33","False","37"
"1715","19","TL","28","","False","31","False","35"
"1716","21","TL","20","","True","17","True","20"
"1717","21","TL","28","","False","31","False","35"
"1718","21","TL","10","","False","33","False","37"
"1721","1","","9","","False","32","False","36"
"1722","32","TL","10","","False","33","False","37"
"1723","3","TL","10","","False","33","False","37"
"1724","3","TL","10","","False","33","False","37"
"1725","3","TL","10","","False","33","False","37"
"1726","3","TL","10","","False","33","False","37"
"1727","3","TL","10","","False","33","False","37"
"1728","3","TL","20","","False","","False",""
"1729","2","TL","10","","False","33","False","37"
"1730","2","TL","10","","False","33","False","37"
"1731","2","TL","10","","False","33","False","37"
"1732","72","TL","28","","False","31","False","35"
"1733","72","TL","28","","False","31","False","35"
"1734","72","TL","10","","False","33","False","37"
"1735","72","TL","10","","False","33","False","37"
"1736","72","TL","10","","False","33","False","37"
"1737","72","TL","10","","False","33","False","37"
"1738","72","TL","10","","False","33","False","37"
"1739","43","TL","10","","False","33","False","37"
"1740","114","TL","13","","False","","True","13"
"1741","114","TL","28","","False","31","False","35"
"1742","114","TL","10","","False","33","False","37"
"1744","63","TL","10","","False","33","False","37"
"1745","7","TL","10","","False","33","False","37"
"1746","7","TL","10","","False","33","False","37"
"1747","7","TL","10","","False","33","False","37"
"1748","7","TL","10","","False","33","False","37"
"1749","8","TL","","","False","","False",""
"1750","8","TL","20","","False","","False",""
"1751","23","TL","20","","True","29","True","13"
"1752","23","TL","20","","False","","True","30"
"1753","23","TL","","61","False","31","False","35"
"1754","23","TL","28","","False","31","False","35"
"1755","23","TL","10","","False","33","False","37"
"1756","23","TL","10","","False","33","False","37"
"1757","23","TL","10","","False","33","False","37"
"1758","23","TL","10","","False","33","False","37"
"1759","20","TL","28","","False","31","False","35"
"1760","20","TL","10","","False","33","False","37"
"1761","20","TL","20","","False","","False",""
"1762","18","TL","28","","False","31","False","35"
"1763","18","TL","10","","False","33","False","37"
"1764","18","TL","10","","False","33","False","37"
"1765","18","TL","10","","False","33","False","37"
"1766","18","TL","10","","False","33","False","37"
"1767","18","TL","20","","False","33","False","37"
"1768","24","TL","20","","False","33","True","24"
"1769","24","TL","28","","False","31","False","35"
"1770","24","TL","10","","False","33","False","37"
"1771","24","TL","20","","False","33","False","37"
"1772","57","TL","10","","False","33","False","37"
"1773","57","TL","10","","False","33","False","37"
"1774","57","TL","10","","False","33","False","37"
"1775","57","TL","10","","False","33","False","37"
"1776","57","TL","10","","False","33","False","37"
"1777","57","TL","10","","False","33","False","37"
"1778","57","TL","10","","False","33","False","37"
"1779","57","TL","15","14","False","","False",""
"1780","124","TL","10","","False","33","False","37"
"1781","124","TL","10","","False","33","False","37"
"1782","124","TL","10","","False","33","False","37"
"1783","124","TL","10","","False","33","False","37"
"1784","75","TL","15","21","False","","True","24"
"1785","75","TL","28","","False","31","False","35"
"1786","75","TL","10","","False","33","False","37"
"1787","75","TL","15","","True","30","False","37"
"1788","29","TL","10","","False","33","False","37"
"1789","27","TL","10","","False","33","False","37"
"1791","42","TL","10","","False","33","False","37"
"1792","42","TL","10","","False","33","False","37"
"1793","13","TL","10","","False","33","False","37"
"1795","33","TL","10","","False","33","False","37"
"1796","33","TL","10","","False","33","False","37"
"1797","11","TL","15","36","False","","True","15"
"1798","11","TL","10","","False","33","False","37"
"1799","35","TL","15","41","False","","True","20"
"1800","35","TL","15","41","False","","False",""
"1801","36","?L","6","","False","","False",""
"1802","38","TL","10","","False","33","False","37"
"1803","38","TL","10","","False","33","False","37"
"1804","38","TL","10","","False","33","False","37"
"1806","10","?L","10","","False","33","False","37"
"1807","25","SL","15","9","False","","True","15"
"1808","25","TL","28","","False","31","False","35"
"1809","25","TL","10","","False","33","False","37"
"1810","25","TL","10","","False","33","False","37"
"1811","125","TL","20","","False","33","True","15"
"1812","125","TL","28","","False","31","False","35"
"1813","125","TL","10","","False","33","False","37"
"1814","125","TL","10","","False","33","False","37"
"1815","50","TL","10","","False","33","False","37"
"1816","50","TL","10","","False","33","False","37"
"1817","50","TL","20","52","False","","False",""
"1818","50","SL","20","9","False","","False",""
"1819","54","TL","10","","False","33","False","37"
"1820","54","TL","10","","False","33","False","37"
"1821","126","TL","28","","False","31","False","35"
"1822","126","TL","20","","False","33","False","37"
"1823","64","TL","10","","False","33","False","37"
"1824","64","TL","10","","False","33","False","37"
"1825","64","TL","20","","False","33","False","37"
"1826","58","TL","10","","False","32","False","37"
"1827","58","TL","10","","False","33","False","37"
"1828","58","TL","10","","False","33","False","37"
"1829","58","TL","10","","False","33","False","37"
"1830","14","TL","15","36","False","","False",""
"1831","14","TL","15","36","False","","False",""
"1832","4","TL","20","29","False","","True","31"
"1833","4","TL","10","","False","33","False","37"
"1834","60","TL","10","","False","33","False","37"
"1835","60","TL","10","","False","33","False","37"
"1836","28","TL","10","","False","33","False","37"
"1837","28","TL","10","","False","33","False","37"
"1838","30","TL","10","","False","33","False","37"
"1839","105","TL","10","","False","33","False","37"
"1840","73","TL","28","","False","31","False","35"
"1841","73","TL","10","","False","33","False","37"
"1842","44","SL","10","","False","33","False","37"
"1843","44","TL","10","","False","33","False","37"
"1844","44","TL","10","","False","33","False","37"
"1845","44","TL","10","","False","33","False","37"
"1846","44","TL","10","","False","33","False","37"
"1847","44","TL","15","","False","33","False","37"
"1848","44","TL","20","","False","33","False","37"
"1849","44","TL","20","","False","33","False","37"
"1850","44","TL","20","","False","33","False","37"
"1851","44","TL","20","","False","33","False","37"
"1852","44","TL","20","","False","33","False","37"
"1853","44","TL","20","","False","33","False","37"
"1854","44","TL","22","","False","33","True","32"
"1855","122","TL","27","25","True","15","True","6"
"1856","122","TL","10","","False","33","False","37"
"1857","121","TL","27","25","True","15","True","6"
"1858","121","TL","10","","False","33","False","37"
"1859","121","TL","10","","False","33","False","37"
"1860","46","DW","27","48","True","27","True","10"
"1861","46","DW","10","","False","33","False","37"
"1862","46","DW","10","","False","33","False","37"
"1863","37","TL","10","","False","33","False","37"
"1864","37","TL","10","","False","33","False","37"
"1865","34","TL","","","False","","False",""
"1866","34","TL","","","False","","False",""
"1867","34","TL","","","False","","False",""
"1868","34","TL","","","False","","False",""
