"FdFoodTypeID","LkupSpeciesID","VLFoodStage","LkupFoodType"
"1","17","Adults","153"
"2","19","Adults","178"
"3","21","Adults","342"
"4","21","Juveniles","487"
"5","1","Adults","185"
"6","1","Juveniles","275"
"7","1","Larvae","530"
"8","32","Adults","146"
"9","32","Adults","492"
"10","32","Juveniles","56"
"11","32","Juveniles","146"
"12","32","Juveniles","492"
"13","3","Adults","148"
"14","3","Adults","206"
"15","3","Adults","207"
"16","3","Adults","208"
"17","3","Adults","212"
"18","3","Adults","214"
"19","3","Adults","222"
"20","3","Adults","384"
"21","3","Adults","388"
"22","3","Adults","390"
"23","3","Adults","394"
"24","3","Adults","526"
"26","3","Adults","229"
"27","3","Juveniles","2"
"28","3","Juveniles","3"
"29","3","Juveniles","283"
"30","3","Juveniles","304"
"31","3","Larvae","466"
"32","2","Adults","59"
"33","2","Adults","222"
"34","2","Adults","223"
"35","2","Adults","292"
"36","2","Adults","383"
"37","2","Adults","466"
"38","2","Adults","481"
"39","2","Adults","526"
"40","2","Larvae","502"
"41","72","Adults","270"
"42","72","Juveniles","347"
"43","72","Juveniles","485"
"44","72","Larvae","391"
"45","43","Adults","135"
"46","43","Adults","367"
"47","43","Adults","459"
"48","114","Adults","5"
"49","114","Adults","328"
"50","114","Adults","417"
"51","114","Juveniles","478"
"52","114","Juveniles","528"
"53","114","Juveniles","512"
"54","106","Adults","242"
"55","106","Adults","49"
"56","63","Adults","489"
"57","63","Juveniles","326"
"58","7","Adults","26"
"59","7","Adults","155"
"60","7","Adults","240"
"61","7","Adults","318"
"62","7","Adults","397"
"63","7","Adults","454"
"64","7","Juveniles","62"
"65","7","Juveniles","155"
"66","8","Adults","20"
"67","8","Adults","200"
"68","8","Adults","344"
"69","8","Adults","348"
"70","8","Adults","408"
"71","8","Adults","507"
"72","8","Juveniles","109"
"73","23","Adults","474"
"74","23","Juveniles","104"
"75","23","Juveniles","471"
"76","20","Adults","164"
"77","20","Juveniles","38"
"78","18","Adults","415"
"79","18","Juveniles","175"
"80","18","Juveniles","294"
"81","24","Adults","170"
"82","24","Adults","513"
"83","24","Juveniles","473"
"84","57","Adults","280"
"85","57","Adults","54"
"86","57","Adults","238"
"87","57","Adults","239"
"88","57","Adults","260"
"89","57","Adults","265"
"90","57","Juveniles","30"
"91","57","Juveniles","350"
"92","57","Larvae","123"
"93","57","Larvae","382"
"94","124","Adults","254"
"95","124","Adults","281"
"96","124","Adults","371"
"98","124","Juveniles","306"
"99","75","Adults","177"
"100","75","Juveniles","168"
"101","75","Larvae","505"
"102","29","Adults","285"
"103","29","Adults","291"
"104","29","Adults","308"
"105","29","Adults","380"
"106","29","Adults","395"
"107","29","Juveniles","319"
"108","29","Juveniles","320"
"109","29","Juveniles","493"
"110","29","Juveniles","494"
"111","29","Larvae","525"
"112","27","Adults","329"
"113","27","Adults","472"
"114","27","Adults","34"
"115","27","Juveniles","282"
"116","45","Adults","152"
"117","42","Adults","469"
"118","42","Adults","445"
"119","13","Adults","127"
"120","13","Adults","137"
"121","13","Larvae","92"
"122","13","Larvae","106"
"123","39","Adults","449"
"124","39","Adults","491"
"125","39","Adults","436"
"126","39","Juveniles","432"
"127","39","Juveniles","305"
"128","33","Adults","39"
"129","33","Adults","147"
"130","33","Adults","289"
"131","33","Juveniles","516"
"132","11","Adults","310"
"133","11","Adults","349"
"134","11","Adults","470"
"135","11","Adults","477"
"136","11","Larvae","461"
"137","11","Larvae","352"
"138","11","Larvae","355"
"139","35","Adults","156"
"140","35","Adults","245"
"141","35","Adults","359"
"142","35","Juveniles","111"
"143","35","Juveniles","102"
"144","35","Juveniles","92"
"145","35","Juveniles","128"
"146","35","Juveniles","156"
"147","35","Juveniles","301"
"148","35","Larvae","111"
"149","35","Larvae","102"
"150","35","Larvae","110"
"151","35","Larvae","112"
"152","36","Adults","409"
"153","36","Adults","17"
"154","36","Adults","248"
"155","36","Adults","339"
"156","36","Juveniles","233"
"157","36","Juveniles","339"
"158","38","Adults","69"
"159","38","Adults","252"
"160","38","Adults","423"
"161","38","Adults","448"
"162","38","Juveniles","68"
"163","119","Adults","508"
"164","10","Adults","456"
"165","10","Adults","45"
"166","10","Adults","55"
"167","10","Adults","79"
"168","10","Adults","262"
"169","10","Adults","452"
"170","10","Adults","360"
"171","10","Juveniles","456"
"172","10","Juveniles","421"
"173","25","Adults","176"
"174","25","Juveniles","466"
"175","125","Adults","173"
"176","50","Adults","63"
"177","50","Adults","113"
"178","50","Adults","121"
"179","50","Adults","150"
"180","50","Adults","389"
"181","50","Juveniles","93"
"182","50","Juveniles","97"
"183","50","Juveniles","98"
"184","50","Juveniles","120"
"185","50","Juveniles","509"
"187","50","Larvae","94"
"188","50","Larvae","97"
"189","50","Larvae","215"
"190","54","Adults","73"
"191","54","Adults","419"
"192","54","Adults","441"
"193","54","Juveniles","403"
"194","54","Larvae","527"
"195","126","Adults","179"
"196","64","Adults","57"
"197","64","Adults","445"
"198","64","Juveniles","387"
"199","58","Adults","413"
"200","58","Adults","429"
"201","58","Adults","1"
"202","58","Adults","31"
"203","58","Adults","82"
"204","58","Adults","276"
"205","58","Adults","341"
"206","58","Adults","363"
"207","58","Adults","400"
"208","58","Adults","407"
"209","58","Adults","521"
"210","58","Juveniles","122"
"211","58","Juveniles","196"
"212","58","Juveniles","397"
"213","58","Juveniles","495"
"214","14","Adults","7"
"215","14","Adults","22"
"216","14","Adults","25"
"217","14","Adults","41"
"219","14","Adults","290"
"220","14","Adults","311"
"221","14","Adults","460"
"222","14","Adults","4"
"223","14","Adults","9"
"224","14","Adults","8"
"225","14","Adults","14"
"226","14","Adults","58"
"227","14","Adults","198"
"228","14","Adults","216"
"229","14","Adults","217"
"231","14","Adults","226"
"232","14","Adults","453"
"233","14","Juveniles","199"
"234","14","Juveniles","7"
"235","14","Juveniles","9"
"236","14","Juveniles","10"
"238","14","Juveniles","18"
"239","14","Juveniles","22"
"241","14","Juveniles","24"
"242","14","Juveniles","158"
"243","14","Juveniles","198"
"244","14","Juveniles","201"
"245","14","Juveniles","354"
"246","14","Juveniles","4"
"247","14","Juveniles","8"
"248","14","Juveniles","13"
"249","14","Juveniles","216"
"250","14","Juveniles","217"
"251","14","Juveniles","225"
"252","14","Juveniles","453"
"253","4","Larvae","91"
"254","4","Larvae","125"
"255","4","Larvae","323"
"256","60","Adults","458"
"257","28","Adults","114"
"258","28","Adults","157"
"259","28","Adults","386"
"260","28","Adults","525"
"261","28","Adults","361"
"262","30","Adults","36"
"263","30","Adults","37"
"264","30","Adults","115"
"265","30","Adults","149"
"266","105","Adults","305"
"267","105","Adults","435"
"268","105","Adults","476"
"269","73","Adults","511"
"270","73","Juveniles","510"
"271","73","Larvae","42"
"272","44","Adults","40"
"273","44","Adults","209"
"274","44","Adults","210"
"275","44","Adults","211"
"276","44","Adults","213"
"277","44","Juveniles","205"
"278","44","Juveniles","209"
"279","44","Juveniles","335"
"280","44","Juveniles","337"
"281","44","Juveniles","385"
"282","44","Juveniles","393"
"283","44","Juveniles","427"
"284","44","Juveniles","66"
"285","122","Adults","80"
"286","122","Adults","130"
"287","122","Adults","426"
"288","122","Juveniles","126"
"289","122","Juveniles","129"
"290","122","Juveniles","479"
"291","121","Adults","132"
"292","121","Adults","134"
"293","121","Adults","465"
"294","121","Adults","467"
"295","121","Juveniles","126"
"296","46","Adults","77"
"297","46","Adults","78"
"298","46","Adults","218"
"299","46","Adults","227"
"300","46","Adults","303"
"301","46","Adults","340"
"302","46","Adults","376"
"303","46","Juveniles","74"
"304","37","Adults","424"
"305","34","Adults","437"
"306","34","Adults","444"
"307","34","Adults","443"
"308","34","Adults","243"
"309","34","Adults","246"
