"FdAgeID","LkupSpeciesID","VLSexType","FdLongevity","FdLongevityLength","VLLgthType","FdLongevityNotes"
"260","28","","2","","",""
"261","30","","2","","",""
"262","28","","2","","",""
"263","48","","2","","",""
"264","29","","2","","",""
"265","117","","2","","",""
"266","29","","2","0.14","SL",""
"267","54","","2","0.18","",""
"268","4","","3","","",""
"269","49","","3","","",""
"270","48","","3","","",""
"271","50","","3","","",""
"272","50","","3","0.185","SL",""
"273","14","Male","3","0.1935","TL",""
"274","14","Female","3","0.1973","TL",""
"275","8","","4","","",""
"276","8","","4","","",""
"277","1","","4","","",""
"278","40","","4","","",""
"279","4","","4","","",""
"280","36","Female","4","0.473","",""
"281","18","","4","","","at Catalina Isl."
"282","125","","5","","",""
"283","11","","5","","",""
"284","50","","5","","",""
"285","25","","6","","",""
"286","13","","6","","",""
"287","47","","6","","",""
"288","100","Male","6","","",""
"289","17","Male","6","","",""
"290","34","Male","6","0.685","FL",""
"291","18","","6","","","at Santa Cruz Isl."
"292","24","","6","","","at Santa Cruz Isl."
"293","125","","7","","",""
"294","26","","7","","",""
"295","18","","7","","",""
"296","5","","7","","",""
"297","11","","7","","",""
"298","3","","7","","",""
"299","122","Male","7","0.9","TL",""
"300","36","","7","0.44","",""
"301","44","","7","0.6046","",""
"302","73","","8","","",""
"303","26","","8","","",""
"304","23","","8","","",""
"305","24","","8","","",""
"306","21","","8","","",""
"307","3","","8","","",""
"308","54","","8","","",""
"309","16","","8","","",""
"310","3","","8","","",""
"311","35","Male","8","0.38","TL",""
"312","36","Male","8","0.47","",""
"313","17","","9","","",""
"314","42","","9","","",""
"315","21","","9","","",""
"316","18","","9","","",""
"317","23","","9","","",""
"318","122","","9","","",""
"319","17","","9","","",""
"320","17","Female","9","","",""
"321","35","","9","0.36","TL",""
"322","35","Female","9","0.405","TL",""
"323","12","Male","9","0.531","TL",""
"324","122","","9","1.25","",""
"325","76","","10","","",""
"326","18","","10","","",""
"327","27","","10","","",""
"328","7","","10","","",""
"329","70","","10","","",""
"330","24","","10","","",""
"331","20","","10","","",""
"332","22","","10","","",""
"333","110","","10","","",""
"334","20","","10","","",""
"335","123","","10","1.2","",""
"336","14","","10","0.228","TL",""
"337","2","","10","0.3","",""
"338","128","","11","","",""
"339","111","","11","","",""
"340","115","","11","","",""
"341","81","","11","","",""
"342","2","","11","","",""
"343","34","Male","11","0.8","FL",""
"344","70","","11","1.25","",""
"345","2","","11","0.406","",""
"346","36","Female","11","0.57","",""
"347","34","Male","11","0.89","TL",""
"348","111","","12","","",""
"349","81","","12","","",""
"350","9","","12","","",""
"351","64","","12","","",""
"352","110","","12","","",""
"353","75","","12","","",""
"354","65","","12","","",""
"355","34","Female","12","1.057","FL",""
"356","34","Female","12","1.1","TL",""
