"LkupSpawnFertStageID","FdSpawnFertStage"
"1","Fertilized Females Present"
"2","Spawning Females Present"
"3","Both Reproductive States Present"
"4","Parturition"
"5","Fertilization"
"6","Both Fertilization & Parturition"
"7","Fertilized Eggs Present"
