"FdMatingID","LkupSpeciesID","LkupMatingSystem","FdMatingNotes"
"1","64","3",""
"2","34","4",""
"3","13","12","Male"
"4","34","5","Male"
"5","50","6",""
"6","4","6",""
"7","44","6",""
"8","3","6",""
"9","4","7",""
"10","5","7",""
"11","50","7",""
"12","95","8",""
"13","91","8",""
"14","12","8",""
"15","30","8",""
"16","97","8",""
"17","28","8",""
"18","64","8",""
"19","90","8",""
"20","80","8",""
"21","85","8",""
"22","83","8",""
"23","87","8",""
"24","78","8",""
"25","99","8",""
"26","81","8",""
"27","88","8",""
"28","128","8",""
"29","98","8",""
"30","93","8",""
"31","77","8",""
"32","103","8",""
"33","79","8",""
"34","82","8",""
"35","101","8",""
"36","96","8",""
"37","129","8",""
"38","130","8",""
"39","86","8",""
"40","94","8",""
"41","127","8",""
"42","104","8",""
"43","84","8",""
"44","100","8",""
"45","89","8",""
"46","92","8",""
"47","102","8",""
"48","5","8",""
"49","25","7",""
"50","44","10",""
"51","123","10",""
"52","121","10",""
"53","122","10",""
"54","124","10",""
"55","112","10",""
"56","113","10",""
"57","33","10",""
"58","106","10",""
"59","38","10",""
"60","37","10",""
"61","70","10",""
"62","16","10",""
"63","46","10",""
"64","120","10",""
"65","51","10",""
"66","65","10",""
"67","66","10",""
"68","67","10",""
"69","68","10",""
"70","69","10",""
"71","10","10",""
"72","6","10",""
"73","7","10",""
"74","8","10",""
"75","62","10",""
"76","55","10",""
"77","57","10",""
"78","54","10",""
"79","58","10",""
"80","59","10",""
"81","52","10",""
"82","56","10",""
"83","61","10",""
"84","53","10",""
"85","60","10",""
"86","15","10",""
"87","43","10",""
"88","25","11",""
"89","1","13",""
"90","115","14",""
"91","63","10",""
"92","23","10",""
"93","48","10",""
"94","64","10",""
"95","11","15",""
