"FdSexualDimorphismID","LkupSpeciesID","LkupSexualDimorphism"
"1","1","19"
"2","1","21"
"3","3","1"
"4","7","1"
"5","8","20"
"6","23","1"
"7","24","1"
"8","57","1"
"9","75","1"
"10","13","1"
"11","11","1"
"12","10","1"
"13","25","1"
"14","125","19"
"15","50","1"
"16","64","19"
"17","58","1"
"18","4","1"
"19","44","1"
"20","122","1"
"21","121","1"
"22","46","1"
"23","110","19"
"24","6","1"
"25","55","1"
"26","26","1"
"27","62","1"
"28","5","19"
"29","65","1"
"30","67","1"
"31","97","1"
"32","12","1"
"33","12","2"
"34","80","11"
"35","85","15"
"36","83","12"
"37","87","15"
"38","78","17"
"39","99","18"
"40","88","8"
"41","98","4"
"42","93","13"
"43","77","9"
"44","103","11"
"45","79","7"
"46","82","16"
"47","96","5"
"48","129","11"
"49","129","1"
"50","86","22"
"51","94","14"
"52","127","12"
"53","104","12"
"54","100","3"
"55","89","6"
"56","92","10"
"57","95","1"
"58","41","19"
"59","111","1"
"60","48","19"
"61","112","1"
"62","123","1"
"63","115","1"
