"FdMaxLgthID","LkupSpeciesID","VLLgthType","FdMaxLgth"
"1","81","","0.2"
"2","108","","0.226"
"3","89","","0.25"
"4","125","","0.27"
"5","98","","0.29"
"6","40","","0.299"
"7","25","","0.3"
"8","126","","0.3"
"9","63","","0.3"
"10","50","TL","0.305"
"11","25","","0.31"
"12","85","","0.348"
"13","64","","0.36"
"14","94","","0.36"
"15","42","","0.38"
"16","78","","0.39"
"17","91","","0.39"
"18","75","","0.41"
"19","128","","0.41"
"20","100","","0.41"
"21","102","","0.41"
"22","90","","0.425"
"23","97","","0.43"
"24","82","","0.43"
"25","39","","0.44"
"26","20","","0.44"
"27","26","","0.46"
"28","99","","0.46"
"29","22","","0.47"
"30","105","","0.48"
"31","127","","0.48"
"32","87","","0.5"
"33","84","","0.51"
"34","79","","0.53"
"35","71","","0.535"
"36","76","","0.556"
"37","80","","0.56"
"38","96","","0.56"
"39","86","","0.56"
"40","110","","0.56"
"41","83","","0.58"
"42","93","","0.61"
"43","101","","0.61"
"44","130","","0.61"
"45","92","","0.61"
"46","103","","0.63"
"47","107","","0.65"
"48","27","","0.66"
"49","74","","0.7"
"50","109","","0.72"
"51","114","","0.76"
"52","129","","0.76"
"53","73","","0.836"
"54","95","","0.846"
"55","41","","0.91"
"56","77","","0.91"
"57","104","","0.91"
"58","111","","1.22"
"59","45","","1.52"
"60","72","","1.52"
"61","9","","1.93"
"62","32","","0.584"
"63","118","TL","0.19"
"64","23","","0.193"
"65","48","TL","0.228"
"66","49","TL","0.23"
"67","119","TL","0.247"
"68","1","","2.4"
"69","31","","0.254"
"70","19","","0.3"
"71","61","TL","0.3"
"72","14","TL","0.305"
"73","47","TL","0.31"
"74","117","TL","0.385"
"75","7","TL","0.41"
"76","13","TL","0.51"
"77","115","","0.586"
"78","44","TL","0.91"
"79","12","TL","0.99"
"80","6","TL","1.524"
"81","29","TL","0.21"
"82","15","TL","0.21"
"83","30","TL","0.057"
"84","28","TL","0.064"
"85","8","TL","0.17"
"86","16","","0.56"
"87","121","","0.95"
"88","56","TL","0.37"
"89","53","TL","0.37"
"90","58","TL","0.6"
"91","57","TL","0.7"
"92","62","TL","0.91"
"93","55","TL","0.57"
"94","52","TL","0.36"
"95","59","TL","0.63"
"96","54","TL","0.46"
"97","36","","0.61"
"98","66","","0.76"
"99","67","","1.37"
"100","34","TL","1.143"
"101","43","TL","1.02"
"102","4","TL","0.19"
"103","116","TL","0.28"
"104","60","TL","0.35"
"105","3","TL","0.376"
"106","5","TL","0.38"
"107","2","TL","0.486"
"108","11","TL","0.61"
"109","24","","0.38"
"110","18","","0.39"
"111","21","","0.41"
"112","88","FL","0.43"
"113","17","","0.43"
"114","14","TL","0.46"
"115","32","","0.58"
"116","51","","0.91"
"117","112","","1.6"
"118","34","TL","1.52"
"119","35","","0.53"
"120","69","","0.76"
"121","68","","0.86"
"122","33","","1.22"
"123","10","","1"
"124","31","","0.303"
"125","34","TL","1.32"
"126","37","","2.7"
"127","38","","4.7"
"128","122","","1.6"
"129","123","","2.1"
"130","65","","2.4"
"131","113","","1.52"
"132","124","","2"
"133","70","","1.7"
"134","120","","1.37"
"135","46","DW","1.8"
"136","106","","1"
"137","38","","5"
"138","38","","4.82"
"139","37","","2.96"
"140","34","TL","0.92"
