"ReferenceName","ReproModeID"
"1397","4"
"103","4"
"506","4"
"967","48"
"842","48"
"967","7"
"842","7"
"895","7"
"436","7"
"895","6"
"967","6"
"842","6"
"436","6"
"967","78"
"506","78"
"1285","145"
"895","33"
"967","33"
"842","33"
"304","33"
"895","30"
"895","47"
"1","46"
"895","90"
"439","158"
"842","158"
"436","158"
"439","56"
"842","56"
"1146","56"
"261","56"
"290","57"
"439","24"
"842","24"
"1146","24"
"261","24"
"1127","24"
"244","24"
"333","24"
"439","150"
"842","150"
"1146","150"
"261","150"
"603","150"
"290","150"
"178","150"
"1146","151"
"290","151"
"439","32"
"842","32"
"1146","32"
"261","32"
"842","11"
"1146","11"
"261","11"
"290","11"
"842","36"
"261","36"
"290","36"
"403","36"
"842","59"
"290","59"
"599","59"
"1146","86"
"1146","160"
"439","55"
"842","55"
"1146","55"
"261","55"
"842","58"
"650","58"
"577","157"
"1481","157"
"1146","72"
"1481","73"
"439","80"
"1146","80"
"244","80"
"577","80"
"1480","80"
"483","80"
"244","81"
"1480","81"
"1146","83"
"244","83"
"577","83"
"1480","83"
"439","82"
"439","84"
"577","84"
"439","38"
"842","38"
"244","38"
"577","38"
"1299","1"
"426","1"
"351","1"
"842","1"
"1299","2"
"426","2"
"351","2"
"1299","3"
"426","3"
"351","3"
"842","3"
"1344","15"
"436","16"
"1299","16"
"505","16"
"1343","16"
"506","16"
"1435","17"
"426","17"
"1422","17"
"1208","17"
"165","17"
"351","17"
"256","17"
"842","17"
"1299","20"
"640","20"
"129","20"
"626","20"
"426","20"
"779","20"
"1208","20"
"351","20"
"842","20"
"506","21"
"1299","22"
"489","22"
"640","22"
"695","22"
"697","22"
"696","22"
"1408","22"
"1409","22"
"426","22"
"296","22"
"149","22"
"1230","22"
"351","22"
"120","22"
"842","22"
"1299","39"
"437","39"
"426","39"
"351","39"
"842","39"
"1299","40"
"426","40"
"351","40"
"842","40"
"1299","43"
"129","43"
"426","43"
"1208","43"
"351","43"
"842","43"
"506","69"
"1299","70"
"80","70"
"426","70"
"351","70"
"120","70"
"842","70"
"1299","85"
"489","85"
"426","85"
"453","85"
"351","85"
"842","85"
"506","18"
"1299","19"
"489","19"
"1408","19"
"1409","19"
"426","19"
"351","19"
"120","19"
"842","19"
"967","66"
"436","66"
"967","13"
"842","13"
"577","13"
"244","13"
"967","14"
"842","14"
"967","71"
"842","71"
"506","71"
"967","67"
"436","67"
"842","67"
"1058","67"
"842","23"
"244","23"
"1316","23"
"967","42"
"436","42"
"842","42"
"967","45"
"842","45"
"244","45"
"967","79"
"842","79"
"577","79"
"244","79"
"967","74"
"842","74"
"577","74"
"506","74"
"967","77"
"842","77"
"967","76"
"842","76"
"967","75"
"842","75"
"577","75"
"461","75"
"895","49"
"967","49"
"842","49"
"842","153"
"967","50"
"842","50"
"967","51"
"842","51"
"967","26"
"1398","5"
"1398","161"
"895","34"
"895","35"
"1070","60"
"895","61"
"1399","27"
"842","27"
"1399","31"
"1399","52"
"842","52"
"1400","29"
"1400","62"
"842","62"
"1400","144"
"967","9"
"967","54"
"270","28"
"842","156"
"1060","156"
"436","156"
"436","149"
"1","148"
"967","41"
"842","41"
"506","41"
"1198","152"
"1401","12"
"1341","12"
"842","12"
"1401","44"
"1341","44"
"822","44"
"436","8"
"436","25"
"842","25"
"1","53"
"1","87"
"842","146"
"1","159"
"847","88"
"1446","89"
"1446","91"
"426","91"
"303","91"
"506","92"
"1446","93"
"426","93"
"795","94"
"1446","95"
"426","95"
"392","96"
"506","97"
"1446","98"
"426","98"
"1446","99"
"426","99"
"795","100"
"1446","101"
"426","101"
"1446","102"
"426","102"
"1446","103"
"426","103"
"1446","105"
"426","105"
"506","104"
"842","106"
"1446","107"
"1446","108"
"506","109"
"1446","110"
"426","110"
"1446","111"
"156","111"
"1460","111"
"506","112"
"1446","113"
"426","113"
"842","113"
"506","114"
"1446","115"
"426","115"
"506","116"
"1446","118"
"426","118"
"842","117"
"506","119"
"1446","120"
"426","120"
"506","121"
"842","122"
"1446","123"
"426","123"
"1446","124"
"426","124"
"1268","125"
"1446","126"
"426","126"
"1446","127"
"426","127"
"1446","128"
"426","128"
"506","129"
"1446","130"
"426","130"
"1446","131"
"506","132"
"1446","133"
"1446","134"
"426","134"
"506","135"
"1446","136"
"426","136"
"1446","137"
"1446","138"
"426","138"
"1446","139"
"426","139"
"969","140"
"506","140"
"842","140"
"1446","141"
"969","142"
"842","142"
"1446","143"
"436","63"
"1285","63"
"1402","63"
"1402","64"
"842","64"
"436","65"
"1402","65"
"1285","147"
"506","147"
"1","10"
"506","162"
"895","162"
"842","162"
"895","68"
"842","68"
"967","155"
"967","154"
"967","37"
