"FdGroupID","FdGroupName"
"1","Anarhichadidae"
"2","Atherinopsidae"
"3","Batrachoididae "
"4","Carangidae"
"5","Clinidae"
"6","Cottidae"
"7","Elasmobranchs "
"8","Embiotocidae"
"9","Flatfish "
"10","Gobiidae"
"11","Haemulidae"
"12","Hexagrammidae"
"13","Kyphosidae"
"14","Labridae"
"15","Malacanthidae"
"16","Mugilidae "
"17","Muraenidae"
"18","Osmeridae"
"19","Polyprionidae"
"20","Pomacentridae"
"21","Sciaenidae"
"22","Scorpaenidae"
"23","Serranidae"
"24","Sphyraenidae"
"25","Stichaeidae"
"26","Stromateidae "
"27","Syngnathidae"
