"FdSpawningAreaID","LkupSpeciesID","LkupSpawnArea"
"1","1","115"
"2","21","115"
"3","21","152"
"5","3","108"
"6","3","114"
"7","3","115"
"8","3","120"
"9","3","124"
"10","3","140"
"11","3","141"
"12","3","144"
"13","3","162"
"14","3","164"
"15","2","114"
"16","2","115"
"17","2","120"
"18","2","140"
"19","2","144"
"20","2","154"
"21","2","163"
"22","2","166"
"23","2","172"
"24","2","179"
"25","72","115"
"26","72","118"
"27","72","172"
"28","43","109"
"29","43","114"
"30","43","116"
"31","43","115"
"32","114","148"
"33","63","115"
"34","63","172"
"35","7","115"
"36","7","117"
"37","7","148"
"38","7","157"
"39","8","115"
"40","8","172"
"41","23","112"
"42","23","120"
"43","23","115"
"44","23","148"
"45","23","152"
"46","23","172"
"47","23","184"
"48","20","112"
"49","20","120"
"50","20","115"
"51","20","152"
"52","20","172"
"53","18","120"
"54","18","115"
"55","18","148"
"56","18","172"
"57","24","112"
"58","24","120"
"59","24","152"
"60","24","172"
"61","24","184"
"62","57","112"
"63","57","113"
"64","57","114"
"65","57","115"
"66","57","152"
"67","57","178"
"68","57","184"
"69","57","187"
"70","124","168"
"71","75","112"
"72","75","120"
"73","75","115"
"74","75","148"
"75","75","172"
"76","29","114"
"77","29","115"
"78","29","154"
"79","29","154"
"80","29","161"
"81","29","163"
"82","27","115"
"83","42","115"
"84","13","156"
"85","39","115"
"86","33","154"
"87","33","162"
"88","33","181"
"89","11","114"
"90","11","115"
"91","11","144"
"92","11","168"
"93","11","178"
"94","35","112"
"95","35","112"
"96","35","112"
"97","35","146"
"98","36","107"
"99","36","128"
"100","36","136"
"101","38","112"
"102","10","115"
"103","10","154"
"104","10","181"
"105","25","152"
"106","25","172"
"107","125","152"
"108","125","172"
"109","50","112"
"110","50","114"
"111","50","115"
"112","50","120"
"113","50","157"
"114","50","157"
"115","54","108"
"116","54","120"
"117","54","159"
"118","54","162"
"119","54","163"
"120","126","148"
"121","64","172"
"122","58","110"
"123","58","112"
"124","58","114"
"125","58","142"
"126","58","150"
"127","58","151"
"128","58","157"
"129","58","172"
"130","14","108"
"131","14","163"
"132","14","165"
"133","14","183"
"134","4","114"
"135","4","173"
"136","4","172"
"137","60","114"
"138","60","144"
"139","60","154"
"140","60","157"
"141","28","114"
"142","28","119"
"143","28","154"
"144","28","158"
"145","30","114"
"146","30","119"
"147","30","154"
"148","30","158"
"149","105","115"
"150","73","115"
"151","44","111"
"152","44","127"
"153","44","129"
"154","44","131"
"155","44","134"
"156","44","143"
"157","44","169"
"158","44","170"
"159","44","174"
"160","44","177"
"161","44","188"
"162","122","108"
"163","122","120"
"164","121","120"
"165","121","130"
"166","121","154"
"167","46","130"
"168","46","154"
"169","37","120"
"170","34","112"
"171","34","115"
"172","34","118"
"173","34","121"
"174","34","125"
"175","34","126"
"176","34","132"
"177","34","145"
"178","34","149"
"179","34","149"
"180","34","155"
"181","34","171"
"182","34","185"
"183","40","115"
"184","109","172"
"185","110","172"
"186","107","172"
"187","6","115"
"188","6","116"
"189","6","120"
"190","6","154"
"191","6","172"
"192","55","113"
"193","55","112"
"194","55","114"
"195","55","115"
"196","55","117"
"197","55","120"
"198","55","139"
"199","55","152"
"200","55","157"
"201","116","115"
"202","116","154"
"203","116","172"
"204","26","120"
"205","26","115"
"206","26","148"
"207","26","172"
"208","62","110"
"209","62","112"
"210","62","114"
"211","62","115"
"212","62","133"
"213","62","139"
"214","62","157"
"215","62","184"
"216","51","154"
"217","52","114"
"218","52","115"
"219","52","154"
"220","52","157"
"221","52","162"
"222","53","139"
"223","53","189"
"224","61","114"
"225","61","154"
"226","61","178"
"227","56","139"
"228","56","172"
"229","5","114"
"230","5","115"
"231","5","120"
"232","5","164"
"233","5","167"
"234","59","114"
"235","59","147"
"236","59","154"
"237","59","157"
"238","59","182"
"239","22","115"
"240","70","108"
"241","70","154"
"242","74","115"
"243","97","115"
"244","97","172"
"245","12","112"
"246","12","112"
"247","12","120"
"248","12","120"
"249","12","157"
"250","12","175"
"251","90","120"
"252","90","115"
"253","90","172"
"254","80","120"
"255","80","115"
"256","80","122"
"257","80","152"
"258","80","172"
"259","80","184"
"260","85","120"
"261","85","115"
"262","85","122"
"263","85","172"
"264","83","106"
"265","83","120"
"266","83","115"
"267","83","122"
"268","83","152"
"269","83","184"
"270","87","120"
"271","87","115"
"272","87","122"
"273","87","152"
"274","87","172"
"275","78","120"
"276","78","115"
"277","78","122"
"278","78","172"
"279","99","120"
"280","99","115"
"281","99","122"
"282","99","172"
"283","81","115"
"284","81","172"
"285","88","106"
"286","88","112"
"287","88","120"
"288","88","115"
"289","88","122"
"290","88","152"
"291","88","172"
"292","128","106"
"293","128","112"
"294","128","115"
"295","128","133"
"296","128","122"
"297","128","152"
"298","98","115"
"299","98","122"
"300","98","172"
"301","93","106"
"302","93","112"
"303","93","115"
"304","93","133"
"305","93","122"
"306","93","152"
"307","93","184"
"308","77","106"
"309","77","112"
"310","77","120"
"311","77","115"
"312","77","133"
"313","77","122"
"314","77","152"
"315","103","120"
"316","103","122"
"317","103","115"
"318","103","172"
"319","79","120"
"320","79","122"
"321","79","115"
"322","79","172"
"323","82","106"
"324","82","120"
"325","82","122"
"326","82","115"
"327","101","106"
"328","101","112"
"330","101","184"
"331","96","122"
"332","96","115"
"333","96","172"
"334","129","106"
"335","129","112"
"336","129","120"
"337","129","122"
"338","129","115"
"339","129","153"
"340","129","152"
"341","129","184"
"342","130","106"
"343","130","112"
"344","130","122"
"345","130","152"
"346","86","120"
"347","86","115"
"348","86","172"
"349","94","120"
"350","94","122"
"351","94","115"
"352","94","172"
"353","127","172"
"354","104","106"
"355","104","112"
"356","104","120"
"357","104","115"
"358","104","122"
"359","104","152"
"360","104","184"
"361","84","115"
"362","84","122"
"363","84","152"
"364","84","172"
