"ReferenceName","SpawningAreaID"
"1032","211"
"1382","211"
"506","211"
"577","193"
"506","193"
"842","192"
"506","200"
"1330","200"
"775","199"
"571","199"
"506","199"
"200","198"
"1382","198"
"506","198"
"1382","197"
"967","194"
"1058","195"
"113","195"
"506","195"
"592","195"
"842","196"
"1397","1"
"842","1"
"1259","136"
"842","136"
"1377","136"
"487","136"
"453","136"
"541","136"
"280","136"
"967","134"
"211","135"
"842","24"
"436","24"
"842","22"
"350","22"
"436","22"
"842","21"
"1159","21"
"436","21"
"1382","17"
"1159","18"
"350","23"
"281","23"
"1159","23"
"817","23"
"443","23"
"211","16"
"1346","16"
"895","19"
"967","15"
"541","20"
"577","9"
"1186","9"
"1382","14"
"350","14"
"436","14"
"1159","10"
"1382","8"
"1186","5"
"1186","13"
"842","11"
"656","11"
"492","11"
"436","11"
"967","6"
"211","7"
"895","12"
"967","229"
"112","232"
"443","233"
"443","230"
"1285","391"
"1239","390"
"1405","388"
"453","388"
"109","388"
"842","388"
"1285","389"
"1","90"
"895","91"
"967","89"
"1278","93"
"363","84"
"724","133"
"372","132"
"165","131"
"1300","130"
"577","245"
"483","246"
"1079","250"
"802","249"
"803","249"
"802","248"
"803","248"
"1010","247"
"424","421"
"842","420"
"1298","419"
"436","422"
"1298","165"
"1471","164"
"842","166"
"1169","162"
"1471","163"
"842","403"
"424","404"
"728","405"
"45","406"
"842","407"
"647","407"
"424","87"
"842","86"
"290","88"
"842","101"
"404","169"
"749","240"
"842","241"
"75","425"
"842","424"
"1298","167"
"892","167"
"842","168"
"842","216"
"1471","102"
"842","103"
"577","104"
"1127","70"
"1399","82"
"453","82"
"1001","82"
"842","82"
"1399","85"
"1399","149"
"454","149"
"764","149"
"842","149"
"1391","83"
"842","83"
"817","183"
"1391","183"
"1400","183"
"162","183"
"178","183"
"454","183"
"1382","183"
"842","183"
"1391","387"
"1400","387"
"298","387"
"842","387"
"967","29"
"764","30"
"454","31"
"381","31"
"211","31"
"1","28"
"453","153"
"454","153"
"49","156"
"453","154"
"179","154"
"49","154"
"187","154"
"49","160"
"453","157"
"453","158"
"453","151"
"453","159"
"453","152"
"539","152"
"453","161"
"1321","161"
"453","155"
"577","416"
"842","416"
"589","416"
"88","416"
"1060","416"
"578","416"
"589","417"
"587","417"
"1045","417"
"439","418"
"578","397"
"385","400"
"979","400"
"1102","401"
"1382","399"
"983","399"
"589","399"
"982","398"
"436","402"
"983","396"
"1455","109"
"578","109"
"506","113"
"1061","113"
"1175","114"
"1382","112"
"983","111"
"111","111"
"967","110"
"313","408"
"453","408"
"211","408"
"460","408"
"842","408"
"453","33"
"822","33"
"817","34"
"817","121"
"822","121"
"454","121"
"286","121"
"1217","121"
"994","121"
"478","121"
"285","121"
"443","121"
"178","26"
"577","25"
"968","25"
"436","25"
"178","25"
"1367","25"
"1366","25"
"105","25"
"764","25"
"1081","25"
"909","25"
"842","25"
"1235","27"
"951","27"
"1315","27"
"380","27"
"577","71"
"968","73"
"909","73"
"1382","73"
"842","73"
"951","74"
"467","74"
"951","72"
"1426","72"
"852","72"
"805","75"
"521","75"
"951","75"
"1426","75"
"1176","75"
"852","75"
"1396","75"
"703","75"
"805","75"
"968","150"
"453","150"
"1024","150"
"227","150"
"909","150"
"842","150"
"968","242"
"1025","242"
"228","242"
"909","242"
"968","392"
"178","392"
"365","392"
"842","392"
"805","393"
"521","393"
"1235","393"
"353","393"
"1176","393"
"852","393"
"361","393"
"805","393"
"909","393"
"1235","423"
"909","423"
"436","184"
"1285","184"
"951","184"
"1097","184"
"284","184"
"284","184"
"288","184"
"1016","184"
"1240","184"
"1347","184"
"294","184"
"859","184"
"303","184"
"295","184"
"817","184"
"842","184"
"424","185"
"38","185"
"817","185"
"842","185"
"436","186"
"424","186"
"284","186"
"288","186"
"842","186"
"1285","394"
"577","394"
"1376","394"
"951","394"
"453","394"
"1170","394"
"178","394"
"506","394"
"764","394"
"1080","394"
"424","395"
"886","32"
"1307","32"
"842","32"
"742","426"
"842","426"
"895","201"
"453","201"
"842","202"
"454","202"
"520","203"
"114","415"
"982","414"
"443","413"
"847","244"
"1075","243"
"334","243"
"459","243"
"424","243"
"842","243"
"808","251"
"957","251"
"832","251"
"1148","251"
"238","251"
"303","253"
"1110","252"
"443","252"
"1307","252"
"1392","259"
"348","259"
"605","259"
"577","259"
"604","259"
"906","259"
"506","259"
"842","257"
"1451","256"
"1392","258"
"1110","255"
"7","255"
"1451","262"
"808","260"
"957","260"
"1307","260"
"795","260"
"1502","263"
"1110","261"
"1012","264"
