"LkupMatingSystemID","FdMatingSystem"
"3","Female mate choice determined by visitng the nest of multiple males; choice affected by nests with eggs in the early stages (yellow-colored, as opposed to gray) of development"
"4","Male may fertilize ova from more than one female"
"5","Monogamous or Polygamous"
"6","Polyandrous"
"7","Polygamous"
"8","Polygynous"
"9","promiscous"
"10","Promiscuous"
"11","Promiscuous (Polygynous?)"
"12","Promiscuous and/or Polygynous"
"13","Promiscuous, but within season mate fidelity"
"14","Promiscuous?"
"15","Seasonal monogamy"
