"ReferenceName","EggsPerLenghtID"
"895","20"
"842","20"
"453","89"
"326","95"
"487","28"
"492","170"
"436","170"
"1239","21"
"842","21"
"453","75"
"109","99"
"842","99"
"1382","33"
"344","4"
"2","57"
"1","154"
"1","155"
"1","156"
"1","157"
"1","158"
"1471","92"
"1471","97"
"401","119"
"232","60"
"488","60"
"78","41"
"1338","61"
"426","73"
"453","106"
"226","128"
"232","165"
"78","165"
"1338","165"
"488","132"
"937","132"
"78","42"
"135","50"
"178","110"
"78","161"
"135","161"
"1019","96"
"810","139"
"842","139"
"78","39"
"1435","67"
"256","67"
"426","69"
"1292","88"
"528","90"
"1422","103"
"1382","109"
"506","115"
"229","126"
"577","168"
"1343","168"
"330","168"
"1424","168"
"78","168"
"1435","168"
"1292","168"
"528","168"
"1422","168"
"506","168"
"351","168"
"1435","65"
"78","38"
"129","62"
"1181","85"
"1382","107"
"178","111"
"78","163"
"129","163"
"1181","163"
"454","163"
"489","2"
"577","121"
"1295","145"
"518","27"
"842","27"
"78","35"
"426","70"
"149","91"
"842","91"
"1230","112"
"17","167"
"506","167"
"577","108"
"1106","108"
"453","108"
"351","108"
"78","40"
"426","71"
"364","76"
"229","127"
"78","164"
"364","164"
"78","37"
"1448","52"
"842","52"
"78","160"
"129","63"
"426","72"
"129","166"
"519","45"
"78","34"
"80","54"
"426","68"
"506","114"
"351","114"
"78","162"
"80","162"
"453","104"
"489","23"
"488","23"
"351","23"
"78","36"
"1388","47"
"1408","159"
"78","159"
"1388","159"
"351","159"
"471","55"
"842","102"
"244","102"
"506","102"
"244","148"
"506","148"
"577","122"
"1330","122"
"436","22"
"472","22"
"571","138"
"506","24"
"592","31"
"842","100"
"577","100"
"244","100"
"506","100"
"842","101"
"577","101"
"244","101"
"439","101"
"1330","101"
"1211","153"
"506","25"
"244","147"
"527","144"
"759","151"
"472","3"
"472","5"
"1425","5"
"1425","56"
"1070","93"
"1070","94"
"248","120"
"248","118"
"287","133"
"483","133"
"287","129"
"1391","113"
"300","169"
"1322","26"
"577","30"
"589","105"
"385","135"
"385","136"
"1318","74"
"1455","140"
"1175","137"
"313","6"
"453","6"
"460","6"
"842","6"
"454","1"
"436","19"
"1426","19"
"852","19"
"1307","19"
"353","79"
"353","86"
"361","134"
"842","146"
"1369","46"
"7","64"
"842","64"
"836","141"
"944","141"
"838","141"
"1382","141"
"836","142"
"944","142"
"838","142"
"8","66"
"874","17"
"842","17"
"1148","48"
"1148","49"
"874","15"
"842","15"
"874","13"
"842","13"
"1307","81"
"554","116"
"874","10"
"842","10"
"1307","83"
"874","16"
"842","16"
"554","117"
"1379","77"
"1379","78"
"874","8"
"842","8"
"1307","8"
"1074","131"
"1359","131"
"1307","84"
"348","149"
"1374","149"
"1307","149"
"842","149"
"942","152"
"944","152"
"895","32"
"831","98"
"842","98"
"554","123"
"838","123"
"1268","51"
"547","51"
"849","59"
"842","59"
"849","58"
"1307","58"
"874","11"
"842","11"
"874","14"
"842","14"
"1307","82"
"874","9"
"842","9"
"554","125"
"944","125"
"838","125"
"874","12"
"842","12"
"1074","130"
"577","130"
"244","44"
"842","87"
"244","43"
"358","53"
"358","29"
"1285","18"
"1376","18"
"453","18"
"42","80"
"506","143"
"1080","150"
"886","7"
"1307","7"
"842","7"
"1017","96"
