"ReferenceName","HeterozygosityID"
"501","47"
"256","4"
"1383","5"
"590","16"
"1133","8"
"1383","9"
"712","11"
"1383","7"
"1384","7"
"1383","45"
"1375","45"
"1383","3"
"1384","3"
"104","1"
"126","6"
"126","46"
"1191","18"
"1190","20"
"1191","21"
"1190","25"
"1190","26"
"1190","27"
"1190","28"
"722","28"
"1190","31"
"1191","32"
"1190","34"
"1190","35"
"1190","36"
"1441","37"
"1190","39"
"1454","40"
"1190","41"
"1190","42"
"1213","43"
"1213","44"
"126","12"
"1383","12"
"1384","12"
"1277","14"
