"FdSpawnFertID","FdSpawningAreaID","LkupSpawnFertStage","VLMonth","Peaks/Notes"
"1","1","2","January",""
"2","1","2","February",""
"3","1","2","October",""
"4","1","2","November",""
"5","1","2","December",""
"6","136","3","February",""
"7","136","3","March",""
"8","136","3","April",""
"9","136","3","May",""
"10","136","3","June",""
"11","136","3","July",""
"12","136","3","August",""
"13","136","3","September",""
"14","134","3","March",""
"15","134","3","April","Peak Spawning"
"16","134","3","May","Peak Spawning"
"17","134","3","June",""
"18","134","3","July",""
"19","134","3","August",""
"23","135","3","March",""
"24","135","3","April",""
"25","135","3","May",""
"26","135","3","June",""
"27","135","3","July",""
"28","135","3","August",""
"33","15","3","January","Peak Spawning"
"34","15","3","February","Peak Spawning"
"35","15","3","March","Peak Spawning"
"36","15","3","April",""
"37","15","3","October",""
"38","15","3","November","Peak Spawning"
"39","15","3","December","Peak Spawning"
"45","24","3","January",""
"46","24","3","February",""
"47","24","3","March",""
"48","24","3","April",""
"49","24","3","May",""
"50","24","3","June",""
"51","24","3","July",""
"52","24","3","August",""
"57","22","3","January",""
"58","22","3","February",""
"59","22","3","March",""
"60","22","3","April",""
"69","21","3","January",""
"70","21","3","February",""
"71","21","3","March",""
"72","21","3","April",""
"73","21","3","May",""
"74","21","3","June",""
"75","21","3","July",""
"76","21","3","August",""
"77","21","3","October",""
"78","21","3","November",""
"79","21","3","December",""
"80","21","3","December",""
"81","24","3","October",""
"82","24","3","November",""
"83","24","3","December",""
"84","22","3","September",""
"85","22","3","October",""
"86","22","3","November",""
"87","22","3","December",""
"88","17","3","January",""
"89","17","3","February",""
"90","17","3","March",""
"91","17","3","April",""
"92","17","3","October",""
"93","17","3","November",""
"94","17","3","December",""
"95","18","3","January","Peak Spawning"
"96","18","3","February","Peak Spawning"
"97","18","3","March","Peak Spawning"
"98","18","3","April","Peak Spawning"
"99","18","3","May","Peak Spawning"
"100","18","3","June",""
"101","18","3","December",""
"102","23","3","January","Peak Spawning"
"103","23","3","February","Peak Spawning"
"104","23","3","March",""
"105","23","3","April",""
"106","23","3","May",""
"107","23","3","June",""
"108","23","3","July",""
"109","23","3","August",""
"110","23","3","September",""
"111","23","3","October",""
"112","23","3","November","Peak Spawning"
"113","23","3","December","Peak Spawning"
"114","16","3","January",""
"115","16","3","February",""
"116","16","3","March",""
"117","16","3","April",""
"118","16","3","October",""
"119","16","3","November",""
"120","16","3","December",""
"121","19","3","January",""
"122","19","3","February",""
"123","19","3","March",""
"124","19","3","April",""
"125","19","3","May",""
"126","19","3","September",""
"127","19","3","October",""
"128","19","3","November",""
"129","19","3","December",""
"131","20","3","January",""
"132","20","3","February",""
"133","20","3","March",""
"134","20","3","April",""
"135","20","3","October",""
"136","20","3","November",""
"137","20","3","December",""
"138","5","3","May",""
"139","5","3","June",""
"140","5","3","July",""
"141","9","3","May",""
"142","9","3","June",""
"143","9","3","July",""
"144","14","3","May","Peak Spawning"
"145","14","3","June","Peak Spawning"
"146","14","3","July",""
"147","14","3","April",""
"148","14","3","August",""
"149","14","3","September",""
"150","14","3","October",""
"151","10","3","May",""
"152","10","3","June","Peak Spawning"
"153","10","3","July","Peak Spawning"
"154","8","3","May",""
"155","8","3","June",""
"156","8","3","July",""
"157","8","3","April",""
"158","8","3","August",""
"159","8","3","September",""
"160","5","3","April",""
"161","13","3","May",""
"162","13","3","June",""
"163","13","3","July",""
"164","13","3","April",""
"165","11","3","May","Peak Spawning"
"166","11","3","June","Peak Spawning"
"167","11","3","July",""
"168","11","3","April",""
"169","11","3","February",""
"170","11","3","March",""
"171","11","3","August",""
"172","6","3","May","Peak Spawning"
"173","6","3","June","Peak Spawning"
"174","6","3","July","Peak Spawning"
"175","6","3","April","Peak Spawning"
"176","6","3","March",""
"177","6","3","August",""
"178","6","3","September",""
"179","7","3","May",""
"180","7","3","June",""
"181","7","3","July",""
"182","12","3","May",""
"183","12","3","June",""
"184","12","3","July",""
"185","229","3","May",""
"186","229","3","June",""
"187","229","3","July",""
"188","229","3","August",""
"189","232","3","April",""
"190","232","3","May",""
"191","232","3","June",""
"192","232","3","July",""
