"FdDepthID","LkupSpeciesID","FdMinDepthRange","FdMaxDepthRange","FdDepthNotes"
"1","80","0","135",""
"2","92","0","172",""
"3","83","0","183",""
"4","93","0","274",""
"5","129","0","275",""
"6","77","0","366",""
"7","78","0","37",""
"8","103","0","436",""
"9","86","0","46",""
"10","90","0","46",""
"11","79","0","549",""
"12","110","0","61",""
"13","102","0","64",""
"14","85","0","80",""
"15","52","0","350",""
"16","58","0","366",""
"17","7","0","549",""
"18","57","0","550",""
"19","125","1","110",""
"20","25","1","182",""
"21","97","1","183",""
"22","20","1","209",""
"23","126","1","40",""
"24","24","1","45",""
"25","18","1","50",""
"26","31","1","11",""
"27","15","2","201",""
"28","54","2","82",""
"29","100","10","547",""
"30","60","10","998",""
"32","16","1","21",""
"33","67","13","800",""
"35","89","15","402",""
"36","104","15","549",""
"38","98","18","183",""
"39","101","18","298",""
"40","61","1","86",""
"41","66","18","670",""
"43","109","2","61",""
"44","26","2","70",""
"45","95","20","1524",""
"46","91","20","1756",""
"48","99","24","274",""
"49","88","25","495",""
"50","128","25","549",""
"51","82","3","128",""
"52","22","3","47",""
"53","123","4","91",""
"54","87","30","273",""
"55","96","30","366",""
"56","84","30","418",""
"57","34","3","400",""
"58","120","3","453",""
"59","113","30","46",""
"60","65","3","800",""
"61","108","6","46",""
"62","56","5","201",""
"63","106","5","457",""
"64","127","61","396",""
"66","94","7","262",""
"67","53","8","532",""
"68","34","0","459",""
"69","34","0","491",""
"70","48","","","in sea usually in shore"
"71","50","","","inshore and surf zones "
"72","72","0","122",""
"73","4","0","18",""
"74","71","0","181",""
"75","23","0","209",""
"76","75","0","236",""
"77","121","0","335",""
"78","63","0","61",""
"79","10","0","965",""
"81","35","0","158","Min depth questionable"
"82","3","","","intertidal and nearshore, also in estuaries "
"83","36","","","Intertidal and shallow rocky areas"
"84","46","0","108",""
"86","115","0","18",""
"87","114","0","24",""
"88","39","0","27",""
"89","13","0","275",""
"90","64","0","29",""
"91","27","0","30",""
"92","59","0","325",""
"93","5","0","383",""
"94","42","0","40",""
"95","11","0","40",""
"96","35","0","49",""
"97","13","0","51",""
"98","55","0","555",""
"99","32","0","60",""
"100","36","0","80",""
"101","12","0","82",""
"102","41","0","85",""
"103","40","0","97",""
"104","14","0","98",""
"105","112","0","1236",""
"106","8","0","607",""
"108","30","0","97",""
"109","34","","","Juvs in shallow bays and on sand & mud bottoms from beach area to several hundred ft."
"110","8","0","50","majority of population occurs in < 50 m of water"
"111","12","","110",""
"112","14","","275",""
"113","36","","596",""
"114","2","","","nearshore"
"115","6","0","183",""
"117","70","0","15",""
"118","62","0","375",""
"120","34","","","post larvae to 7.6 cm pelagic nearshore and offshore"
"122","118","0","15",""
"123","107","0","183",""
"124","45","0","40",""
"125","49","","","shallow water "
"126","29","","","shallow water of bays and coastal sloughs "
"127","43","0","136",""
"128","44","0","122","shallow waters ofarine and estuaries to 122m"
"129","1","0","355",""
"130","76","0","10",""
"131","17","0","151",""
"133","73","0","45",""
"134","21","0","7",""
"135","19","0","9",""
"136","38","0","2000","adults usually below 91; young in deeper parts of bays; adults in deepwater "
"137","47","0","300",""
"138","111","0","38",""
"139","105","0","40",""
"140","32","0","43",""
"141","9","0","69",""
"142","51","0","137",""
"143","119","10","","usually offshore"
"144","37","1","46",""
"145","130","12","425",""
"146","68","17","1380",""
"147","69","18","732",""
"148","116","2","182",""
"149","81","7","256",""
"150","122","0","67",""
"151","33","0","150",""
"152","28","0","76",""
"153","124","0","471",""
"154","37","","","shallow bays   "
"155","74","0","18",""
