"TaggingStudiesID","ReferenceName"
"133","108"
"134","289"
"18","363"
"24","1300"
"86","808"
"146","1247"
"147","3"
"148","3"
"30","290"
"30","650"
"14","599"
"14","577"
"139","717"
"140","917"
"141","290"
"142","645"
"143","1263"
"144","127"
"145","1263"
"19","225"
"33","410"
"149","75"
"150","75"
"31","650"
"32","650"
"1","453"
"2","211"
"7","958"
"8","436"
"8","59"
"20","1243"
"21","958"
"73","1340"
"74","379"
"75","768"
"76","1"
"81","577"
"81","244"
"82","120"
"77","577"
"78","474"
"79","1049"
"79","731"
"79","921"
"80","577"
"80","731"
"80","474"
"80","1058"
"9","211"
"9","1316"
"10","1"
"11","44"
"12","44"
"13","1414"
"22","244"
"23","477"
"37","1070"
"52","575"
"36","575"
"35","273"
"58","57"
"42","942"
"55","1108"
"44","879"
"49","1253"
"45","1253"
"63","899"
"38","248"
"39","248"
"61","293"
"60","1347"
"56","572"
"47","573"
"47","574"
"48","710"
"48","711"
"48","714"
"54","252"
"59","101"
"41","336"
"57","251"
"43","101"
"40","253"
"50","685"
"62","475"
"51","900"
"34","255"
"53","369"
"16","1001"
"17","1431"
"28","1320"
"29","1041"
"5","173"
"5","540"
"5","172"
"6","615"
"6","609"
"3","842"
"3","1235"
"15","595"
"25","211"
"26","758"
"27","1024"
"135","595"
"136","365"
"136","353"
"83","579"
"84","847"
"85","842"
"87","808"
"88","838"
"88","942"
"88","839"
"88","1355"
"88","1307"
"89","536"
"90","901"
"91","808"
"92","579"
"93","838"
"93","942"
"93","839"
"94","901"
"94","902"
"95","808"
"96","838"
"96","562"
"97","808"
"97","579"
"98","942"
"99","83"
"99","562"
"99","536"
"100","1266"
"101","901"
"101","902"
"102","808"
"103","838"
"103","942"
"103","562"
"103","237"
"104","808"
"105","83"
"106","838"
"107","808"
"108","83"
"111","838"
"115","579"
"115","293"
"109","327"
"112","1379"
"113","536"
"110","369"
"114","842"
"116","901"
"117","808"
"118","579"
"119","535"
"120","942"
"121","808"
"122","944"
"123","808"
"124","839"
"124","942"
"125","1"
"126","808"
"127","808"
"128","838"
"128","839"
"129","838"
"129","839"
"129","293"
"129","369"
"130","838"
"130","839"
"131","579"
"132","838"
"132","579"
"65","1097"
"66","436"
"67","288"
"68","1285"
"69","817"
"70","1470"
"70","842"
"71","1078"
"72","211"
"138","1082"
"4","593"
