"LarvalDurationID","ReferenceName"
"90","856"
"90","1086"
"90","842"
"91","1440"
"91","294"
"92","295"
"93","667"
"94","1440"
"94","1335"
"95","1440"
"116","969"
"119","969"
"123","969"
"124","772"
"120","772"
"121","969"
"122","772"
"125","969"
"126","969"
"127","969"
"128","969"
"129","969"
"130","969"
"131","969"
"132","969"
"133","772"
"134","969"
"135","969"
"136","772"
"137","969"
"138","969"
"139","772"
"140","1307"
"141","969"
"142","969"
"143","969"
"144","969"
"145","772"
"146","969"
"147","969"
"148","969"
"149","969"
"150","969"
"151","969"
"152","969"
"153","772"
"154","969"
"155","969"
"156","969"
"157","969"
"157","966"
"158","969"
"158","966"
"51","295"
"62","126"
"162","126"
"163","436"
"82","49"
"52","1383"
"63","1365"
"89","1365"
"159","1365"
"160","298"
"161","301"
"67","527"
"87","472"
"88","565"
"77","842"
"77","1383"
"80","842"
"81","130"
"96","32"
"96","499"
"96","842"
"97","436"
"54","842"
"54","257"
"55","842"
"55","1164"
"104","842"
"105","257"
"105","221"
"106","1330"
"98","791"
"99","842"
"99","577"
"99","113"
"99","592"
"100","436"
"101","257"
"101","792"
"101","1150"
"102","1330"
"60","1057"
"72","499"
"72","842"
"72","436"
"72","113"
"74","113"
"109","1330"
"166","113"
"117","1010"
"118","1307"
"65","1278"
"66","842"
"108","310"
"75","1358"
"76","1111"
"50","281"
"49","422"
"48","506"
"170","1285"
"170","109"
"170","842"
