"ReferenceName","MaturityID"
"280","1832"
"487","1833"
"350","1729"
"281","1730"
"436","1731"
"454","1723"
"541","1723"
"350","1724"
"236","1725"
"436","1726"
"1346","1727"
"1186","1728"
"1076","1913"
"692","1914"
"1239","2097"
"314","2098"
"453","2098"
"842","2098"
"1278","1797"
"1307","1798"
"506","1793"
"724","1830"
"724","1831"
"1010","1929"
"453","1930"
"778","2124"
"2","2125"
"1298","2126"
"436","2127"
"466","2128"
"650","2129"
"290","1857"
"1471","1857"
"650","1857"
"1298","1858"
"842","1859"
"842","1855"
"1471","1855"
"1298","1856"
"470","1780"
"842","1781"
"647","1781"
"577","1782"
"333","1783"
"750","2105"
"749","2106"
"577","2107"
"1174","2108"
"470","2109"
"1173","2110"
"728","2111"
"992","2112"
"290","2113"
"127","2114"
"290","1795"
"842","1796"
"322","1802"
"404","1803"
"405","1803"
"842","1804"
"404","1863"
"401","1863"
"410","1864"
"1331","1923"
"1298","1924"
"75","2131"
"892","1860"
"888","1860"
"1298","1861"
"842","1862"
"1475","1917"
"1474","1917"
"466","1917"
"894","1918"
"1475","1920"
"1474","1920"
"842","1806"
"232","1711"
"736","1712"
"339","1714"
"1338","1714"
"842","1714"
"78","1713"
"736","1715"
"135","1716"
"842","1716"
"736","1717"
"78","1718"
"1343","1756"
"79","1756"
"1435","1756"
"506","1756"
"577","1755"
"78","1757"
"1292","1751"
"528","1752"
"1200","1753"
"736","1754"
"454","1758"
"842","1758"
"339","1763"
"700","1763"
"736","1762"
"78","1764"
"129","1767"
"1181","1765"
"454","1766"
"488","1768"
"1295","1768"
"842","1768"
"518","1771"
"506","1771"
"78","1770"
"736","1769"
"78","1809"
"364","1807"
"351","1807"
"736","1808"
"842","1810"
"78","1813"
"1448","1811"
"736","1812"
"842","1814"
"129","1822"
"842","1822"
"736","1821"
"736","1903"
"78","1904"
"736","1922"
"78","1760"
"1388","1761"
"506","1761"
"351","1761"
"842","1761"
"736","1759"
"843","1895"
"842","1894"
"436","1892"
"211","1893"
"1110","1891"
"73","1746"
"842","1745"
"506","1747"
"1110","1748"
"471","1750"
"842","1749"
"1032","1907"
"113","1907"
"506","1907"
"257","1905"
"842","1906"
"748","1899"
"472","1900"
"571","1896"
"436","1897"
"506","1897"
"1058","1898"
"592","1901"
"472","1777"
"257","1776"
"842","1772"
"1058","1774"
"571","1773"
"113","1779"
"912","1775"
"1110","1778"
"436","1820"
"842","1819"
"472","1828"
"477","1829"
"1","1826"
"506","1827"
"842","1915"
"1242","1916"
"842","1912"
"577","1834"
"842","1835"
"130","1836"
"1429","1837"
"130","1838"
"842","1788"
"443","1722"
"1158","1799"
"83","1800"
"527","1801"
"472","1876"
"453","1865"
"1070","1866"
"1072","1866"
"248","1867"
"942","1878"
"1425","1868"
"1226","1869"
"529","1870"
"1123","1871"
"1123","1872"
"709","1873"
"250","1874"
"254","1875"
"102","1877"
"453","1789"
"454","1789"
"817","1791"
"443","1791"
"454","1792"
"817","1879"
"454","1879"
"443","1879"
"842","1879"
"300","2089"
"817","2096"
"324","2096"
"300","2090"
"300","2091"
"300","2092"
"1391","2093"
"1391","2094"
"443","2095"
"842","1739"
"982","1842"
"1322","1848"
"1322","1843"
"1322","1849"
"1322","1851"
"1322","1852"
"1322","1847"
"1322","1844"
"49","1845"
"1041","1854"
"187","1846"
"1322","1850"
"1321","1853"
"88","2122"
"587","2122"
"1060","2121"
"436","2104"
"983","1815"
"436","1816"
"1061","1817"
"1175","1818"
"443","2115"
"453","2115"
"460","2115"
"842","2115"
"313","2116"
"211","2117"
"817","1744"
"453","1744"
"1341","1744"
"822","1744"
"172","1744"
"842","1744"
"577","1732"
"842","1732"
"1235","1733"
"283","1733"
"436","1734"
"1315","1734"
"453","1735"
"1367","1736"
"1081","1737"
"909","1738"
"577","1785"
"1235","1785"
"909","1785"
"436","1784"
"852","1784"
"1426","1786"
"842","1786"
"703","1787"
"1235","1840"
"453","1841"
"227","1841"
"909","1841"
"842","1841"
"1235","1925"
"1025","1926"
"228","1926"
"842","1926"
"1235","2099"
"353","2100"
"1235","2130"
"909","2130"
"842","2130"
"847","1927"
"842","1927"
"443","1928"
"1148","1931"
