"ReferenceName","ForagingGuildID"
"506","8"
"91","9"
"577","10"
"687","10"
"103","10"
"453","10"
"454","10"
"561","10"
"484","10"
"613","10"
"326","10"
"842","10"
"487","153"
"487","154"
"842","155"
"487","155"
"350","152"
"1395","17"
"443","14"
"1159","18"
"1159","15"
"758","15"
"350","16"
"436","16"
"1096","11"
"350","12"
"436","12"
"39","13"
"842","244"
"693","245"
"1","243"
"1285","365"
"443","366"
"1285","366"
"312","366"
"230","366"
"307","366"
"453","366"
"1185","366"
"817","366"
"842","366"
"1278","92"
"1382","92"
"842","91"
"1098","91"
"817","91"
"443","91"
"948","91"
"436","151"
"1300","128"
"377","128"
"99","128"
"68","128"
"69","128"
"1245","128"
"377","128"
"291","128"
"1443","143"
"377","143"
"1330","143"
"871","143"
"1010","268"
"363","83"
"483","83"
"724","137"
"377","137"
"1067","137"
"68","137"
"69","137"
"291","137"
"1330","147"
"377","147"
"1443","147"
"1010","271"
"483","271"
"1096","272"
"2","400"
"99","400"
"290","400"
"1296","400"
"261","400"
"244","400"
"290","176"
"1297","176"
"503","173"
"1146","68"
"290","378"
"577","382"
"1","383"
"842","88"
"409","99"
"1","183"
"1297","260"
"1169","405"
"842","405"
"1297","179"
"1","397"
"443","229"
"76","249"
"720","103"
"2","401"
"810","401"
"436","401"
"466","401"
"842","177"
"290","177"
"1160","177"
"553","177"
"1297","177"
"842","174"
"290","174"
"333","69"
"1127","69"
"1146","69"
"577","69"
"290","379"
"244","379"
"466","380"
"261","384"
"443","384"
"817","384"
"443","89"
"1146","35"
"1","100"
"842","184"
"290","184"
"401","184"
"404","184"
"406","184"
"407","184"
"842","261"
"1297","261"
"1169","261"
"1146","261"
"749","261"
"1","404"
"1297","180"
"466","182"
"443","398"
"171","398"
"842","230"
"443","230"
"76","250"
"244","252"
"1480","252"
"720","104"
"564","106"
"1","5"
"626","56"
"1179","58"
"622","58"
"1181","58"
"1","61"
"1","107"
"1","257"
"1","53"
"1","1"
"1","3"
"1","6"
"1","47"
"79","51"
"454","51"
"59","48"
"1","50"
"1","52"
"191","57"
"1184","57"
"335","59"
"1222","59"
"193","59"
"59","59"
"1179","59"
"622","59"
"1184","62"
"453","63"
"1","108"
"1","110"
