"FdSexualityID","LkupSpeciesID","LkupSexualityType"
"279","17","10"
"280","19","10"
"281","21","10"
"282","1","10"
"283","3","10"
"284","2","10"
"285","72","10"
"286","43","10"
"287","114","10"
"288","106","10"
"289","63","10"
"290","7","10"
"291","8","10"
"292","23","10"
"293","20","10"
"294","18","10"
"295","24","10"
"296","57","10"
"297","124","10"
"298","75","10"
"299","42","13"
"300","42","15"
"301","42","20"
"302","13","10"
"303","33","10"
"304","11","10"
"305","35","10"
"306","36","10"
"307","38","10"
"308","10","10"
"309","25","10"
"310","125","10"
"311","50","10"
"312","54","10"
"313","126","10"
"314","64","10"
"315","58","10"
"316","14","10"
"317","4","10"
"318","60","10"
"320","28","9"
"321","28","17"
"323","30","17"
"324","30","18"
"325","44","10"
"326","44","19"
"327","122","10"
"328","121","10"
"329","46","10"
"330","37","10"
"331","34","10"
"332","109","10"
"333","110","8"
"334","110","16"
"335","107","10"
"336","107","14"
"337","6","10"
"338","55","10"
"339","26","10"
"340","62","10"
"341","51","10"
"342","52","10"
"343","53","10"
"344","61","10"
"345","56","10"
"346","5","10"
"347","59","10"
"348","65","10"
"349","66","10"
"350","68","10"
"351","67","10"
"352","69","10"
"353","22","10"
"354","70","10"
"355","97","10"
"356","12","10"
"357","90","10"
"358","80","10"
"359","85","10"
"360","83","10"
"361","87","10"
"362","78","10"
"363","99","10"
"364","81","10"
"365","88","10"
"366","128","10"
"367","98","10"
"368","93","10"
"369","77","10"
"370","103","10"
"371","79","10"
"372","82","10"
"373","101","10"
"374","96","10"
"375","129","10"
"376","130","10"
"377","86","10"
"378","94","10"
"379","127","10"
"380","104","10"
"381","84","10"
"382","100","10"
"383","89","10"
"384","92","10"
"385","102","10"
"386","95","10"
"387","91","10"
"388","41","12"
"389","41","15"
"390","9","10"
"391","111","10"
"392","49","10"
"393","48","10"
"394","112","10"
"395","113","10"
"396","15","10"
"398","120","10"
"399","123","10"
"400","16","10"
"401","115","10"
"402","47","21"
