"FdSettlementID","LkupSpeciesID","VLLgthType","FdSettlementSize","LkupSettlementLocation","FdSettlementNotes"
"1","1","SL","150 to 610","",""
"2","1","SL","approx. 200","",""
"3","2","SL","25","",""
"4","72","SL","approx. 5","",""
"5","72","SL","6 to 7","",""
"6","72","SL","7 to 10","",""
"7","114","TL","17 to 22","",""
"8","114","SL","65","24",""
"9","106","SL","NA","",""
"10","63","SL","15 to 20","",""
"11","7","SL","25 to 75","",""
"12","7","SL","20 to >39","",""
"13","7","SL","19 to 38","",""
"14","8","SL","<35","13",""
"15","8","SL","24 to >35.5","",""
"16","8","SL","24 to >36","",""
"17","8","SL","25 to 38","13",""
"18","8","TL","26 to 54","",""
"19","57","SL","22","23",""
"20","124","SL","NA","",""
"21","27","SL","25","",""
"22","27","SL","25 to 30","",""
"23","27","SL","21","",""
"24","33","SL","NA","",""
"25","11","TL","30 to 50","22",""
"26","38","SL","NA","",""
"27","10","SL","NA","",""
"28","54","SL","<17","17",""
"29","54","SL","12.7","29",""
"30","54","SL","4.4 to <11.2","",""
"31","54","SL","4.4 to <8.8","15",""
"32","54","SL","7.0 to 8.8","",""
"33","54","SL","approx. 11","",""
"34","64","SL","20.5","",""
"35","58","SL","25.4","",""
"36","58","SL","16 to 20","",""
"37","28","SL","<12.7","26",""
"38","28","SL","9 to 11","16",""
"39","30","SL","8 to 11","16",""
"40","122","SL","NA","",""
"41","121","SL","NA","",""
"42","46","SL","NA","",""
"43","37","SL","NA","",""
"44","34","TL","80","28",""
"45","34","SL","","27",""
"46","109","SL","8 to 11","",""
"47","109","SL","10.3","",""
"48","109","SL","11","",""
"49","109","SL","10","",""
"50","6","SL","<17","13",""
"51","6","SL","4.8 to 9.0","","27-104 days"
"52","6","SL","7.5 to 9.4","12",""
"53","55","SL","<25","20",""
"54","55","SL","20 to 25","14",""
"55","55","SL","21 to 22","",""
"56","55","SL","20 to 22","20",""
"57","62","SL","10 to 11","",""
"58","62","SL","10.5","",""
"59","51","SL","NA","",""
"60","52","SL","8.2 to <17.0","",""
"61","53","SL",">21.0 to <29.4","",""
"62","61","SL","6.0 to <12.7","",""
"63","61","SL","<16","17",""
"64","61","SL","38","25",""
"65","56","SL","7.3 to <12.2","",""
"66","56","SL","<17","17",""
"67","56","SL","19","25",""
"68","59","SL","25.4","21",""
"69","59","SL","25 to 28","",""
"70","59","SL","23 to 27","",""
"71","65","SL","NA","",""
"72","66","SL","NA","",""
"73","68","SL","NA","",""
"74","67","SL","NA","",""
"75","70","SL","NA","",""
"76","97","SL","20.5","",""
"77","12","TL","40","30","approx. 3 to 4 months"
"78","90","SL","21 to 48","",""
"79","90","TL","20 to 40","",""
"80","80","SL","18 to 25","",""
"81","80","SL","30 to 35","",""
"82","85","TL","20 to 40","",""
"83","83","SL","40 to 50","",""
"84","78","SL","40 to 50","",""
"85","81","SL","20 to 25","",""
"86","88","SL","approx.30","",""
"87","77","SL","43 to 63","",""
"88","77","SL","30 to 35","",""
"89","77","SL","30 to 36","",""
"90","77","SL","40 to 50","",""
"91","77","SL","52.5","",""
"92","77","SL","35 to 40","",""
"93","103","SL","25 to 30","",""
"94","79","SL","42 to 64","",""
"95","79","SL","76.2","",""
"96","79","SL","30 to 35","",""
"97","129","SL","59.4","",""
"98","129","SL","25 to 30","",""
"99","127","SL","39 to 49","",""
"100","100","SL","27 to 53","",""
"101","100","SL","approx.30","",""
"102","89","SL","34","",""
"103","92","SL","41 to 66","",""
"104","92","SL","25","",""
"105","92","SL","30 to 40","",""
"106","95","TL","50","",""
"107","95","SL","approx. 25","",""
"108","95","SL","22 to 27","",""
"109","91","SL","55","",""
"110","91","SL","42 to 56","",""
"111","41","SL","12 to 13","",""
"112","41","SL","13.5","",""
"113","112","SL","NA","",""
"114","113","SL","NA","",""
"115","15","SL","19 to 24.2","19",""
"116","15","SL","<29","18",""
"117","15","SL","25 to 51","25",""
"118","120","SL","NA","",""
"119","123","SL","NA","",""
"120","16","SL","NA","",""
"121","115","TL","17 to 22","",""
