"ReferenceName","PredatorID"
"248","543"
"988","543"
"248","551"
"248","530"
"194","530"
"866","537"
"866","548"
"718","539"
"866","538"
"866","541"
"718","533"
"718","529"
"248","553"
"1339","552"
"1022","524"
"248","526"
"248","524"
"1339","527"
"842","287"
"842","288"
"842","289"
"842","290"
"1254","290"
"1250","290"
"585","290"
"1254","292"
"1250","292"
"585","292"
"842","490"
"842","491"
"842","492"
"842","493"
"842","494"
"842","495"
"842","496"
"1428","1191"
"817","554"
"454","554"
"203","554"
"683","554"
"842","554"
"612","555"
"817","557"
"454","557"
"203","557"
"683","557"
"842","557"
"612","559"
"582","556"
"842","558"
"585","558"
"453","1190"
"460","1190"
"443","98"
"739","97"
"739","96"
"453","93"
"739","93"
"453","94"
"739","94"
"453","95"
"739","95"
"453","512"
"454","512"
"453","513"
"454","513"
"453","507"
"454","507"
"453","508"
"454","508"
"453","509"
"454","509"
"453","510"
"454","510"
"453","511"
"454","511"
"1322","500"
"1322","503"
"1260","506"
"1324","501"
"1324","502"
"1324","503"
"1324","505"
"1060","1310"
"979","1227"
"1","358"
"1","359"
"1","360"
"1","361"
"1","362"
"1","363"
"1060","1314"
"436","1234"
"436","1235"
"436","1236"
"436","1237"
"436","1238"
"436","1239"
"436","1228"
"436","1229"
"436","1230"
"436","1231"
"436","1232"
"436","1233"
"1","1311"
"1","1312"
"1","1313"
"1022","1286"
"842","1274"
"436","1274"
"842","1303"
"436","1303"
"842","1293"
"436","1293"
"842","1298"
"436","1298"
"842","1286"
"436","1286"
"842","1291"
"436","1291"
"842","1278"
"436","1278"
"842","1290"
"436","1290"
"842","1294"
"436","1294"
"842","1309"
"436","1309"
"983","1298"
"983","1296"
"88","1277"
"88","1298"
"88","1292"
"88","1283"
"88","1288"
"88","1289"
"88","1286"
"88","1281"
"586","1275"
"586","1280"
"586","1289"
"586","1306"
"842","1306"
"436","1306"
"983","1306"
"578","1276"
"578","1284"
"578","1306"
"578","1295"
"578","1278"
"578","1301"
"578","1302"
"578","1304"
"578","1282"
"436","1219"
"436","1220"
"436","1221"
"436","1223"
"436","1225"
"436","1226"
"1336","1221"
"979","1224"
"453","1216"
"453","1217"
"453","1218"
"577","355"
"842","354"
"842","339"
"842","349"
"842","351"
"842","346"
"842","342"
"842","357"
"454","345"
"454","347"
"454","354"
"337","352"
"436","343"
"436","348"
"436","349"
"436","339"
"436","354"
"436","356"
"842","340"
"582","341"
"582","344"
"313","1256"
"453","1256"
"460","1256"
"313","1257"
"453","1257"
"460","1257"
