"ID","Reference_Name","Citation_Description"
"1239","Unknown Reference","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1240","Ackerman, L.T. 1971.","Contributions to the biology of the leopard shark, Triakis semifasciata (Girard) in Elkhorn Slough, Monterey Bay, California. M.A. Thesis, Sacramento State College. 54 p."
"1241","Ackerman, L.T., M.C. Kondraieff, S.A. Matern, and J.J. Cech. 2000.","Tidal influence on spatial dynamics of leopard sharks, Triakis semifasciata, in Tomales Bay California. Environmental Biology of Fishes 58:33-43."
"1242","Adams, P.B. 1992c.","Copper rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 128. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1243","Adams, P.B. 1992a.","Brown rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 127-128. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1244","Adams, P.B. 1992b.","Canary rockfish. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 129. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1245","Adams 1993c","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"1246","Adams, P.B. 1994.","An examination of the 1992 and 1993 commercial and recreational lingcod sampling in Oregon and California. Appendix J. In: Status of the Pacific coast groundfish fishery through 1994 and recommended acceptable biological catches for 1995, 26 p. Pacific Fishery Management Council, Portland, Oregon."
"1247","Adams, P.B. and J.E. Hardwick. 1992.","Lingcod. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p. 161-164. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"1248","Adams, P.B. and D.F. Howard. 1996.","Natural mortality of blue rockfish, Sebastes mystinus, during their first year in nearshore benthic communities. Fishery Bulletin 94:156-162."
"1249","Adams, P.B., S. Ralston, and T.E. Laidig. 1993.","Occurrence of an exceptional catch of pelagic juvenile lingcod (Ophiodon elongatus) off Point Reyes, California. Fisheries Oceanography 2(2):97-100."
"1250","Adams, P., T. Laidig, K. Silberberg. 1994.","Analysis of the first and second annulus from lingcod fin rays completed. National Marine Fisheries Service, Southwest Fisheries Science Center, First Quarter Report, p 24-25."
"1251","Adams, P.B., E.H. Williams, K.R. Silberberg, and T.E. Laidig. 1999.","Southern lingcod stock assessment in 1999. In: Status of the Pacific Coast Groundfish Fishery Through 1999 and Recommended Acceptable Biological Catches for 2000. Appendix: Stock Assessments, 78 p. Pacific Fishery Management Council, Portland, Oregon."
"1252","Agassiz, L. 1853.","Extraordinary fishes from California constitute a new Family. American Journal of Science and Arts 16:380-390."
"1253","Ahlstrom, E.H., K. Amaoka, D.A. Hensley, H.G. Moser, and B.Y. Sumida. 1984.","Pleuronectiformes: Development. In: H.G. Moser (Editor), Ontogeny and Systematics of Fishes, Special Publication No. 1, American Society of Ichthyologists and Herpetologists, p 640-670. Allen Press Inc., Lawrence, Kansas."
"1254","Ainley, D.G., W.J. Sydman, R. Parrish, and W. Lenarz. 1993.","Oceanic factors influencing distribution of young rockfish (Sebastes) in central California: a predator's perspective. California Cooperative Oceanic Fisheries Investigations Reports 34:133-139."
"1255","Ainley, D.G., D.W. Anderson, and P.R. Kelly. 1981.","Feeding ecology of marine cormorants in southwestern North America. Condor 83:120-131."
"1256","Alcalay, O.M. and P.C. Sikkel. 1994.","Diel periodicity of hatching of demersal eggs in the temperate damselfish, Hypsypops rubicundus. Bulletin of Marine Science 54(2):565-569."
