"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Sardine",1708000,3732200
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Pacific Mackerel",5545,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Veliowfin Tuna",550300,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Bluefin tuna",358300,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Bonito Tuna",210000,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Skipjack",109500,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Albacore",58500,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Yellowtail",38600,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Horse Mackerel",17500,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Anchovy",14400,NA
"FB 59","Table 10",1941,"Los Angeles","Terminal Island","Landings","Allother",13000,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Sardine",392000,1031800
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Yellowfim Tuna",283000,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Skipjack",804,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Pacific Mackerel",788,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Rluefin Tuna",73500,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Bonito Tuna",56700,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Yellowtail",33100,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","Albacore",10500,NA
"FB 59","Table 10",1941,"Los Angeles","Long Beach","Landings","All other",17800,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Yellowfin Tuna",309000,848500
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Sardine",241000,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Skipjack",654,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Pacific Mackerel",62700,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Albacore",NA,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Ronito Tuna",41300,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Broadbill Swordfish",23400,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Blucfin Tuna",210,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Shark",NA,NA
"FB 59","Table 10",1941,"Los Angeles","Wilmington","Landings","Allother",20300,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","Pacific Mackerel",190400,389500
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","Shark",51800,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","Broadbill Swordfish",39900,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","Skipjack",28700,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","Anchovy",164,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","California Halibut",10100,NA
"FB 59","Table 10",1941,"Los Angeles","Newport","Landings","All other",52200,NA
"FB 59","Table 10",1941,"Los Angeles","San Pedro","Landings","Barracuda",1414,370800
