"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 132","Table 16",1964,"Eureka","Eureka Area Totals","Landings","Totals",4887273,27998593
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Salmon",1013872,2086528
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Albacore tuna",372662,2710631
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Giant Pacific oyster",161012,894512
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Dover sole",158237,2532157
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Market crab",117761,389221
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Ocean shrimp",73266,732660
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Petrale sole",45547,397911
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","English sole",41067,521987
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Sablefish",35563,370211
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Rockfish",25877,527929
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Rex sole",19690,272763
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Lingcod",9195,126184
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Sanddab",5937,74464
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","All other species",11348,204403
"FB 132","Table 16",1964,"Eureka","Eureka","Landings","Totals",2091034,11841561
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Salmon",1185121,2311101
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Albacore tuna",265742,1932928
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Market crab",82662,273212
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Dover sole",64450,1031358
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Petrale sole",40054,349919
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","English sole",31485,400190
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Rockfish",22822,456413
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Sablefish",20105,209295
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Rex sole",9390,130076
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Lingcod",9216,126474
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","All other species",14876,394824
"FB 132","Table 16",1964,"Eureka","Fort Bragg","Landings","Totals",1745923,7615790
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Salmon",236347,568697
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Market crab",68188,225372
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Ocean shrimp",33202,332025
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","English sole",19480,247605
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Albacore tuna",14580,106051
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Dover sole",13161,210603
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Petrale sole",12188,106479
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Rockfish",10569,202595
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Lingcod",6215,85291
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","All other species",11319,142735
"FB 132","Table 16",1964,"Eureka","Crescent City","Landings","Totals",425249,2227453
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Dover sole",154860,2478125
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Sablefish",51886,540138
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","English sole",48200,612648
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Rockfish",34765,698223
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Petrale sole",27057,236378
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Salmon",20411,45437
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Rex sole",15463,214207
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Miscellaneous (animal food)",12251,612593
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Market crab",8901,29419
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Lingcod",8729,119783
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Smelt",5328,94643
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","All other species",11238,143781
"FB 132","Table 16",1964,"Eureka","Fields Landing","Landings","Totals",399089,5825375
"FB 132","Table 16",1964,"Eureka","Albion","Landings","Salmon",106343,206469
"FB 132","Table 16",1964,"Eureka","Albion","Landings","Totals",106343,206469
"FB 132","Table 16",1964,"Eureka","Point Arena","Landings","Salmon",76631,148777
"FB 132","Table 16",1964,"Eureka","Point Arena","Landings","All other species",14,282
"FB 132","Table 16",1964,"Eureka","Point Arena","Landings","Totals",76645,149059
"FB 132","Table 16",1964,"Eureka","Trinidad","Landings","Salmon",21852,56062
"FB 132","Table 16",1964,"Eureka","Trinidad","Landings","Market crab",20337,67216
"FB 132","Table 16",1964,"Eureka","Trinidad","Landings","All other species",8,108
"FB 132","Table 16",1964,"Eureka","Trinidad","Landings","Totals",42197,123386
"FB 132","Table 16",1964,"Eureka","All Other Ports","Landings","All species",793,9500
"FB 132","Table 16",1964,"Eureka","All Other Ports","Landings","Totals",793,9500
"FB 132","Table 17",1964,"San Francisco","San Francisco Area Totals","Landings","Totals",8013674,31223268
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Yellowfin tuna",1929318,10117655
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Albacore tuna",484219,2491364
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Salmon",370888,633132
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Market crab",142410,370505
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Dover sole",128214,2277585
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Skipjack",127925,1195011
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","English sole",102746,1325525
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Petrale sole",93243,749124
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Rockfish",81640,1498619
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Bigeye tuna",55406,457228
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","California halibut",35768,151135
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Sablefish",27935,724401
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Sand sole",27048,234464
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Rex sole",22446,330644
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Sanddab",18354,279993
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Lingcod",13178,166605
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Flounder",8980,160761
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Smelt",5300,52790
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","All other species",18263,334281
"FB 132","Table 17",1964,"San Francisco","San Francisco","Landings","Totals",3693281,23550822
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Salmon",531319,909742
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Market crab",98905,257318
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","English sole",46863,604580
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Petrale sole",21148,169910
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Dover sole",16050,285110
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Rex sole",7365,108494
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Rockfish",7231,127547
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Albacore tuna",6470,46934
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","All other species",21437,333455
"FB 132","Table 17",1964,"San Francisco","Bodega Bay","Landings","Totals",756788,2843090
"FB 132","Table 17",1964,"San Francisco","Sausalito","Landings","Salmon",515683,890937
"FB 132","Table 17",1964,"San Francisco","Sausalito","Landings","Albacore tuna",77345,561074
"FB 132","Table 17",1964,"San Francisco","Sausalito","Landings","All other species",8637,67431
"FB 132","Table 17",1964,"San Francisco","Sausalito","Landings","Totals",601665,1519442
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","Salmon",295177,503883
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","Giant Pacific oyster",31020,172338
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","Market crab",26809,69747
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","Rockfish",5184,98447
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","All other species",22529,256172
"FB 132","Table 17",1964,"San Francisco","Point Reyes","Landings","Totals",380719,1100587
"FB 132","Table 17",1964,"San Francisco","Princeton","Landings","Salmon",234518,400336
"FB 132","Table 17",1964,"San Francisco","Princeton","Landings","Market crab",34533,89844
"FB 132","Table 17",1964,"San Francisco","Princeton","Landings","Abalone",7238,38721
"FB 132","Table 17",1964,"San Francisco","Princeton","Landings","All other species",1757,20789
"FB 132","Table 17",1964,"San Francisco","Princeton","Landings","Totals",278046,549690
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","Albacore tuna",96159,697555
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","Salmon",91003,155348
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","Dover sole",8730,155070
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","Market crab",7838,20391
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","All other species",1856,44707
"FB 132","Table 17",1964,"San Francisco","Oakland","Landings","Totals",205586,1073071
"FB 132","Table 17",1964,"San Francisco","Clear Lake","Landings","Hardhead",40517,153078
"FB 132","Table 17",1964,"San Francisco","Clear Lake","Landings","Carp",9083,154100
"FB 132","Table 17",1964,"San Francisco","Clear Lake","Landings","Totals",49600,307178
"FB 132","Table 17",1964,"San Francisco","Tomales Bay","Landings","Eastern oyster",10277,4910
"FB 132","Table 17",1964,"San Francisco","Tomales Bay","Landings","All other species",9754,84473
"FB 132","Table 17",1964,"San Francisco","Tomales Bay","Landings","Totals",25539,119985
"FB 132","Table 17",1964,"San Francisco","Richmond","Landings","All species",9953,94165
"FB 132","Table 17",1964,"San Francisco","Richmond","Landings","Totals",9953,94165
"FB 132","Table 17",1964,"San Francisco","Berkeley","Landings","Salmon",7614,13302
"FB 132","Table 17",1964,"San Francisco","Berkeley","Landings","All other species",472,2251
