Fish:,,,,,,
"Anchovy, northern.....","822,874","851,790","13,419,000","10,164,928",324,"25,258,916"
"","$118,393","$27,297","$309,852","$239,659",$103,"$695,304"
"Barracuda, California..",,,747,"40,911","6,779","48,437"
"",,,$471,"$25,614","$3,406","$29,491"
Blacksmith...........,,,,"1,500",,"1,500"
"Bass, giant sea......",,,"5,180","45,852","15,195",66.227
"",,,"$2,654","$28,848","$8,435","$39,937"
"Bonito, Pacific......",,"12,528","51,448","5,509,261","2,309,159","7,882,396"
"",,"$3,407","$10,674","$1,008,810","$467,954","$1,490,845"
"Butterfish, Pacific.... 218",131,"30,451","22,980","35,434",598,"89,812"
"$55",$193,"$23,183","$10,848","$21,635",$338,"$56,252"
Cabezon.............. 42,"4,457","5,446","18,218",618,,"28,781"
"$20","$1,004",$907,"$3,262",$212,,"$5,405"
"Croaker, white....... 340","45,966","67,798","88,029","205,529","14,626","422,288"
"$189","$17,878","$16,026","$28,105","$51,684","$4,729","$118,611"
"Flounder, arrowtooth... 206,178",425,,,,,"206,603"
"$18,328",$58,,,,,"$18,386"
"Flounder, miscellaneous 229,326","455,917","88,485","49,151",35,29,"822,943"
"$42,718","$84,322","$31,309","$10,215",$28,$12,"$168,604"
Flyingfish...........,,,,"182,715",,"182,715"
"",,,,"$73,075",,"$73,075"
"Grenadier............ 59,933","10,969",360,,,,"71,262"
"$5,444",$965,$36,,,,"$6,445"
"",,,"3,117",801,187,"4,105"
"",,,"$1,174",$273,$94,$1/541
"Hake, Pacific........ 641,374","106,335",,,,,"747,709"
"$61,586","$9,571",,,,,"$71,157"
Halfmoon.............,,,33,"7,358","3,969","11,360"
"",,,$7,"$3,110","$2,031","$5,148"
"Halibut, California---","46,483","30,726","227,029","102,121","35,081","441,440"
"","$42,515","$27,188","$278,042","$112,731","$36,292","$496,768"
"Herring, Pacific..... 50,203","9,736,483","73,257",73,103,,"9,860,119"
"$15,227","$3,259,941","$5,765",$28,$21,,"$3,280,982"
"Lingcod.............. 1,061,019","702,028","139,615","109,260","2,600",938,"2,015,460"
"$434,488Mackerel............. $233,076 2,963","$141,642 892","$33,327 17,906","$24,594 8,818,530","$1,589 85,084,860","$260 74,278","93,999,429"
"$39",$157,"$2,875","$518,097","$4,830,788","$12,250","$5,364,206"
Opaleye..............,,,868,"2,670",53,"3,591"
"",,,$224,"$1,132",$13,"$1,369"
Queenfish............,,580,4,"43,199",,"43,783"
"Rockfish............. 7,577,786","2,838,703","$58 3,207,810","$1 4,971,102","$9,910 896,576","1,018.387","$9,96920,510,364"
"$1,409,356","$613,797","$707,244","$1,249,888","$374,498","$396,797","$4,751,580"
"Sablef ish............ 4,757,579","1,729,398","5,459,708","1,164,890","4,594,766","9,383","17,715,724"
"$1,148,874","$368,851","$1,017,500","$227,802","$634,212","$1,904","$3,399,143"
"Salmon............... 4,100,813","1,441,550","861,201","406,303","1,123",,"6,810,990"
"$6,117,807","$2,410,415","$1,713,398","$806,962",$692,,"$11,049,274"
"Sanddab, Pacific..... 414,064","230,181","94,142","3,762",913,144,"743,206"
"$117,209","$66,444","$25,223",$945,$640,$52,"$210,513"
"Sardine, Pacific......",,,,"1,920",,"1,920"
"$116Sculpin..............",,918,24,"$116 14,805","55,462","71,209"
"",,$231,$3,"$8,843","$28,477","$37,554"
"Seabass, white.......",,"2,891","41,448","599,143","517,273","1.160,755"
"",,"$3,435","$47,408","$519,048","$427,689","$997,580"
"Shark, common thresher.",30,,"135,794","160,366","5,883","302,073"
"",$12,,"$54,099","$64,588","$1,622","$120,321"
"Shark, Pacific angel...",364,,"81,744",275,,"82,383"
"",$73,,"$9,126",$138,,"$9,337"
"Shark, soupfin....... 11,441","75,358","5,508","24,817",37.451,"21,495","176,070"
"$3,357","$18,134","$1,404","$9,161","$15,931","$9,112","$57,099"
"Shark, miscellaneous —  1,432","119,529","58,504","586,701","316,090","102,155","1,184,411"
"$142","$23,176","$11,033","$72,667","$126,413","$42,494","$275,925"
"Sheephead, California..",,,"2,712",7.292,"1,140","11,144"
