Fish:,,,,,,,
"",,,,$238,"$1,108",$275,"$1,621"
Skate................,"55,054","22,358","77,995","5,809",210,,"161,426"
"","$10,400","$4,063","$6,770","$1,090",$55,,"$22,378"
"Smelt, top or jack....",,937,"29,424",,"11,987",418,"42,766"
"",,$98,"$1,569",,"$1,709",$106,"$3,482"
"Smelt, true..........","522,052","28,948","7,431",8,,,"558,439"
"","$46,095","$6,905","$1,254",$1,,,"$54,255"
"Smelt, whitebait.....","283,373","23,053","13,341",,,,"319,767"
"","$55,368","$4,126","$2,917",,,,"$62,413"
"Sole, Dover..........","14,963,881","4,092,255","2,721,374","146,341",,,"21,923,851"
"","$2,352,362","$662,025","$443,402","$20,116",,,"$3,477,905"
"Sole, English........","1,552,277","1,054,893","321,162","474,626",23,76,"3,403,057"
"","$378,366","$255,917","$63,915","$104,133",$4,$27,"$802,362"
"Sole, petrale........","934,517","524,808","252,877","488,511",,,"2,200,713"
"","$303,065","$171,670","$80,443","$152,243",,,"$707,421"
"","1,078,348","308,399","91,003","70,256",,,"1,548,006"
"","$242,079","$72,712","$17,201","$15,562",,,"$347,554"
"Sole, sand...........","53,323","176,667","3,091","10,684",,,"243,765"
"","$15,302","$51,227",$837,"$3,022",,,"$70,388"
"Sole, miscellaneous....","46,655","6,827","1,939","4,329",704,758,"61,212"
"","$7,733","$1,527",$613,"$1,029",$221,$297,"$11,420"
Surfperch ...........,"26,598","29,030",55,"13,727","15,404","25,419","110,233"
"","$8,666","$14,860",$14,"$6,521","$5,150","$9,671","$44,882"
Swordfish............,,392,377,"72,404","310,474","127,741","511,388"
"",,"$1,176","$1,131","$173,905","$759,164","$334,000","$1,269,376"
Thornyhead...........,"2,338,516","507,091","371,789","19,345",,,"3,236,741"
"","$364,459","$79,374","$58,181","$3,018",,,"$505,032"
"Tuna, albacore.......","2,031,988","1,722,307","4,020,333","1,084,117","1,889,045","5,157,050","15,904,840"
"","$1,170,762","$988,466","$2,318,754","$627,780","$1,107,556","$2,970,517","$9,183,835"
"Tuna, bigeye.........",,,,,"1,242,435","2,097,710","3,340,145"
"",,,,,"$482,100","$855,982","$1,338,082"
"Tuna, bluefin........",,,,194,"4,733,921","2,205,879","6,939,994"
"",,,,$61,"$1,956,380","$855,947","$2,812,388"
"Tuna, skipjack.......",,,"1,641",873,"45,966,739","35,651,036","81,620,289"
"",,,$567,$263,"$15,813,982","$12,646,319","$28,461,131"
"Tuna, skipjack, black..",,,,,"543,075","292,771","835,846"
"",,,,,"$54,313","$24,383","$78,696"
"Tuna, yellowfin......",,,,,,"116,726,589 78,869,600","195,596,189"
