"",Species,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
"Barracuda,",California....................................,"48,701",73.174,"69,434","27,909","69,924","73,135","81,989",87.414,"75,448","88,118"
"£nU ok*P«Iflc**°'i .......................................",,161*962,315*643,538*467,560*508,o S ’o tl,218*478,348’” °,“ ’ *5J3,572.620,"700,602"
C a b eso n ........................................................,,5^620,s ls s i,5i*69,6|208,5|830,s!247,31758,l^ S *,,^ I M
"Halibut, California.......................................",,"6,982","5,409",6.329,"6,517",11.440,"11,804","5,682","3,209","7,090","7,848"
"• • • • • :.................................................",,* «•« !,**■“ »,'5 .8 “,89.349,"65,604",49.791,"30,543","23,797","20,603",25.585
Mackerel. Jack................................................,,8.789,"5,237",2.957,"4,166","2,984","4,404","5,308",13.261,6.825,"4,390"
"Mackerel, Pacific...........................................",,"484,722","940,204","1,272,038","1,315,971","1.007,198","914,238","630,003","604,324","695,708","605,716"
Rockflab............................................................,,"3,216,071","2,955,435","3,713,670","3,315,952","3,315,718","3.089,655","2,346,270","2,015,791","2.043,129","1,802,017"
s*1*“ ................................................................,,56.157,"45,646","69,904",64.500,"65,629","102,576","55,560",71.491,"108,343","88,679"
Scmlpim...........................................................,,” .21*,“ .U 4,“ .226,"95,615","73,362","67,339","50,83*","*6,538","“ ,762","72,675"
"Seabass. *h ,t*.................................................",,"2,096",*33,"1,352","1,00*",887,"1,899","1,003",973,"1,0*5","1,634"
"Sheephead,",California....................................,"28,512","34,409","31,995","34,368","*6,479",37.242,“ .972,"38,522","35,93*","36,707"
"Tuna, albacore.................................................",,70.274,92.“ 6,"10,196","21,309","26,“ 8","36,690","17,161","211,285","172,493","27,322"
"tlina, bluefIn...................................................",,"1,838",*79,"1,087",729,5*2,66S,"1,912","2,834","4,960",693
"Hhlteflsh,",ocean.............................................,"61,058","38,0“","36,957","28,810","24,378","22,6“","22,095","“ ,2*1","84,4*1","73,919"
"........................................................",,54.1*1,58.528,"71,483",44.246,“ .911,"37,3“",U a.it t,96 016,*5 509,42 005
"*51",,"144,565",115.250,"196,279",215.191,115.387,110.221,313.898,153.347,86.887,152.345
Total,number of flak .........................,"4,849,472","5,256.351","6,630,658","6,407.784","6,314,534","5,370,645","4,624,996","4,172,393","4,149,696","4,075,121"
Total number of anglers................................,,"716,536","732,460","786,3*7","761,958","830,653","773,473","691,792","701,737","711,787","660,294"
