"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 108","Table 17",1957,"Eureka","Eureka Area Totals","Landings","Totals",3722348,47850358
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Salmon",347107,1045642
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Crab",241908,2886730
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Albacore tuna",228998,1831983
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Giant Pacific oyster",188003,9400135
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Dover sole",123980,2504642
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","English sole",67235,980095
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Petrale sole",54027,535447
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Rockfish",37940,1017030
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Sablefish",26903,310657
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Perch",17613,123800
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Rex sole",14192,246822
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Lingcod",11562,161707
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Sanddab",8100,140139
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","All other species",18480,359487
"FB 108","Table 17",1957,"Eureka","Eureka","Landings","Totals",1386048,21544316
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Salmon",417916,1264098
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Dover sole",104149,2106514
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Sablefish",81161,938345
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Petrale sole",78635,778681
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","English sole",54243,791249
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Rockfish",49078,1436438
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Lingcod",41140,580392
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Albacore tuna",21618,172945
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Ocean shrimp",19452,224621
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Rex sole",13678,237919
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Crab",8256,98515
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Arrowtooth halibut",5303,262919
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","All other species",10581,288273
"FB 108","Table 17",1957,"Eureka","Fort Bragg","Landings","Totals",905210,9180909
