"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Market crab",682992,4344736
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Salmon",496470,917859
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Giant Pacific oyster",230024,9200940
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Dover sole",173647,2983624
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Albacore tuna",150336,1220263
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Rockfish",28088,760769
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","English sole",25957,361011
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Petrale sole",23392,207374
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Ocean shrimp",19201,191437
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Sablefish",18774,311339
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Rex sole",12746,214219
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Lingcod",9186,128652
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Perch",7673,51297
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","Smelt",5074,93092
"FB 117","Table 16",1960,"Eureka","Eureka","Landings","All other species",16032,318899
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","Market crab",807417,5136242
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","Salmon",411079,759943
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","Ocean shrimp",114643,1143003
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","Perch",5929,40300
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","Lingcod",5317,74464
"FB 117","Table 16",1960,"Eureka","Crescent City","Landings","All other species",15114,242793
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Salmon",359197,664075
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Market crab",115656,735725
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Dover sole",77521,1331983
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Albacore tuna",61928,502661
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Ocean shrimp",50879,507264
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Sablefish",32641,541304
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Rockfish",22916,611374
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Petrale sole",13681,121286
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Lingcod",11218,157118
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","English sole",10375,144303
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Smelt",8672,154959
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","Rex sole",5168,86858
"FB 117","Table 16",1960,"Eureka","Fort Bragg","Landings","All other species",6382,206821
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Dover sole",184853,3176168
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Market crab",69617,442858
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Rockfish",64696,1738430
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Petrale sole",51349,455225
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","English sole",45034,626348
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Sablefish",29864,495263
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Lingcod",25319,354609
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Arrowtooth halibut",17126,789222
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","Rex sole",9377,157591
"FB 117","Table 16",1960,"Eureka","Fields Landing","Landings","All other species",20186,402649
"FB 117","Table 16",1960,"Eureka","Trinidad","Landings","Market crab",96737,615377
"FB 117","Table 16",1960,"Eureka","Trinidad","Landings","Salmon",48237,87932
"FB 117","Table 16",1960,"Eureka","Trinidad","Landings","All other species",265,2152
"FB 117","Table 16",1960,"Eureka","All Other Ports","Landings","Salmon",1013,1872
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Yellowfin tuna",3167646,19433413
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Albacore tuna",701744,4139398
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Market crab",353420,1712308
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Salmon",196954,360259
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Bluefin tuna",147408,997348
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Rockfish",109326,2352907
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Petrale sole",63975,539420
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Dover sole",60781,1215624
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","English sole",29533,442779
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Sablefish",23715,687403
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Oriental tuna",21126,211680
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Rex sole",18691,321708
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Skipjack",17073,137133
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","White seabass",14439,62943
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Lingcod",12892,187660
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","Sanddab",7906,133550
"FB 117","Table 17",1960,"San Francisco","San Francisco","Landings","All other species",27149,618795
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Salmon",731863,1338693
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Market crab",225636,1093199
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Rockfish",24647,524954
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Ocean shrimp",10905,109052
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","English sole",10244,153590
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Petrale sole",7384,62261
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Rex sole",7080,121863
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","Dover sole",6934,138677
"FB 117","Table 17",1960,"San Francisco","Bodega Bay","Landings","All other species",18761,287661
"FB 117","Table 17",1960,"San Francisco","Sausalito","Landings","Salmon",244950,448052
"FB 117","Table 17",1960,"San Francisco","Sausalito","Landings","Albacore tuna",85874,650562
"FB 117","Table 17",1960,"San Francisco","Sausalito","Landings","Market crab",22141,107270
"FB 117","Table 17",1960,"San Francisco","Sausalito","Landings","All other species",154,2623
"FB 117","Table 17",1960,"San Francisco","Oakland","Landings","Albacore tuna",166814,1263745
"FB 117","Table 17",1960,"San Francisco","Oakland","Landings","Salmon",140004,256089
"FB 117","Table 17",1960,"San Francisco","Oakland","Landings","Market crab",13765,66693
"FB 117","Table 17",1960,"San Francisco","Oakland","Landings","All other species",1191,22606
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Salmon",150564,275405
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Market crab",45640,221125
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Giant Pacific oyster",24589,192252
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Petrale sole",18925,159570
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Rockfish",18193,405537
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","English sole",8851,132695
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Lingcod",8533,124206
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","Dover sole",7822,156439
"FB 117","Table 17",1960,"San Francisco","Point Reyes","Landings","All other species",10986,226674
"FB 117","Table 17",1960,"San Francisco","Princeton","Landings","Salmon",96123,175824
"FB 117","Table 17",1960,"San Francisco","Princeton","Landings","Market crab",32146,155747
"FB 117","Table 17",1960,"San Francisco","Princeton","Landings","All other species",5833,38323
"FB 117","Table 17",1960,"San Francisco","Clear Lake","Landings","Hardhead",32547,144335
"FB 117","Table 17",1960,"San Francisco","Clear Lake","Landings","Carp",6404,134825
"FB 117","Table 17",1960,"San Francisco","Tomales Bay","Landings","Giant Pacific oyster",8994,70314
"FB 117","Table 17",1960,"San Francisco","Tomales Bay","Landings","Pacific herring",8774,1154500
"FB 117","Table 17",1960,"San Francisco","Tomales Bay","Landings","All other species",4520,25632
"FB 117","Table 17",1960,"San Francisco","Berkeley","Landings","Salmon",19249,35210
"FB 117","Table 17",1960,"San Francisco","Berkeley","Landings","All other species",1658,8530
"FB 117","Table 17",1960,"San Francisco","Turlock","Landings","Hardhead",6860,30422
"FB 117","Table 17",1960,"San Francisco","Turlock","Landings","Carp",6627,139527
"FB 117","Table 17",1960,"San Francisco","All Other Ports","Landings","All other species",4404,54457
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Albacore tuna",281769,2223908
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Salmon",269609,552703
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Pacific herring",25555,334494
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Jack mackerel",22780,1031502
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Sardine",13480,626970
"FB 117","Table 18",1960,"Monterey","Moss Landing","Landings","Market crab",9478,40522
