"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Salmon",708686,1198238
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Market crab",822784,3053649
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Albacore tuna",625670,3126717
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Dover sole",630599,8767717
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Ocean shrimp",92795,662831
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Giant Pacific oyster",81551,350757
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Petrale sole",158535,1110385
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Rex sole",124654,1280280
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Sablefish",95725,1167356
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Rockfish",95884,1696554
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","English sole",107454,1149208
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Lingcod",31342,342970
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Sanddab",28538,288036
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Whitebait smelt",9542,94861
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Smelt",9015,126085
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Perch",4223,23094
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Flounder",3800,75778
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Sand sole",2934,29288
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","Miscellaneous (animal food)",37141,1857096
"FB 153","Table 16",1969,"Eureka","Eureka","Landings","All other species",292,27448
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Market crab",747508,2774272
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Ocean shrimp",319857,2284732
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Salmon",238051,431280
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Dover sole",144923,2014971
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Albacore tuna",106803,533736
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Petrale sole",65763,460603
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Rex sole",41001,421106
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","English sole",39889,426607
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Rockfish",35628,611610
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Sablefish",28418,346555
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Lingcod",26431,289228
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Sanddab",5467,55179
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Flounder",3357,66950
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Whitebait smelt",3047,30293
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Perch",2768,14896
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","Sand sole",1358,13558
"FB 153","Table 16",1969,"Eureka","Crescent City","Landings","All other species",949,35490
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Salmon",890883,1475500
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Albacore tuna",205261,1025769
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Market crab",131799,489152
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Dover sole",107263,1491366
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Sablefish",75004,914655
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Rockfish",52235,912381
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Petrale sole",44090,308807
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","English sole",24107,257826
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Lingcod",20555,224931
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Rex sole",17783,182647
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Whitebait smelt",2846,28294
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Sanddab",1807,18242
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Miscellaneous (animal food)",1452,72612
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","Smelt",1379,17961
"FB 153","Table 16",1969,"Eureka","Fort Bragg","Landings","All other species",822,10293
"FB 153","Table 16",1969,"Eureka","Trinidad","Landings","Market crab",92930,344896
"FB 153","Table 16",1969,"Eureka","Trinidad","Landings","Salmon",39508,72545
"FB 153","Table 16",1969,"Eureka","Trinidad","Landings","All other species",23,344
"FB 153","Table 16",1969,"Eureka","Albion","Landings","Salmon",85075,146309
"FB 153","Table 16",1969,"Eureka","Albion","Landings","All other species",8,132
"FB 153","Table 16",1969,"Eureka","Point Arena","Landings","Salmon",20911,35650
"FB 153","Table 16",1969,"Eureka","All Other Ports","Landings","All species",24,123
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Salmon",437442,676560
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Market crab",142050,362942
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","English sole",37824,445444
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Albacore tuna",36069,180001
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Petrale sole",17186,117308
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Rockfish",12841,146914
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Dover sole",10359,156767
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Smelt",8186,65785
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Rex sole",7498,78574
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Lingcod",4781,61005
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Sanddab",3616,39284
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Flounder",1960,29923
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","Sablefish",1398,26519
"FB 153","Table 17",1969,"San Francisco","Bodega Bay","Landings","All other species",2304,25674
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Market crab",235736,602314
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Salmon",180698,278769
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Petrale sole",50095,341934
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","English sole",44750,527015
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Rockfish",27695,375235
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Dover sole",26734,404583
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Sand sole",13905,119680
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","California halibut",12369,48530
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Sanddab",11112,120726
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Sablefish",9083,172313
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Rex sole",8737,91560
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Flounder",7518,114805
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Lingcod",6248,79724
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Albacore tuna",4807,23989
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","Perch",2134,5787
"FB 153","Table 17",1969,"San Francisco","San Francisco","Landings","All other species",3850,94179
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Salmon",187151,285786
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Market crab",55929,142901
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Giant Pacific oyster",46201,198712
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","English sole",8495,100050
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Petrale sole",8409,57395
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Rockfish",4564,64838
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Flounder",2199,33580
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Sanddab",2022,21970
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Lingcod",1871,23877
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","California halibut",1649,6471
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Rex sole",1633,17115
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Sand sole",1589,13675
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","Dover sole",1375,20803
"FB 153","Table 17",1969,"San Francisco","Point Reyes","Landings","All other species",692,13633
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","Salmon",164991,252290
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","Albacore tuna",62685,312828
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","Market crab",40499,103476
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","Anchovy",8559,95099
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","Pacific herring",2915,11212
"FB 153","Table 17",1969,"San Francisco","Sausalito","Landings","All other species",249,929
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Salmon",97705,150805
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Market crab",16542,42266
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","California halibut",8594,33718
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Abalone",4669,13280
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Rockfish",1918,21482
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Shark",1286,26171
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Sanddab",1276,13865
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","Petrale sole",1150,7850
"FB 153","Table 17",1969,"San Francisco","Princeton","Landings","All other species",3250,41008
"FB 153","Table 17",1969,"San Francisco","Clear Lake","Landings","Blackfish",77482,258272
"FB 153","Table 17",1969,"San Francisco","Clear Lake","Landings","Carp",21207,298142
"FB 153","Table 17",1969,"San Francisco","Clear Lake","Landings","Hardhead",2010,10051
"FB 153","Table 17",1969,"San Francisco","Clear Lake","Landings","All other species",76,270
"FB 153","Table 17",1969,"San Francisco","Oakland","Landings","Salmon",46538,71839
"FB 153","Table 17",1969,"San Francisco","Oakland","Landings","Albacore tuna",37650,187892
"FB 153","Table 17",1969,"San Francisco","Oakland","Landings","Abalone",2355,6700
"FB 153","Table 17",1969,"San Francisco","Oakland","Landings","All other species",496,1376
"FB 153","Table 17",1969,"San Francisco","Tomales Bay","Landings","Eastern oyster",50258,16952
"FB 153","Table 17",1969,"San Francisco","Tomales Bay","Landings","Giant Pacific oyster",5610,24132
"FB 153","Table 17",1969,"San Francisco","Tomales Bay","Landings","Pacific herring",3957,15220
"FB 153","Table 17",1969,"San Francisco","Tomales Bay","Landings","Perch",2890,7954
"FB 153","Table 17",1969,"San Francisco","Tomales Bay","Landings","All other species",1474,13693
"FB 153","Table 17",1969,"San Francisco","Richmond","Landings","Market crab",5387,13763
"FB 153","Table 17",1969,"San Francisco","Richmond","Landings","Perch",1843,5067
"FB 153","Table 17",1969,"San Francisco","Richmond","Landings","All other species",155,253
"FB 153","Table 17",1969,"San Francisco","Berkeley","Landings","Salmon",3682,5683
"FB 153","Table 17",1969,"San Francisco","Berkeley","Landings","All other species",885,2530
"FB 153","Table 17",1969,"San Francisco","Alameda","Landings","Perch",1488,4007
"FB 153","Table 17",1969,"San Francisco","Alameda","Landings","All other species",721,2050
"FB 153","Table 17",1969,"San Francisco","All Other Ports","Landings","Market crab",1843,4710
"FB 153","Table 17",1969,"San Francisco","All Other Ports","Landings","Bay shrimp",1630,8025
"FB 153","Table 17",1969,"San Francisco","All Other Ports","Landings","All species",267,2484
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Squid",351345,10465220
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Salmon",130496,192432
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Rockfish",121947,1565951
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Sablefish",88356,1345830
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Petrale sole",22326,143054
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","English sole",21292,247853
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Albacore tuna",8930,43586
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","White croaker",5051,74839
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Spot prawn",4705,5073
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Pacific pompano",3380,9293
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Sanddab",3256,41430
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Perch",3210,17239
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Rex sole",2498,30756
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Lingcod",2104,16854
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Anchovy",2093,167650
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","California halibut",1999,7322
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Jack mackerel",1586,37213
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","Pacific herring",1158,19200
"FB 153","Table 18",1969,"Monterey","Monterey","Landings","All other species",4352,83865
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Salmon",365261,538816
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Albacore tuna",175403,856120
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Anchovy",66972,5365207
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Squid",36762,1095000
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Rockfish",33977,466487
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","English sole",17849,207771
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Jack mackerel",17502,410569
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Petrale sole",16803,107670
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Sablefish",11254,171415
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Sanddab",7562,96208
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Pacific herring",7466,123835
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Rex sole",4275,52619
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Smelt",3666,28018
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","Sand sole",3170,25297
"FB 153","Table 18",1969,"Monterey","Moss Landing","Landings","White croaker",2415,35791
