"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Salmon",1445212,2925324
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Market crab",814047,5580346
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Albacore tuna",186418,1081106
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Dover sole",156433,2227772
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Giant Pacific oyster",123259,535908
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Ocean shrimp",25144,240645
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Petrale sole",22899,177102
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","English sole",22715,255521
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Sablefish",22505,220513
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Rockfish",20887,417423
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","Rex sole",17973,211440
"FB 138","Table 16",1966,"Eureka","Eureka","Landings","All other species",13250,141736
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Salmon",1095932,2262365
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Market crab",106816,732232
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Dover sole",89994,1281617
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Albacore tuna",85934,498360
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Sablefish",73578,720951
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Petrale sole",53302,412247
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","English sole",29889,336230
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Rockfish",25407,466219
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Lingcod",12724,148922
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Rex sole",12551,147658
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Whitebait smelt",5259,52965
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","Miscellaneous (animal food)",5257,305231
"FB 138","Table 16",1966,"Eureka","Fort Bragg","Landings","All other species",6170,91772
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Market crab",687189,4710724
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Salmon",551752,1101693
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Ocean shrimp",98715,944776
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","English sole",26192,294638
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Rockfish",8724,156144
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Albacore tuna",6944,40268
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Petrale sole",6405,49540
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Sablefish",5922,58025
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Lingcod",5646,66079
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","Dover sole",4873,69402
"FB 138","Table 16",1966,"Eureka","Crescent City","Landings","All other species",11734,155241
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Dover sole",280874,3999949
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","English sole",93172,1048101
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Petrale sole",72160,558096
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Sablefish",60153,589403
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Market crab",57501,394171
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Rockfish",45930,872475
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Rex sole",42393,498727
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Miscellaneous (animal food)",16683,968599
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Lingcod",11910,139392
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Salmon",11802,23692
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Sanddab",9803,104759
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Smelt",6549,97697
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","Whitebait smelt",6215,62597
"FB 138","Table 16",1966,"Eureka","Fields Landing","Landings","All other species",3200,30117
"FB 138","Table 16",1966,"Eureka","Albion","Landings","Salmon",144286,284532
"FB 138","Table 16",1966,"Eureka","Albion","Landings","All other species",452,3098
"FB 138","Table 16",1966,"Eureka","Trinidad","Landings","Market crab",91338,626131
"FB 138","Table 16",1966,"Eureka","Trinidad","Landings","Salmon",52869,130399
"FB 138","Table 16",1966,"Eureka","Point Arena","Landings","Salmon",105750,208245
"FB 138","Table 16",1966,"Eureka","All Other Ports","Landings","All species",1065,9815
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Dover sole",118812,2100640
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Petrale sole",118738,867062
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Yellowfin tuna",118458,699448
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Salmon",111803,190738
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","English sole",105255,1173991
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Rockfish",89691,1401513
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Market crab",60845,164778
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","California halibut",38430,152004
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Sablefish",35754,877200
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Albacore tuna",34096,192956
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Bluefin tuna",18135,111260
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Sanddab",17732,224937
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Rex sole",17245,219241
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Sand sole",17002,140670
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Lingcod",16005,179106
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","Flounder",10077,145613
"FB 138","Table 17",1966,"San Francisco","San Francisco","Landings","All other species",16973,301695
"FB 138","Table 17",1966,"San Francisco","San Francisco","Shipments","Yellowfin tuna",83073,342690
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Salmon",539080,959302
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","English sole",54958,612983
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Market crab",29921,81032
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Petrale sole",27297,199331
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Dover sole",24362,430731
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Rex sole",11849,150638
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Albacore tuna",10224,57863
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Smelt",9901,70023
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","Rockfish",9694,123677
"FB 138","Table 17",1966,"San Francisco","Bodega Bay","Landings","All other species",18775,300223
"FB 138","Table 17",1966,"San Francisco","Point Reyes","Landings","Salmon",339737,579886
"FB 138","Table 17",1966,"San Francisco","Point Reyes","Landings","Giant Pacific oyster",42743,185840
