"year","filename","region","port_complex","species","landings_n"
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Barracuda, California",30536
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, barred sand",55318
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, kelp (calico)",42424
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bass, striped",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Bonito, Pacific",8722
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Cabezon",60
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Croaker, white",1677
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Fishes, unspecified",5347
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Flatfishes, unspecified",425
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Greenling, kelp",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Halibut, California",431
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Invertebrates, unspecified",826
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Lingcod",177
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, jack",618
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Mackerel, Pacific",16636
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Other highly migratory spp",113318
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, blue",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, canary",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, copper",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, gopher",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfish, yelloweye",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Rockfishes, unspecified",45472
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Salmon, king (Chinook)",10
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Sanddab",30
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Scorpionfish, California",27788
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Seabass, white",292
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Shark, unspecified",123
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Sheephead, California",2000
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Sturgeon, unspecified",0
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Tuna, albacore",106829
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Whitefish, ocean",24933
2000,"landings00_cpfv2.pdf","Southern","San Diego-Mission Bay","Yellowtail",77396
