"source","table","year","port_complex","port","type","species","landings_lb","value_usd"
"FB 121","Table 16",1961,"Eureka","Eureka Area Totals","Landings","Totals",5496818,43916045
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Salmon",712041,1382438
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Market crab",453602,2822666
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Giant Pacific oyster",210166,8406650
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Albacore tuna",150943,927739
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Dover sole",147409,2465036
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Petrale sole",56226,492779
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Ocean shrimp",50042,527318
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","English sole",32628,440337
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Rockfish",19186,458614
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Rex sole",17851,256480
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Miscellaneous (animal food)",10856,542843
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Sablefish",8510,108278
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Flounder",6365,129646
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Lingcod",6257,90420
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Smelt",6171,119606
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Whitebait smelt",5339,76825
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","All other species",8561,176647
"FB 121","Table 16",1961,"Eureka","Eureka","Landings","Totals",1902153,19424322
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Market crab",1049358,6529921
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Salmon",709560,1382776
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Ocean shrimp",51260,540153
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Albacore tuna",17524,107708
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Lingcod",5455,78841
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Whitebait smelt",5188,74660
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","All other species",6957,88198
"FB 121","Table 16",1961,"Eureka","Crescent City","Landings","Totals",1845302,8802257
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Salmon",684047,1304377
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Ocean shrimp",75893,799722
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Dover sole",69953,1169783
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Albacore tuna",65206,400775
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Petrale sole",45057,394891
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Market crab",41060,255513
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Rockfish",28309,643968
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Sablefish",23043,293176
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","Lingcod",19240,278050
"FB 121","Table 16",1961,"Eureka","Fort Bragg","Landings","English sole",17758,239654
