Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1984,Gulf of Alaska,ALL,0,0,0,0,0,0
1987,Gulf of Alaska,ALL,-0.0127401264322475,0.1247583399004,0.33184027554341,0.457349295194144,-10.388492158096,4.90481533864939
1990,Gulf of Alaska,ALL,-0.00358927740373658,0.13521247105044,0.606224939748298,0.481208914482423,-3.58353347591954,3.93141734439615
1993,Gulf of Alaska,ALL,-0.243001561983192,0.120695404329898,-0.14976715859305,0.435436787682119,-7.12172129356459,3.9652484080884
1996,Gulf of Alaska,ALL,-0.287658682918823,0.122496580251346,-0.0743846705425559,0.473705135837107,-5.93584271420821,4.44401629168582
1999,Gulf of Alaska,ALL,0.0645779055424011,0.117528473503025,0.612569867184234,0.394122305020341,-10.4167126415478,3.89852892761321
2003,Gulf of Alaska,ALL,-0.277450870214486,0.127514712560803,-0.507887866768494,0.440252847923194,-9.59363884073511,4.51020061992651
2005,Gulf of Alaska,ALL,-0.326431908536445,0.134800199025314,-0.86722696996166,0.485966893046167,-10.0053130873922,4.07054203007378
2007,Gulf of Alaska,ALL,-0.330576105196818,0.135826878833375,-0.641750834714889,0.478147429588097,-2.80002770517399,4.20566792944597
2009,Gulf of Alaska,ALL,-0.3117409205087,0.127185533200229,-1.11687035288715,0.460091173861974,-7.48097490773439,4.68955479105809
2011,Gulf of Alaska,ALL,-0.441808189073348,0.141014666886555,-1.09419160556823,0.517573350251485,-10.4850664719568,4.16602602666662
2013,Gulf of Alaska,ALL,0.260228326370432,0.12119137811004,0.574128169384193,0.440769545975875,-9.68929238924462,4.23654630565309
2015,Gulf of Alaska,ALL,-0.317008508596402,0.133854110265804,-1.05383589442459,0.496920614089985,-4.83424075042383,4.29565602553753
2017,Gulf of Alaska,ALL,-0.367545132175615,0.131913119276395,-0.885635292857672,0.499624158142932,-12.1619979326418,4.66465214676955
1984,Gulf of Alaska,Acantholithodes hispidus,59.0391985534591,NaN,-140.046335597484,NaN,154.830188679245,NaN
1987,Gulf of Alaska,Acantholithodes hispidus,57.6528908088628,1.08280562938996,-150.556948799742,4.56881278766991,132.393191228153,14.4295836163173
1990,Gulf of Alaska,Acantholithodes hispidus,59.3150035095191,0.267499168217136,-147.458474370916,2.18517907296042,160.670379584903,5.69667275142791
1993,Gulf of Alaska,Acantholithodes hispidus,57.6200627624481,0.895299735485757,-146.250745663415,4.03694057547482,158.549978592689,16.1661507205665
1996,Gulf of Alaska,Acantholithodes hispidus,57.2514327241888,0.47090300983182,-152.21373772542,1.78250012982403,95.7126121011157,12.1770447609429
1999,Gulf of Alaska,Acantholithodes hispidus,58.7384023910935,0.261003825884276,-149.643865327176,1.93958885996072,152.504297723246,8.12764163540021
2003,Gulf of Alaska,Acantholithodes hispidus,55.1354741938384,1.16491761954761,-159.941198160067,3.51856122705492,108.468050322592,19.590501653813
2005,Gulf of Alaska,Acantholithodes hispidus,57.2618790969478,1.28916129944465,-154.649214253608,3.91542271351009,138.910033478566,13.0799955000173
2007,Gulf of Alaska,Acantholithodes hispidus,54.0876655911324,0.487423654542552,-162.919702731122,2.10274146289376,149.288965817975,16.3755192010514
2009,Gulf of Alaska,Acantholithodes hispidus,57.2789770992489,0.924532952509604,-154.556706282343,2.94891410647631,132.822756248543,13.434654774481
2011,Gulf of Alaska,Acantholithodes hispidus,55.0262060947964,1.05159030363545,-160.767884085282,2.93104732028171,135.356915771841,10.3473187507884
2013,Gulf of Alaska,Acantholithodes hispidus,59.0788829938341,0.623098619259937,-147.292435950885,3.05322107771171,175.614236420132,38.8149331253273
2015,Gulf of Alaska,Acantholithodes hispidus,55.0752536588058,1.01187294396361,-160.399386182233,2.8966686230585,154.158058666118,15.251332861392
2017,Gulf of Alaska,Acantholithodes hispidus,56.829162509211,0.155445414651563,-136.089356174408,1.64331094323637,161.734353657551,3.29023643429937
1984,Gulf of Alaska,Actiniaria spp.,55.6899697743114,0.332548743332547,-158.986242027698,1.01862338489621,106.269988160333,8.67339398505752
1987,Gulf of Alaska,Actiniaria spp.,56.046323259527,0.364064012228068,-157.540396792366,1.30724378319617,92.1603538467647,9.80037517168286
1990,Gulf of Alaska,Actiniaria spp.,56.4180973641683,0.322493746402998,-156.594863830861,0.945722006231712,105.907102037245,7.80520457317462
1993,Gulf of Alaska,Actiniaria spp.,56.3338757769457,0.273876057078752,-157.221785957614,0.826296864364557,99.4322338875107,6.75575448423226
1996,Gulf of Alaska,Actiniaria spp.,55.4805701149537,0.223464548386419,-159.538722907118,0.803191673842703,84.3206649632967,4.60426828988974
1999,Gulf of Alaska,Actiniaria spp.,55.14331843708,0.228199349714026,-161.497293176359,0.84273115535285,72.696564882042,4.53442125121287
2003,Gulf of Alaska,Actiniaria spp.,55.9649697072057,0.373564756921932,-156.687612810537,1.57897251139729,118.193307385749,16.3197233611766
2005,Gulf of Alaska,Actiniaria spp.,56.0777248804096,0.51568995870997,-156.619631733606,2.01807399881321,170.535063006422,34.7486439188618
2007,Gulf of Alaska,Actiniaria spp.,55.7589149392582,0.419687703438859,-157.620901712165,1.39842563406044,96.7762940142982,11.9926520681585
2009,Gulf of Alaska,Actiniaria spp.,55.7194629864732,0.617567714008295,-156.811400617751,2.84540761528799,115.940340338199,26.2709619985342
2011,Gulf of Alaska,Actiniaria spp.,54.2529242423279,0.0349234805349777,-163.652189508587,0.108835112082736,84.8828486618553,1.76920083259307
2013,Gulf of Alaska,Actiniaria spp.,56.8141845359419,0.27680739943206,-154.012756658244,1.35825785881868,109.552924039686,17.7420885166427
2015,Gulf of Alaska,Actiniaria spp.,56.7720039353049,0.724556708116405,-153.573145063956,2.87818506178412,113.784537464384,12.628398640306
2017,Gulf of Alaska,Actiniaria spp.,56.4289415388516,0.511189567110521,-156.353540392787,1.52918214750447,78.7594511092124,14.8816111749697
1984,Gulf of Alaska,Allocentrotus fragilis,58.9551890374748,0.24486916384121,-149.213914162606,0.295874025457772,178.194001854962,25.9027518071081
1990,Gulf of Alaska,Allocentrotus fragilis,56.9753591790841,0.517232039512657,-136.336116405992,0.878100858250383,171.009804838161,16.9877269768491
1993,Gulf of Alaska,Allocentrotus fragilis,57.3480775696074,0.420739075717072,-151.503079925025,1.6737414968926,160.916862718511,8.96033324219411
1996,Gulf of Alaska,Allocentrotus fragilis,57.4134871869992,0.298774726464022,-149.695816676913,1.40111517977642,155.759182658421,8.03112995568142
1999,Gulf of Alaska,Allocentrotus fragilis,57.7482870243831,0.234586651361854,-149.803936749344,1.21438774575488,141.136942268674,11.0430796158644
2003,Gulf of Alaska,Allocentrotus fragilis,55.6779495295881,0.385863612295432,-155.98960056837,1.86856337310668,143.426083144933,10.6394010980816
2005,Gulf of Alaska,Allocentrotus fragilis,57.9911305948421,0.354129804992691,-144.495207584256,1.72089897515788,184.811616366405,14.7013994006538
2007,Gulf of Alaska,Allocentrotus fragilis,56.8996929003366,0.37139989048484,-152.574361117992,1.52564853902288,178.575440032057,12.683833158914
2009,Gulf of Alaska,Allocentrotus fragilis,57.8095604853879,0.350223229625793,-148.075909878992,1.5094542222065,183.816541115189,10.95602378871
2011,Gulf of Alaska,Allocentrotus fragilis,57.8371653788971,0.347458046012707,-146.555922374848,1.56536604049611,195.774126050346,13.684717227665
2013,Gulf of Alaska,Allocentrotus fragilis,58.4755895596178,0.264981334004945,-145.42361602005,1.20653524884533,186.107382268483,11.6729262144606
2015,Gulf of Alaska,Allocentrotus fragilis,56.8696833560932,0.466407168127725,-149.66307201934,2.19918187880199,191.50625805132,15.0821919316231
2017,Gulf of Alaska,Allocentrotus fragilis,58.4711874861659,0.250757269494244,-142.593445608492,1.13672976645547,182.458060113558,12.9525483993372
1984,Gulf of Alaska,Ammodytes sp.,55.7505860603129,0.208692814274344,-155.587262211103,3.47166190429706,117.755876738638,27.0587885082117
1987,Gulf of Alaska,Ammodytes sp.,56.6836404588107,1.07395011100118,-155.848224915729,3.49415316548346,92.0626507422345,5.19282900110838
1990,Gulf of Alaska,Ammodytes sp.,57.1696914923519,0.780711860224041,-154.550396204805,1.84720423957882,76.4405679779398,11.327166693023
1993,Gulf of Alaska,Ammodytes sp.,57.9781723152584,1.51669814934051,-153.83656745388,1.15168850266647,55.5348157750509,4.50825851314307
1996,Gulf of Alaska,Ammodytes sp.,56.7450039354631,0.848441172477106,-154.949741397364,1.83458440901652,81.8954816599512,19.0149146074521
1999,Gulf of Alaska,Ammodytes sp.,57.5162318909346,0.377224756982541,-152.283636659922,1.1322043538369,91.5242496936651,10.5231200134767
2003,Gulf of Alaska,Ammodytes sp.,55.7675018499,0.456967407794934,-157.730505933538,1.70602800317772,79.9156921934863,3.35639685113491
2005,Gulf of Alaska,Ammodytes sp.,57.2315240306201,0.189879417368111,-152.601195327067,0.746680676580142,76.586976606643,2.71699358673639
2007,Gulf of Alaska,Ammodytes sp.,57.1737796989758,0.592994537117064,-155.035596298786,1.39504367776827,84.7550295716904,8.26239094328682
2009,Gulf of Alaska,Ammodytes sp.,57.6389462422998,0.527574252484655,-150.229491151034,2.56128604059681,76.1297986561923,3.93150444644279
2011,Gulf of Alaska,Ammodytes sp.,56.8171979677063,0.380279603166085,-153.97697359674,1.41713708883036,82.3700494417455,14.1207281031805
2013,Gulf of Alaska,Ammodytes sp.,54.6682472183001,0.416191378170154,-163.139052401281,1.35576788801513,75.0533275622766,7.54581110243045
2015,Gulf of Alaska,Ammodytes sp.,54.9909500807143,0.688316669833016,-160.901213414931,1.68570499483694,80.6433736903091,5.06809104668059
2017,Gulf of Alaska,Ammodytes sp.,54.8971531651003,0.431523524371397,-162.144318196714,1.07266790298896,76.3968495121353,7.30016339628035
1984,Gulf of Alaska,Anarhichas orientalis,54.296135471974,0.114670838366783,-163.322398774678,0.838358350768579,90.8281162005709,14.9341035163956
1990,Gulf of Alaska,Anarhichas orientalis,54.2496673636364,NaN,-163.662127054545,NaN,84.7763636363636,NaN
1993,Gulf of Alaska,Anarhichas orientalis,54.0187020431756,0.305989605451329,-164.715217375824,1.3951648293763,84.6094049409902,0.221191758234744
1999,Gulf of Alaska,Anarhichas orientalis,53.9362359055225,0.318139288966289,-165.091223138171,1.45056151876098,84.549792360506,0.229974441733766
2003,Gulf of Alaska,Anarhichas orientalis,53.9712895549725,0.315675968029845,-164.931395425129,1.43932996490174,84.5751317126155,0.228193772458335
2005,Gulf of Alaska,Anarhichas orientalis,56.4367938536474,2.57656533433448,-159.072179395282,5.40723185388686,70.6705332201393,16.6175087853567
2007,Gulf of Alaska,Anarhichas orientalis,54.2496673636364,NaN,-163.662127054545,NaN,84.7763636363636,NaN
2009,Gulf of Alaska,Anarhichas orientalis,54.1081433109606,0.515244499759449,-163.432420526211,4.80663490019885,88.8054591571854,12.4946385952845
2011,Gulf of Alaska,Anarhichas orientalis,54.2496673636364,NaN,-163.662127054545,NaN,84.7763636363636,NaN
2013,Gulf of Alaska,Anarhichas orientalis,54.2496673636364,NaN,-163.662127054545,NaN,84.7763636363636,NaN
2015,Gulf of Alaska,Anarhichas orientalis,56.7538870371605,2.60904310719847,-158.406721260107,5.47539036150678,68.6254468050627,16.8269735595288
2017,Gulf of Alaska,Anarhichas orientalis,54.0175395603894,0.306318536749304,-164.720517735931,1.39666459724436,84.6085646130614,0.221429533933138
1984,Gulf of Alaska,Anarrhichthys ocellatus,56.4383992555831,NaN,-155.00577764268,NaN,60.1116625310174,NaN
1987,Gulf of Alaska,Anarrhichthys ocellatus,56.5598280285982,2.79546363724565,-156.444965039847,8.73329473668134,80.4996227161787,5.17516980945351
1990,Gulf of Alaska,Anarrhichthys ocellatus,59.9425438135593,NaN,-145.877038644068,NaN,74.2372881355932,NaN
1993,Gulf of Alaska,Anarrhichthys ocellatus,56.816570116792,0.063436192503803,-135.763922998873,0.00679862875482279,180.59222302629,30.6306864576574
1996,Gulf of Alaska,Anarrhichthys ocellatus,59.4742275407538,0.0637626988011423,-143.63072367279,3.01656163795651,99.4126683389814,23.8763470654333
1999,Gulf of Alaska,Anarrhichthys ocellatus,59.6333143629417,0.246540458467328,-142.667902939995,2.55855898002509,74.8860959543925,0.517277305846686
2003,Gulf of Alaska,Anarrhichthys ocellatus,56.854394379562,NaN,-135.759869270073,NaN,162.328467153285,NaN
2005,Gulf of Alaska,Anarrhichthys ocellatus,56.854394379562,NaN,-135.759869270073,NaN,162.328467153285,NaN
2009,Gulf of Alaska,Anarrhichthys ocellatus,59.5614642391304,NaN,-149.653603586957,NaN,146.663043478261,NaN
2011,Gulf of Alaska,Anarrhichthys ocellatus,55.8894561970789,2.89102014822438,-160.092745486939,8.21887349303331,108.174159148592,30.3028040258826
2013,Gulf of Alaska,Anarrhichthys ocellatus,57.0012112745484,1.7515791383208,-150.192097227252,8.87504145656746,126.564751898612,21.5064250617363
2017,Gulf of Alaska,Anarrhichthys ocellatus,57.6700642490842,NaN,-152.625365714286,NaN,96.2564102564103,NaN
1984,Gulf of Alaska,Anoplopoma fimbria,57.0354545354065,0.303903629801979,-152.657696703377,1.14270471317207,185.472808797776,10.6112301482437
1987,Gulf of Alaska,Anoplopoma fimbria,56.9606027702017,0.239234395370404,-152.459932197212,0.905839497292368,205.619286459775,13.508035690161
1990,Gulf of Alaska,Anoplopoma fimbria,57.2633535256626,0.314719815099551,-152.856803629558,1.08135856475481,188.886560466351,9.90514553102165
1993,Gulf of Alaska,Anoplopoma fimbria,57.4555502988424,0.220490875872538,-151.426695671547,0.838671677568904,150.592039560354,12.9049528206761
1996,Gulf of Alaska,Anoplopoma fimbria,57.4426376910785,0.291049680065809,-150.751586617702,1.13772950502877,209.871398703353,12.7752248922253
1999,Gulf of Alaska,Anoplopoma fimbria,57.8039592962585,0.246687820796135,-149.450337495941,1.0295540011154,223.011623641194,14.4903382030879
2003,Gulf of Alaska,Anoplopoma fimbria,57.4192917619559,0.233922727221416,-151.266101035758,0.938845340162833,209.876559167854,13.7038362008806
2005,Gulf of Alaska,Anoplopoma fimbria,57.4859859637495,0.253007123992099,-151.12745661456,0.99009932295619,235.901605416037,13.7785926621141
2007,Gulf of Alaska,Anoplopoma fimbria,57.2387508410603,0.252154020490941,-150.244374389633,1.14879235492963,255.245859044305,14.4538783621041
2009,Gulf of Alaska,Anoplopoma fimbria,57.4129137227204,0.283104241021906,-150.09999233666,1.1912391601043,241.477271564391,13.8411094601027
2011,Gulf of Alaska,Anoplopoma fimbria,57.5919136532238,0.259820002799519,-149.730817549223,1.10906150892432,255.18541624426,16.0207733994768
2013,Gulf of Alaska,Anoplopoma fimbria,57.5085554184605,0.306865208385664,-147.524723731758,1.44593056855656,244.512649606655,15.8329758216421
2015,Gulf of Alaska,Anoplopoma fimbria,57.1577820034266,0.261302069109602,-149.872972065292,1.33738810624984,203.44045419747,16.9806032848058
2017,Gulf of Alaska,Anoplopoma fimbria,57.1144809426547,0.20993573094555,-151.836165087817,1.05892039111142,164.963174311717,15.1806244459624
1993,Gulf of Alaska,Aphrocallistes vastus,58.6339660230764,0.115320086470417,-149.772519072338,0.274039156227475,146.56233415249,2.71554432305102
1996,Gulf of Alaska,Aphrocallistes vastus,58.2205150813246,0.187869579432115,-150.198914751962,0.517059664690737,148.390319712853,6.54386082214926
1999,Gulf of Alaska,Aphrocallistes vastus,58.5842356534061,0.189686374893019,-149.475212075761,0.838072260083,165.637674271199,9.59667740793852
2003,Gulf of Alaska,Aphrocallistes vastus,57.2562970141289,0.329912526206978,-150.579824977168,1.53473575698005,181.99640011663,13.9664419413195
2005,Gulf of Alaska,Aphrocallistes vastus,57.9094465742271,0.284433419314463,-151.406018989801,0.982326033364329,192.918325693289,8.85304109689087
