"source","table","season","year","region_type","region","nfishers"
"FB 49","Table 144","1916-17",1916,"state","Statewide",2663
"FB 49","Table 144","1917-18",1917,"state","Statewide",2152
"FB 49","Table 144","1918-19",1918,"state","Statewide",4522
"FB 49","Table 144","1919-20",1919,"state","Statewide",5087
"FB 49","Table 144","1920-21",1920,"state","Statewide",5269
"FB 49","Table 144","1921-22",1921,"state","Statewide",4462
"FB 49","Table 144","1922-23",1922,"state","Statewide",4472
"FB 49","Table 144","1923-24",1923,"state","Statewide",4123
"FB 49","Table 144","1924-25",1924,"state","Statewide",4671
"FB 49","Table 144","1925-26",1925,"state","Statewide",5072
"FB 49","Table 144","1926-27",1926,"state","Statewide",5078
"FB 49","Table 144","1927-28",1927,"state","Statewide",5206
"FB 49","Table 144","1928-29",1928,"state","Statewide",5340
"FB 49","Table 144","1929-30",1929,"state","Statewide",6014
"FB 49","Table 144","1930-31",1930,"state","Statewide",6179
"FB 49","Table 144","1931-32",1931,"state","Statewide",5651
"FB 49","Table 144","1932-33",1932,"state","Statewide",4955
"FB 49","Table 144","1933-34",1933,"state","Statewide",4991
"FB 49","Table 144","1934-35",1934,"state","Statewide",5323
"FB 49","Table 144","1935-36",1935,"area of residence","AK/WA/OR",202
"FB 49","Table 144","1935-36",1935,"area of residence","Del Norte",15
"FB 49","Table 144","1935-36",1935,"area of residence","Eureka",109
"FB 49","Table 144","1935-36",1935,"area of residence","Los Angeles",1951
"FB 49","Table 144","1935-36",1935,"area of residence","Monterey",946
"FB 49","Table 144","1935-36",1935,"area of residence","Sacramento",354
"FB 49","Table 144","1935-36",1935,"area of residence","San Diego",901
"FB 49","Table 144","1935-36",1935,"area of residence","San Francisco",746
"FB 49","Table 144","1935-36",1935,"area of residence","Santa Barbara",145
"FB 49","Table 144","1935-36",1935,"state","Statewide",6007
"FB 57","Table 3","1939-40",1939,"area of residence","AK/WA/OR",432
"FB 57","Table 3","1939-40",1939,"area of residence","Del Norte/Eureka",257
"FB 57","Table 3","1939-40",1939,"area of residence","Los Angeles",3269
"FB 57","Table 3","1939-40",1939,"area of residence","Monterey",1163
"FB 57","Table 3","1939-40",1939,"area of residence","Sacramento",448
"FB 57","Table 3","1939-40",1939,"area of residence","San Diego",1470
"FB 57","Table 3","1939-40",1939,"area of residence","San Francisco",1387
"FB 57","Table 3","1939-40",1939,"area of residence","Santa Barbara",298
"FB 58","Table 11","1940-41",1940,"area of residence","AK/WA/OR/Other",351
"FB 58","Table 11","1940-41",1940,"area of residence","Eureka",252
"FB 58","Table 11","1940-41",1940,"area of residence","Los Angeles",3534
"FB 58","Table 11","1940-41",1940,"area of residence","Monterey",1195
"FB 58","Table 11","1940-41",1940,"area of residence","Sacramento",434
"FB 58","Table 11","1940-41",1940,"area of residence","San Diego",1452
"FB 58","Table 11","1940-41",1940,"area of residence","San Francisco",1436
"FB 58","Table 11","1940-41",1940,"area of residence","Santa Barbara",393
"FB 59","Table 16","1941-42",1941,"area of residence","AK/WA/OR",445
"FB 59","Table 16","1941-42",1941,"area of residence","Eureka",388
"FB 59","Table 16","1941-42",1941,"area of residence","Los Angeles",3589
"FB 59","Table 16","1941-42",1941,"area of residence","Monterey",1171
"FB 59","Table 16","1941-42",1941,"area of residence","Sacramento",381
"FB 59","Table 16","1941-42",1941,"area of residence","San Diego",1661
"FB 59","Table 16","1941-42",1941,"area of residence","San Francisco",1336
"FB 59","Table 16","1941-42",1941,"area of residence","Santa Barbara",373
"FB 59","Table 17","1942-43",1942,"area of residence","AK/WA/OR",466
"FB 59","Table 17","1942-43",1942,"area of residence","Eureka",213
"FB 59","Table 17","1942-43",1942,"area of residence","Los Angeles",4379
"FB 59","Table 17","1942-43",1942,"area of residence","Monterey",994
"FB 59","Table 17","1942-43",1942,"area of residence","Sacramento",367
"FB 59","Table 17","1942-43",1942,"area of residence","San Diego",1391
"FB 59","Table 17","1942-43",1942,"area of residence","San Francisco",927
"FB 59","Table 17","1942-43",1942,"area of residence","Santa Barbara",306
"FB 63","Table 23","1943-44",1943,"area of residence","AK/WA/OR",354
"FB 63","Table 23","1943-44",1943,"area of residence","Eureka",315
"FB 63","Table 23","1943-44",1943,"area of residence","Los Angeles",6537
"FB 63","Table 23","1943-44",1943,"area of residence","Mexico",13
"FB 63","Table 23","1943-44",1943,"area of residence","Monterey",968
"FB 63","Table 23","1943-44",1943,"area of residence","Sacramento",442
"FB 63","Table 23","1943-44",1943,"area of residence","San Diego",1552
"FB 63","Table 23","1943-44",1943,"area of residence","San Francisco",1347
"FB 63","Table 23","1943-44",1943,"area of residence","Santa Barbara",276
"FB 63","Table 24","1944-45",1944,"area of residence","AK/WA/OR",522
"FB 63","Table 24","1944-45",1944,"area of residence","Eureka",365
"FB 63","Table 24","1944-45",1944,"area of residence","Los Angeles",4978
"FB 63","Table 24","1944-45",1944,"area of residence","Mexico",34
"FB 63","Table 24","1944-45",1944,"area of residence","Monterey",1007
"FB 63","Table 24","1944-45",1944,"area of residence","Sacramento",501
"FB 63","Table 24","1944-45",1944,"area of residence","San Diego",1648
"FB 63","Table 24","1944-45",1944,"area of residence","San Francisco",1469
"FB 63","Table 24","1944-45",1944,"area of residence","Santa Barbara",347
"FB 67","Table 23","1945-46",1945,"area of residence","AK/WA/OR",646
"FB 67","Table 23","1945-46",1945,"area of residence","Eureka",628
"FB 67","Table 23","1945-46",1945,"area of residence","Los Angeles",4863
"FB 67","Table 23","1945-46",1945,"area of residence","Mexico",29
"FB 67","Table 23","1945-46",1945,"area of residence","Monterey",1074
"FB 67","Table 23","1945-46",1945,"area of residence","Sacramento",559
"FB 67","Table 23","1945-46",1945,"area of residence","San Diego",2023
"FB 67","Table 23","1945-46",1945,"area of residence","San Francisco",1484
"FB 67","Table 23","1945-46",1945,"area of residence","Santa Barbara",441
"FB 67","Table 24","1946-47",1946,"area of residence","AK/WA/OR/Other",681
"FB 67","Table 24","1946-47",1946,"area of residence","Eureka",845
