"source","table","region","port_complex_group","port_complex","year","cpfvs_n","anglers_n","landings_n"
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1977,400,716536,4849472
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1978,425,732460,5256351
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1979,438,786347,6630658
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1980,454,761958,6407784
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1981,441,830653,6314534
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1982,500,773473,5370645
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1983,469,691792,4624996
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1984,462,701737,4172393
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1985,579,711787,4149696
"FB 173/FB 181","Table 14/Table 3","Statewide","Statewide","Statewide",1986,588,660294,4075121
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1987,593,677377,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1988,624,711106,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1989,732,737448,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1990,728,768890,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1991,564,661406,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1992,515,635325,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1993,375,592744,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1994,391,582296,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1995,363,691095,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1996,354,711323,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1997,343,872653,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1998,361,766152,NA
"FB 181","Table 7b/Table 3","Statewide","Statewide","Statewide",1999,384,723210,NA
"CDFW 2001","landings00_cpfv2.pdf","Northern","Bodega Bay","Princeton-Bodega Bay",2000,21,27533,154907
"CDFW 2001","landings00_cpfv2.pdf","Northern","Fort Bragg","Fort Bragg-Eureka-Crescent City",2000,15,11630,54070
"CDFW 2001","landings00_cpfv2.pdf","Southern","Los Angeles","Newport Beach",2000,22,57502,247754
"CDFW 2001","landings00_cpfv2.pdf","Southern","Los Angeles","Oceanside-Dana Harbor",2000,29,68551,273628
"CDFW 2001","landings00_cpfv2.pdf","Southern","Los Angeles","Redondo-Marina del Rey-Malibu",2000,13,63765,326770
"CDFW 2001","landings00_cpfv2.pdf","Southern","Los Angeles","Seal Beach-Long Beach-San Pedro",2000,54,147559,891499
