"source","year","seafood_lb","table","seafood_kg","seafood_mt"
"FB 181",1916,95003,"Table 2",43092.6414362652,43.0926414362652
"FB 181",1917,209877,"Table 2",95198.6180091054,95.1986180091054
"FB 181",1918,261134,"Table 2",118448.405090552,118.448405090552
"FB 181",1919,266270,"Table 2",120778.055800705,120.778055800705
"FB 181",1920,222004,"Table 2",100699.333383331,100.699333383331
"FB 181",1921,135348,"Table 2",61392.8279434926,61.3928279434926
"FB 181",1922,182343,"Table 2",82709.4040968486,82.7094040968486
"FB 181",1923,253875,"Table 2",115155.777655778,115.155777655778
"FB 181",1924,340446,"Table 2",154423.727739237,154.423727739237
"FB 181",1925,437502,"Table 2",198447.594430164,198.447594430164
"FB 181",1926,394964,"Table 2",179152.679728357,179.152679728357
"FB 181",1927,487166,"Table 2",220974.808773824,220.974808773824
"FB 181",1928,583527,"Table 2",264683.428727298,264.683428727298
"FB 181",1929,856854,"Table 2",388662.486292323,388.662486292323
"FB 181",1930,702189,"Table 2",318507.613417362,318.507613417362
"FB 181",1931,502390,"Table 2",227880.299897533,227.880299897533
"FB 181",1932,556139,"Table 2",252260.439309528,252.260439309528
"FB 181",1933,821805,"Table 2",372764.525283727,372.764525283727
"FB 181",1934,1390798,"Table 2",630855.44166263,630.85544166263
"FB 181",1935,1448017,"Table 2",656809.546799748,656.809546799748
"FB 181",1936,1764900,"Table 2",800545.276158274,800.545276158274
"FB 181",1937,1362984,"Table 2",618239.221870536,618.239221870536
"FB 181",1938,1310596,"Table 2",594476.421753034,594.476421753034
"FB 181",1939,1486535,"Table 2",674281.019941039,674.281019941039
"FB 181",1940,1297518,"Table 2",588544.33997979,588.54433997979
"FB 181",1941,1528892,"Table 2",693493.834413381,693.493834413381
"FB 181",1942,1173414,"Table 2",532251.705296609,532.251705296609
"FB 181",1943,1234049,"Table 2",559755.282167738,559.755282167738
"FB 181",1944,1459456,"Table 2",661998.190583517,661.998190583517
"FB 181",1945,1216501,"Table 2",551795.642241383,551.795642241383
"FB 181",1946,919822,"Table 2",417224.294297952,417.224294297952
"FB 181",1947,795499,"Table 2",360832.322873041,360.832322873041
"FB 181",1948,900467,"Table 2",408445.01285422,408.44501285422
"FB 181",1949,1135339,"Table 2",514981.173600917,514.981173600917
"FB 181",1950,1366676,"Table 2",619913.885114672,619.913885114672
"FB 181",1951,907114,"Table 2",411460.041723064,411.460041723064
"FB 181",1952,694996,"Table 2",315244.923082835,315.244923082835
"FB 181",1953,618919,"Table 2",280736.971938695,280.736971938695
"FB 181",1954,713410,"Table 2",323597.37405183,323.59737405183
"FB 181",1955,710713,"Table 2",322374.035273543,322.374035273543
"FB 181",1956,772551,"Table 2",350423.283835543,350.423283835543
"FB 181",1957,738550,"Table 2",335000.68769148,335.00068769148
"FB 181",1958,832919,"Table 2",377805.7515284,377.8057515284
"FB 181",1959,713423,"Table 2",323603.270753393,323.603270753393
"FB 181",1960,694663,"Table 2",315093.876804315,315.093876804315
"FB 181",1961,725253,"Table 2",328969.269176507,328.969269176507
"FB 181",1962,663107,"Table 2",300780.314146685,300.780314146685
"FB 181",1963,592899,"Table 2",268934.496962414,268.934496962414
"FB 181",1964,591131,"Table 2",268132.545549729,268.132545549729
"FB 181",1965,544480,"Table 2",246972.005191601,246.972005191601
"FB 181",1966,591533,"Table 2",268314.889705781,268.314889705781
"FB 181",1967,589028,"Table 2",267178.640673667,267.178640673667
"FB 181",1968,567214,"Table 2",257283.975449509,257.283975449509
"FB 181",1969,672793,"Table 2",305173.810404189,305.173810404189
"FB 181",1970,798415,"Table 2",362154.998393058,362.154998393058
"FB 181",1971,687995,"Table 2",312069.322494482,312.069322494482
"FB 181",1972,845699,"Table 2",383602.662758103,383.602662758103
"FB 181",1973,1006431,"Table 2",456509.480893675,456.509480893675
"FB 181",1974,938118,"Table 2",425523.221360444,425.523221360444
"FB 181",1975,979826,"Table 2",444441.654347021,444.441654347021
"FB 181",1976,1047761,"Table 2",475256.455942472,475.256455942472
"FB 181",1977,1045147,"Table 2",474070.765335708,474.070765335708
"FB 181",1978,918035,"Table 2",416413.724629135,416.413724629135
"FB 181",1979,849554,"Table 2",385351.261568002,385.351261568002
"FB 181",1980,1010527,"Table 2",458367.395478719,458.36739547872
"FB 181",1981,971959,"Table 2",440873.242716029,440.873242716029
"FB 181",1982,846765,"Table 2",384086.19228634,384.08619228634
"FB 181",1983,649602,"Table 2",294654.54840669,294.65454840669
"FB 181",1984,496296,"Table 2",225116.107641366,225.116107641366
"FB 181",1985,367012,"Table 2",166473.8641812,166.4738641812
"FB 181",1986,422585,"Table 2",191681.356181848,191.681356181848
"FB 181",1987,422765,"Table 2",191763.002818886,191.763002818886
"FB 181",1988,495421,"Table 2",224719.214266875,224.719214266875
"FB 181",1989,487055,"Table 2",220924.460014317,220.924460014317
"FB 181",1990,395657,"Table 2",179467.019280953,179.467019280953
"FB 181",1991,371534,"Table 2",168525.009140568,168.525009140568
"FB 181",1992,299247,"Table 2",135736.173298507,135.736173298507
"FB 181",1993,318329,"Table 2",144391.624009398,144.391624009398
"FB 181",1994,330503,"Table 2",149913.65822774,149.91365822774
"FB 181",1995,430244,"Table 2",195155.420587818,195.155420587818
"FB 181",1996,462176,"Table 2",209639.533998372,209.639533998372
"FB 181",1997,492555,"Table 2",223419.218368258,223.419218368258
"FB 181",1998,282180,"Table 2",127994.711330014,127.994711330014
"FB 181",1999,473985,"Table 2",214996.006980497,214.996006980497
