"source","season","year","nvessels"
"FB 44","1934-35",1934,2123
"FB 49","1935-36",1935,2453
"FB 57","1936-37",1936,2660
"FB 57","1937-38",1937,2843
"FB 57","1938-39",1938,3057
"FB 57","1939-40",1939,3110
"FB 58","1940-41",1940,3454
"FB 59","1941-42",1941,3202
"FB 59","1942-43",1942,2965
"FB 63","1943-44",1943,3726
"FB 63","1944-45",1944,3782
"FB 67","1945-46",1945,4145
"FB 67","1946-47",1946,4857
"FB 74","1947-48",1947,5042
"FB 80","1948-49",1948,5722
"FB 80","1949-50",1949,6160
"FB 86","1950-51",1950,6103
"FB 89","1951-52",1951,5837
"FB 95","1952-53",1952,5454
"FB 102","1953-54",1953,5430
"FB 102","1954-55",1954,4902
"FB 105","1955-56",1955,4450
"FB 105","1956-57",1956,4352
"FB 108","1957-58",1957,4255
"FB 108","1958-59",1958,3839
"FB 111","1959-60",1959,3672
"FB 117","1960-61",1960,3649
"FB 121","1961-62",1961,3872
"FB 125","1962-63",1962,3854
"FB 132","1963-64",1963,3842
"FB 132","1964-65",1964,4062
"FB 135","1965-66",1965,4329
"FB 138","1966-67",1966,4368
"FB 144","1967-68",1967,4646
"FB 149","1968-69",1968,4854
"FB 153","1969-70",1969,4848
"FB 159","1970-71",1970,4337
"FB 159","1971-72",1971,4962
"FB 161","1972-73",1972,5261
"FB 163","1973-74",1973,5932
"FB 166","1974-75",1974,6932
"FB 168","1975-76",1975,6818
"FB 170","1976-77",1976,7263
"FB 181","1976-77",1976,7268
"FB 181","1977-78",1977,8421
"FB 181","1978-79",1978,9654
"FB 181","1979-80",1979,6635
"FB 181","1980-81",1980,9229
"FB 181","1981-82",1981,8427
"FB 181","1982-83",1982,8173
"FB 181","1983-84",1983,8282
"FB 181","1984-85",1984,7678
"FB 181","1985-86",1985,7188
"FB 181","1986-87",1986,6680
"FB 181","1987-88",1987,6661
"FB 181","1988-89",1988,6710
"FB 181","1989-90",1989,6704
"FB 181","1990-91",1990,6621
"FB 181","1991-92",1991,6744
"FB 181","1992-93",1992,6221
"FB 181","1993-94",1993,5533
"FB 181","1994-95",1994,5577
"FB 181","1995-96",1995,5439
"FB 181","1996-97",1996,5358
"FB 181","1997-98",1997,5018
"FB 181","1998-99",1998,4801
"FB 181","1999-00",1999,4866
