"source","table","category","species","year","landings_lb","value_usd"
"FB 181","Table 4a","Fish","Anchovy, deepbody",1996,50,25
"FB 181","Table 4a","Fish","Anchovy, deepbody",1997,100,50
"FB 181","Table 4a","Fish","Anchovy, deepbody",1998,650,7
"FB 181","Table 4a","Fish","Anchovy, northern",1987,3063684,237705
"FB 181","Table 4a","Fish","Anchovy, northern",1988,3258054,324260
"FB 181","Table 4a","Fish","Anchovy, northern",1989,5399826,389062
"FB 181","Table 4a","Fish","Anchovy, northern",1990,7073116,588600
"FB 181","Table 4a","Fish","Anchovy, northern",1991,8848805,1315710
"FB 181","Table 4a","Fish","Anchovy, northern",1992,2477803,414480
"FB 181","Table 4a","Fish","Anchovy, northern",1993,4317635,406995
"FB 181","Table 4a","Fish","Anchovy, northern",1994,3943602,456015
"FB 181","Table 4a","Fish","Anchovy, northern",1995,4157914,282323
"FB 181","Table 4a","Fish","Anchovy, northern",1996,9746774,618641
"FB 181","Table 4a","Fish","Anchovy, northern",1997,12606229,536176
"FB 181","Table 4a","Fish","Anchovy, northern",1998,3212545,172616
"FB 181","Table 4a","Fish","Anchovy, northern",1999,11417540,1000813
"FB 181","Table 4a","Fish","Barracuda, California",1987,113250,104613
"FB 181","Table 4a","Fish","Barracuda, California",1988,138053,113025
"FB 181","Table 4a","Fish","Barracuda, California",1989,133323,94716
"FB 181","Table 4a","Fish","Barracuda, California",1990,169923,97810
"FB 181","Table 4a","Fish","Barracuda, California",1991,341641,144096
"FB 181","Table 4a","Fish","Barracuda, California",1992,81210,59107
"FB 181","Table 4a","Fish","Barracuda, California",1993,109812,76297
"FB 181","Table 4a","Fish","Barracuda, California",1994,300832,136125
"FB 181","Table 4a","Fish","Barracuda, California",1995,302790,139244
"FB 181","Table 4a","Fish","Barracuda, California",1996,369134,147510
"FB 181","Table 4a","Fish","Barracuda, California",1997,145377,82270
"FB 181","Table 4a","Fish","Barracuda, California",1998,131131,76570
"FB 181","Table 4a","Fish","Barracuda, California",1999,202726,124178
"FB 181","Table 4a","Fish","Bass, barred sand",1987,427,162
"FB 181","Table 4a","Fish","Bass, barred sand",1989,15,14
"FB 181","Table 4a","Fish","Bass, barred sand",1990,3,3
"FB 181","Table 4a","Fish","Bass, giant sea",1987,12023,15624
"FB 181","Table 4a","Fish","Bass, giant sea",1988,12326,16830
"FB 181","Table 4a","Fish","Bass, giant sea",1989,8758,13191
"FB 181","Table 4a","Fish","Bass, giant sea",1990,7269,10887
"FB 181","Table 4a","Fish","Bass, giant sea",1991,11734,16017
"FB 181","Table 4a","Fish","Bass, giant sea",1992,8673,13239
"FB 181","Table 4a","Fish","Bass, giant sea",1993,4709,7542
"FB 181","Table 4a","Fish","Bass, giant sea",1994,899,1302
"FB 181","Table 4a","Fish","Bass, giant sea",1995,1194,2087
"FB 181","Table 4a","Fish","Bass, giant sea",1996,1823,2749
"FB 181","Table 4a","Fish","Bass, giant sea",1997,2320,4117
"FB 181","Table 4a","Fish","Bass, giant sea",1998,6238,10415
"FB 181","Table 4a","Fish","Bass, giant sea",1999,5018,8816
"FB 181","Table 4a","Fish","Bass, kelp",1987,23,18
"FB 181","Table 4a","Fish","Bass, kelp",1988,0.2,0.3
"FB 181","Table 4a","Fish","Bass, kelp",1989,61,44
"FB 181","Table 4a","Fish","Bass, kelp",1990,10,5
"FB 181","Table 4a","Fish","Bass, kelp",1992,113,135
"FB 181","Table 4a","Fish","Bass, kelp",1997,25,13
"FB 181","Table 4a","Fish","Bass, kelp",1998,2,1
"FB 181","Table 4a","Fish","Bass, rock",1987,18,13
"FB 181","Table 4a","Fish","Bass, rock",1988,23,11
"FB 181","Table 4a","Fish","Bass, rock",1989,20,12
"FB 181","Table 4a","Fish","Bass, rock",1991,20,10
"FB 181","Table 4a","Fish","Bass, spotted sand",1991,25,12
"FB 181","Table 4a","Fish","Bass, spotted sand",1999,24,42
"FB 181","Table 4a","Fish","Blacksmith",1987,6130,307
"FB 181","Table 4a","Fish","Blacksmith",1989,275,69
"FB 181","Table 4a","Fish","Blacksmith",1991,164,41
"FB 181","Table 4a","Fish","Blacksmith",1992,315,92
"FB 181","Table 4a","Fish","Blacksmith",1993,46,12
"FB 181","Table 4a","Fish","Blacksmith",1995,243,243
"FB 181","Table 4a","Fish","Blacksmith",1996,1207,1418
"FB 181","Table 4a","Fish","Blacksmith",1997,793,215
"FB 181","Table 4a","Fish","Blacksmith",1998,348,437
"FB 181","Table 4a","Fish","Blacksmith",1999,256,372
"FB 181","Table 4a","Fish","Bonito, Pacific",1987,11350831,1600730
"FB 181","Table 4a","Fish","Bonito, Pacific",1988,8682915,1273234
"FB 181","Table 4a","Fish","Bonito, Pacific",1989,2406750,369111
"FB 181","Table 4a","Fish","Bonito, Pacific",1990,9589390,1938067
"FB 181","Table 4a","Fish","Bonito, Pacific",1991,562057,107715
"FB 181","Table 4a","Fish","Bonito, Pacific",1992,2337818,443697
"FB 181","Table 4a","Fish","Bonito, Pacific",1993,1047606,215624
"FB 181","Table 4a","Fish","Bonito, Pacific",1994,921160,190130
"FB 181","Table 4a","Fish","Bonito, Pacific",1995,157439,40099
"FB 181","Table 4a","Fish","Bonito, Pacific",1996,980471,199831
"FB 181","Table 4a","Fish","Bonito, Pacific",1997,641598,164281
"FB 181","Table 4a","Fish","Bonito, Pacific",1998,2495167,661539
"FB 181","Table 4a","Fish","Bonito, Pacific",1999,191269,29008
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1987,18409,15077
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1988,20413,15361
"FB 181","Table 4a","Fish","Butterfish (Pacific pompano)",1989,21126,21819
