"source","table","year","port_complex","category","species","landings_lb","value_usd"
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, claws",21,16
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, Dungeness",907506,1310311
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Crab, rock unspecified",3885,3454
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Shrimp, bay",13622,45087
"FB 181","Table 5a",1987,"Bodega Bay","Crustaceans","Shrimp, Pacific Ocean",6861,4249
"FB 181","Table 5a",1987,"Bodega Bay","Echinoderms","Urchin, red",5713676,1069198
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Barracuda, California",28,21
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Cabezon",473,161
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Cod, Pacific",75,25
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Croaker, white",2939,989
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Fish, unspecified",160,98
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Flounder, starry",2277,996
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Flounder, unspecified",12306,5197
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Halibut, California",6704,15610
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Herring, Pacific",1648162,657347
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Lingcod",109376,27237
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Mackerel, unspecified",425,135
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Opah",203,33
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sablefish",454630,133241
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon",105937,323333
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, Chinook",2339235,6501798
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, coho",4775,9826
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Salmon, pink",34,28
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sanddab",9473,3465
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Scorpionfish, California",60,30
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, bigeye thresher",9,2
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, brown smoothhound",246,82
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, leopard",435,263
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, Pacific angel",54,27
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, shortfin mako",1594,756
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, soupfin",2896,3417
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, spiny dogfish",20,3
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, thresher",2327,2045
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Shark, unspecified",29955,12643
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sierra, Pacific",52,26
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Skate, unspecified",3686,1108
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, night",98,49
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, surf",1496,499
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelt, whitebait",26224,8034
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Smelts, true",100,30
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, Dover",2642069,770906
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, English",195211,70722
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, petrale",78895,45248
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, rex",132020,43553
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, rock",6,4
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Sole, sand",406,254
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Stickleback, threespine",498,3474
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Surfperch, redtail",50,25
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Surfperch, unspecified",1112,772
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Swordfish",21812,92059
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Thornyheads (unspecified)",209622,66749
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Tuna, albacore",67849,45177
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Turbot",435,144
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Whiting, Pacific",18027,1082
"FB 181","Table 5a",1987,"Bodega Bay","Fish","Yellowtail",11,4
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Abalone, black",3180,8903
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Abalone, red",11,42
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Clam, unspecified",19,19
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Limpet, unspecified",318,318
"FB 181","Table 5a",1987,"Bodega Bay","Mollusks","Octopus, unspecified",278,295
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, black",55,55
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, copper",3457,2272
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group bocaccio/chilipepper",90817,45004
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group bolina",23405,16287
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group gopher",3230,1506
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group red",81595,54404
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group rosefish",65423,16400
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, group small",12411,3996
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, Pacific ocean perch",13,7
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, unspecified",1254687,422682
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, widow",278272,83294
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, yelloweye",507,456
"FB 181","Table 5a",1987,"Bodega Bay","Rockfish","Rockfish, yellowtail",196,70
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Crab, Dungeness",374461,526430
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Crab, rock unspecified",2303,2851
"FB 181","Table 5a",1987,"Fort Bragg","Crustaceans","Shrimp, Pacific Ocean",658162,488344
"FB 181","Table 5a",1987,"Fort Bragg","Echinoderms","Urchin, red",17808808,3666550
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Cod, Pacific",19817,4977
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Eel, wolf (wolf-eel)",20,9
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Fish, unspecified",279,80
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, arrowtooth",186,27
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, starry",5,2
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Flounder, unspecified",16,6
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Grenadiers",13004,1964
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Halibut, California",119,235
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Halibut, Pacific",61576,121957
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Lingcod",489619,168198
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Mackerel, jack",3,0.2
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Mackerel, unspecified",38,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Opah",10,4
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sablefish",2301254,994582
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon",14706,40525
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, Chinook",2614366,6823342
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, coho",109939,220721
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Salmon, pink",2367,1669
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sanddab",24910,8079
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, blue",22,9
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, sixgill",55,110
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Shark, soupfin",2854,3743
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sharks, cow",71,71
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Skate, unspecified",1735,451
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelt, night",391,117
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelt, whitebait",1344,407
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Smelts, true",40,6
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, Dover",2647212,810231
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, English",341480,118635
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, fantail",16927,1425
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, petrale",305088,217174
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, rex",300604,106769
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, rock",3347,1399
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, sand",1528,1055
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Sole, unspecified",20,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Surfperch, redtail",9,7
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Surfperch, unspecified",15612,4665
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Thornyheads (unspecified)",833352,264052
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Tuna, albacore",66305,48431
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Turbot",1725,568
"FB 181","Table 5a",1987,"Fort Bragg","Fish","Whiting, Pacific",1308,78
"FB 181","Table 5a",1987,"Fort Bragg","Mollusks","Octopus, unspecified",708,546
"FB 181","Table 5a",1987,"Fort Bragg","Mollusks","Squid, market",160,15
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, black",3227,2105
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, canary",3094,1982
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, copper",942,377
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group bocaccio/chilipepper",25936,8976
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group bolina",80,72
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group gopher",14,17
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group red",480007,170945
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group rosefish",73974,22344
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, group small",5066,1578
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, speckled",307,184
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, unspecified",1919965,612886
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, widow",666970,212098
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, yelloweye",33044,22851
"FB 181","Table 5a",1987,"Fort Bragg","Rockfish","Rockfish, yellowtail",5756,3970
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, claws",6907,2267
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, Dungeness",3431,3791
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, rock unspecified",847345,773664
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, shore",8,140
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crab, spider",45241,21020
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Crustacean, unspecified",27,533
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Lobster, California spiny",146849,711688
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Prawn, ridgeback",18824,19261
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Prawn, spot",13992,73666
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, coonstriped",1483,5647
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, red rock",12,124
"FB 181","Table 5a",1987,"Los Angeles","Crustaceans","Shrimp, unspecified",160,750
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Sea cucumber, unspecified",4878,2920
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Sea stars",7,66
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Urchin, red",9099099,2720450
"FB 181","Table 5a",1987,"Los Angeles","Echinoderms","Urchin, white",8,1
"FB 181","Table 5a",1987,"Los Angeles","Fish","Anchovy, northern",252691,21661
"FB 181","Table 5a",1987,"Los Angeles","Fish","Barracuda, California",96867,89717
"FB 181","Table 5a",1987,"Los Angeles","Fish","Bass, giant sea",3215,3656
"FB 181","Table 5a",1987,"Los Angeles","Fish","Blacksmith",6130,307
"FB 181","Table 5a",1987,"Los Angeles","Fish","Bonito, Pacific",9328318,1197730
"FB 181","Table 5a",1987,"Los Angeles","Fish","Butterfish (Pacific pompano)",1135,1117
"FB 181","Table 5a",1987,"Los Angeles","Fish","Cabezon",185,64
"FB 181","Table 5a",1987,"Los Angeles","Fish","Cod, Pacific",105,105
"FB 181","Table 5a",1987,"Los Angeles","Fish","Croaker, white",183217,73945
"FB 181","Table 5a",1987,"Los Angeles","Fish","Eel, California moray",5,3
"FB 181","Table 5a",1987,"Los Angeles","Fish","Eulachon",3046,361
"FB 181","Table 5a",1987,"Los Angeles","Fish","Fish, unspecified",1337,636
"FB 181","Table 5a",1987,"Los Angeles","Fish","Flounder, unspecified",78,63
"FB 181","Table 5a",1987,"Los Angeles","Fish","Flyingfish",179528,74548
"FB 181","Table 5a",1987,"Los Angeles","Fish","Garibaldi",95,2012
"FB 181","Table 5a",1987,"Los Angeles","Fish","Goby, bluebanded",18,5
"FB 181","Table 5a",1987,"Los Angeles","Fish","Grouper",95,76
"FB 181","Table 5a",1987,"Los Angeles","Fish","Guitarfish, shovelnose",12770,5175
"FB 181","Table 5a",1987,"Los Angeles","Fish","Halfmoon",915,641
"FB 181","Table 5a",1987,"Los Angeles","Fish","Halibut, California",308112,672703
"FB 181","Table 5a",1987,"Los Angeles","Fish","Herring, Pacific",66860,5049
"FB 181","Table 5a",1987,"Los Angeles","Fish","Jacksmelt",209,94
"FB 181","Table 5a",1987,"Los Angeles","Fish","Lingcod",7732,3917
"FB 181","Table 5a",1987,"Los Angeles","Fish","Lizardfish, California",4770,1974
"FB 181","Table 5a",1987,"Los Angeles","Fish","Louvar",1752,2211
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, bullet",7000,350
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, jack",17198581,713066
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, Pacific",55618278,2660833
"FB 181","Table 5a",1987,"Los Angeles","Fish","Mackerel, unspecified",32267553,1033747
"FB 181","Table 5a",1987,"Los Angeles","Fish","Opah",19199,7217
"FB 181","Table 5a",1987,"Los Angeles","Fish","Opaleye",4122,3292
"FB 181","Table 5a",1987,"Los Angeles","Fish","Queenfish",137,25
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, bat",1,0.2
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, Pacific electric",4,2
"FB 181","Table 5a",1987,"Los Angeles","Fish","Ray, unspecified",579,6527
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sablefish",29200,22576
"FB 181","Table 5a",1987,"Los Angeles","Fish","Salmon",174,618
"FB 181","Table 5a",1987,"Los Angeles","Fish","Salmon, Chinook",900,2520
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sanddab",1818,3218
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sardine, Pacific",699482,46304
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sargo",109,75
"FB 181","Table 5a",1987,"Los Angeles","Fish","Scorpionfish, California",18155,18526
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sculpin, staghorn",110,136
"FB 181","Table 5a",1987,"Los Angeles","Fish","Seabass, white",40437,77834
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shad, American",407,162
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, bigeye thresher",1414,1719
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, blue",2115,829
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, brown smoothhound",2467,2017
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, horn",53,1607
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, leopard",13456,14034
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, Pacific angel",74931,35284
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, shortfin mako",164985,172609
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, smooth hammerhead",933,567
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, soupfin",55671,50428
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, spiny dogfish",7382,520
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, thresher",144147,212174
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, unspecified",5274,6271
"FB 181","Table 5a",1987,"Los Angeles","Fish","Shark, white",571,571
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sheephead, California",10068,8688
"FB 181","Table 5a",1987,"Los Angeles","Fish","Silversides",3231,679
"FB 181","Table 5a",1987,"Los Angeles","Fish","Skate, unspecified",5599,2093
"FB 181","Table 5a",1987,"Los Angeles","Fish","Smelts, true",68,12
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, butter",10,5
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, English",369,129
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, petrale",563,466
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, rex",10,7
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, sand",56,22
"FB 181","Table 5a",1987,"Los Angeles","Fish","Sole, unspecified",14686,6872
"FB 181","Table 5a",1987,"Los Angeles","Fish","Stingray",33,331
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, black",512,94
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, shiner",8,6
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, unspecified",11648,9473
"FB 181","Table 5a",1987,"Los Angeles","Fish","Surfperch, white",12,10
"FB 181","Table 5a",1987,"Los Angeles","Fish","Swordfish",817759,3406179
"FB 181","Table 5a",1987,"Los Angeles","Fish","Thornyheads (unspecified)",515,309
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, albacore",828005,108061
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, bigeye",73638,4015
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, blackfin",12,9
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, bluefin",1677117,2120241
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, skipjack",12021920,5147
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, unspecified",272247,432592
"FB 181","Table 5a",1987,"Los Angeles","Fish","Tuna, yellowfin",48554580,882688
"FB 181","Table 5a",1987,"Los Angeles","Fish","Wahoo",23318,11284
"FB 181","Table 5a",1987,"Los Angeles","Fish","Whitefish, ocean",523,261
"FB 181","Table 5a",1987,"Los Angeles","Fish","Yellowtail",19936,18959
"FB 181","Table 5a",1987,"Los Angeles","Fish","Zebraperch",218,185
"FB 181","Table 5a",1987,"Los Angeles","Miscellaneous invertebrates","Invertebrates, colonial",18,509
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone",254,1825
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, black",70507,168447
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, green",27737,130866
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, pink",20654,95404
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, red",9746,35801
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Abalone, white",2,15
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, California jackknife",252,510
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, rosy razor",81,40
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Clam, unspecified",6311,4639
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Mollusk, unspecified",2,12
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Mussel",1114,668
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Octopus, unspecified",320,4200
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Sea hare",0.3,5
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Sea slug",1384,30222
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Snail, sea",20667,9114
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Squid, market",11952280,1112033
"FB 181","Table 5a",1987,"Los Angeles","Mollusks","Whelk, Kellet's",532,171
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, blackgill",157298,79247
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, blue",44,11
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, chilipepper",42,23
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, cowcod",10692,11212
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group bocaccio/chilipepper",468144,207565
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group bolina",69,41
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group gopher",9,10
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group red",129649,134747
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, group small",181,181
"FB 181","Table 5a",1987,"Los Angeles","Rockfish","Rockfish, Pacific ocean perch",217,161
