"port_code","port_name","port_desc","agency","state","port_name_long"
"4R","Adak","Adak / W. Aleutians","ADFG","Alaska","Adak, Alaska"
"ALM","Alameda","Alameda","CDFW","California","Alameda, California"
"ANT","Alaska At Sea, non-tribal","At Sea Non-Tribal - Pmfc","AFSC","Alaska","Alaska At Sea, non-tribal, Alaska"
"ASP","Alaska At Sea, PFMC","At Sea Processors - Pfmc","AFSC","Alaska","Alaska At Sea, PFMC, Alaska"
"APP","Alaska At Sea, PFMC (CP/floating) ","At Sea Processors - Pfmc (Cp Or Floating)","AFSC","Alaska","Alaska At Sea, PFMC (CP/floating) , Alaska"
"TAS","Alaska At Sea, tribal","Tribal At Sea","AFSC","Alaska","Alaska At Sea, tribal, Alaska"
"FDP","Alaska Floating Domestic Processors 1","Adfg Floating Domestic Processors (Mother Ships)","ADFG","Alaska","Alaska Floating Domestic Processors 1, Alaska"
"FP1","Alaska Floating Domestic Processors 2","Adfg Floating Domestic Processors (Mother Ships)","ADFG","Alaska","Alaska Floating Domestic Processors 2, Alaska"
"IF1","Alaska Inshore Floating Processors 1","Inshore Floating Processor","ADFG","Alaska","Alaska Inshore Floating Processors 1, Alaska"
"IFP","Alaska Inshore Floating Processors 2","Inshore Floating Processor","ADFG","Alaska","Alaska Inshore Floating Processors 2, Alaska"
"4M","Alaska Peninsula","Alaska Peninsula","ADFG","Alaska","Alaska Peninsula, Alaska"
"FM1","Alaska-Joint Venture 1","Foreign Nation Mother Ship (Jv In State Waters)","ADFG","Alaska","Alaska-Joint Venture 1, Alaska"
"FMS","Alaska-Joint Venture 2","Foreign Nation Mother Ship (Jv In State Waters)","ADFG","Alaska","Alaska-Joint Venture 2, Alaska"
"ALB","Albion","Albion","CDFW","California","Albion, California"
"AAL","All Alaska ports","All Alaska Ports","ADFG","Alaska","All Alaska ports, Alaska"
"ACA","All California ports","All California Ports","CDFW","California","All California ports, California"
"ACN","All Countries 1","All Countries","NWAFC","Foreign","All Countries 1, Foreign"
"ANW","All Countries 2","All Countries And Joint-Ventures","NWAFC","Foreign","All Countries 2, Foreign"
"AJV","All Joint Ventures","All Joint-Ventures","NWAFC","Foreign","All Joint Ventures, Foreign"
"AOR","All Oregon ports","All Oregon Ports","ODFW","Oregon","All Oregon ports, Oregon"
"ALL","All Source","All U.s. Catch: Domestic + Jv + Foreign","GLOB","Other","All Source, Other"
"AWA","All Washington ports","All Washington Ports","WDFW","Washington","All Washington ports, Washington"
"ANA","Anacortes","Anacortes","WDFW","Washington","Anacortes, Washington"
"AYK","Arctic-Yukon-Kuskokwim (A-Y-K) Region ports","A-Y-K Region","ADFG","Alaska","Arctic-Yukon-Kuskokwim (A-Y-K) Region ports, Alaska"
"AST","Astoria","Astoria","ODFW","Oregon","Astoria, Oregon"
"AVL","Avila/Port San Luis","Avila","CDFW","California","Avila/Port San Luis, California"
"BDN","Bandon","Bandon","ODFW","Oregon","Bandon, Oregon"
"BLL","Bellingham Bay","Bellingham Bay","WDFW","Washington","Bellingham Bay, Washington"
"4Q","Bering Sea","Bering Sea","ADFG","Alaska","Bering Sea, Alaska"
"BKL","Berkeley","Berkeley","CDFW","California","Berkeley, California"
"BCR","Big Creek","Big Creek","CDFW","California","Big Creek, California"
"BLN","Blaine","Blaine","WDFW","Washington","Blaine, Washington"
"BDG","Bodega Bay","Bodega Bay","CDFW","California","Bodega Bay, California"
"BDA","Bodega Bay Area ports","Bodega Bay Area Ports","CDFW","California","Bodega Bay Area ports, California"
"BOL","Bolinas","Bolinas","CDFW","California","Bolinas, California"
"2T","Bristol Bay (Central)","Bristol Bay (Central)","ADFG","Alaska","Bristol Bay (Central), Alaska"
"4S","Bristol Bay (W)","Bristol Bay","ADFG","Alaska","Bristol Bay (W), Alaska"
"BRK","Brookings","Brookings","ODFW","Oregon","Brookings, Oregon"
"BRA","Brookings Area ports","Brookings Area Ports","ODFW","Oregon","Brookings Area ports, Oregon"
"BLG","Bulgaria","Bulgaria","NWAFC","Foreign","Bulgaria, Foreign"
"JVB","Bulgaria-JV","Usa-Bulgaria Joint Ventures","NWAFC","Foreign","Bulgaria-JV, Foreign"
"AS2","California At Sea 1","Fish At Sea, California","CDFW","California","California At Sea 1, California"
"ASC","California At Sea 2","Fish At Sea, California","CDFW","California","California At Sea 2, California"
"AFO","Canada","All Canadian Landings (Canadian And U.s. Ports)","DFO - CANADA","Other","Canada, Other"
"1","Canadian","Dfo,Canada Port Group 1 (Canadian)","DFO - CANADA","Other","Canadian, Other"
"DF1","Canadian 1","Dfo,Canada Port Group 1 (Canadian)","DFO - CANADA","Other","Canadian 1, Other"
"CNB","Cannon Beach","Cannon Beach","ODFW","Oregon","Cannon Beach, Oregon"
"CEN","Central Region ports","Central Region","ADFG","Alaska","Central Region ports, Alaska"
"4L","Chignik","Chignik","ADFG","Alaska","Chignik, Alaska"
"CHN","China","China","NWAFC","Foreign","China, Foreign"
"CWA","Coastal Washington ports","Washington Coastal Ports","WDFW","Washington","Coastal Washington ports, Washington"
"CRV","Columbia River","Psuedo Port Code For Columbia River","ODFW","Oregon","Columbia River, Oregon"
"CLO","Columbia River Area ports - Oregon","Columbia River Ports (Oregon)","ODFW","Oregon","Columbia River Area ports - Oregon, Oregon"
"CLW","Columbia River Area ports - Washington","Columbia River Ports (Washington)","WDFW","Washington","Columbia River Area ports - Washington, Washington"
"CAB","Columbia River-above Bonneville Dam","Columbia River Above Bonneville Dam","ODFW","Oregon","Columbia River-above Bonneville Dam, Oregon"
"CBB","Columbia River-below Bonneville Dam","Columbia River Below Bonneville Dam","ODFW","Oregon","Columbia River-below Bonneville Dam, Oregon"
"2H","Cook Inlet","Cook Inlet","ADFG","Alaska","Cook Inlet, Alaska"
"COS","Coos Bay","Charleston (Coos Bay)","ODFW","Oregon","Coos Bay, Oregon"
"CBA","Coos Bay Area ports","Coos Bay Area Ports","ODFW","Oregon","Coos Bay Area ports, Oregon"
"CPL","Copalis Beach","Copalis Beach","WDFW","Washington","Copalis Beach, Washington"
"4RC","CP-Adak","Adak / W. Aleutians (Catcher Processor)","ADFG","Alaska","CP-Adak, Alaska"
"AS1","CP-Alaska At Sea 1","Adfg Catcher Processors Unloading At Sea (Catcher Processor)","ADFG","Alaska","CP-Alaska At Sea 1, Alaska"
"ASA","CP-Alaska At Sea 2","Adfg Catcher Processors Unloading At Sea (Catcher Processor)","ADFG","Alaska","CP-Alaska At Sea 2, Alaska"
"4MC","CP-Alaska Peninsula","Alaska Peninsula (Catcher Processor)","ADFG","Alaska","CP-Alaska Peninsula, Alaska"
"4QC","CP-Bering Sea","Bering Sea (Catcher Processor)","ADFG","Alaska","CP-Bering Sea, Alaska"
"4SC","CP-Bristol Bay","Bristol Bay (Catcher Processor)","ADFG","Alaska","CP-Bristol Bay, Alaska"
"2TC","CP-Bristol Bay (Central)","Bristol Bay (Central) (Catcher Processor)","ADFG","Alaska","CP-Bristol Bay (Central), Alaska"
"4LC","CP-Chignik","Chignik (Catcher Processor)","ADFG","Alaska","CP-Chignik, Alaska"
"2HC","CP-Cook Inlet","Cook Inlet (Catcher Processor)","ADFG","Alaska","CP-Cook Inlet, Alaska"
"4OC","CP-Dutch Harbor","Dutch Harbor (Catcher Processor)","ADFG","Alaska","CP-Dutch Harbor, Alaska"
"1AC","CP-Juneau","Juneau (Catcher Processor)","ADFG","Alaska","CP-Juneau, Alaska"
"1BC","CP-Ketchikan","Ketchikan (Catcher Processor)","ADFG","Alaska","CP-Ketchikan, Alaska"
"4KC","CP-Kodiak","Kodiak (Catcher Processor)","ADFG","Alaska","CP-Kodiak, Alaska"
"3XC","CP-Kotzebue","Kotzebue (Catcher Processor)","ADFG","Alaska","CP-Kotzebue, Alaska"
"3WC","CP-Kuskokwim","Kuskokwim (Catcher Processor)","ADFG","Alaska","CP-Kuskokwim, Alaska"
"3ZC","CP-Norton Sound","Norton Sound (Catcher Processor)","ADFG","Alaska","CP-Norton Sound, Alaska"
"CPP","CP-PFMC","Catcher-Processor Landings - Pfmc","AFSC","Alaska","CP-PFMC, Alaska"
"2EC","CP-Prince William Sound","Prince William Sound (Catcher Processor)","ADFG","Alaska","CP-Prince William Sound, Alaska"
"1DC","CP-Sitka","Sitka (Catcher Processor)","ADFG","Alaska","CP-Sitka, Alaska"
"CP5","CP-Washington 1","Catcher-Processor Landings In Washington State","WDFW","Washington","CP-Washington 1, Washington"
"WCP","CP-Washington 2","Catcher-Processor Landings In Washington State","WDFW","Washington","CP-Washington 2, Washington"
"1CC","CP-Wrangell-Petersburg","Petersburg / Wrangell (Catcher Processor)","ADFG","Alaska","CP-Wrangell-Petersburg, Alaska"
"3YC","CP-Yukon River","Yukon River (Catcher Processor)","ADFG","Alaska","CP-Yukon River, Alaska"
"AS3","CP/Akr","Catcher-Processor And Mothership Catch","AKR","Other","CP/Akr, Other"
"ASR","CP/Akr 1","Catcher-Processor And Mothership Catch","AKR","Other","CP/Akr 1, Other"
"CRS","Crescent City","Crescent City","CDFW","California","Crescent City, California"
"CCA","Crescent City Area ports","Crescent City Area Ports","CDFW","California","Crescent City Area ports, California"
